company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,investmentsecuritiesinterestincome,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,netinterestincome,netoccupancyequipmentexpense,netrealizedcapitalgains,otheradjustmentstoconsolidatednetincome,othergains,otherinterestincome,othernoninterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,preferreddividends,totalinterestexpense,totalinterestincome,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Federal Realty Investment Trust,FRT,549300LI6XZ51GOCJ427,34903,2008.0,FY,2008-01-01,2008-12-31,2011-02-15 16:37:36+00:00,2.19,2.19,,110748000.0,2.19,,99163000.0,135153000.0,120616000.0,14537000.0,129246000.0,5366000.0,-99163000.0,109463000.0,1612000.0,,916000.0,,505603000.0,82149000.0,14008000.0,,541000.0,99163000.0,,302360000.0,521223000.0,119700000.0,422060000.0,59000000.0,58665000.0,58889000.0
Federal Realty Investment Trust,FRT,549300LI6XZ51GOCJ427,34903,2009.0,FY,2009-01-01,2009-12-31,2012-02-15 17:31:50+00:00,1.63,1.63,,114443000.0,1.63,,111420000.0,103872000.0,101325000.0,2547000.0,97763000.0,5568000.0,-111420000.0,108344000.0,1322000.0,0.0,1894000.0,,515720000.0,79898000.0,12849000.0,16355000.0,541000.0,111420000.0,,319040000.0,529891000.0,99431000.0,418471000.0,60000000.0,59704000.0,59830000.0
Federal Realty Investment Trust,FRT,549300LI6XZ51GOCJ427,34903,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 16:36:51+00:00,0.45,0.45,,28410000.0,0.45,,30209000.0,28839000.0,28839000.0,,27297000.0,1406000.0,-30209000.0,24367000.0,473000.0,,924000.0,,127278000.0,20234000.0,3714000.0,330000.0,136000.0,30209000.0,,73341000.0,131465000.0,27915000.0,101256000.0,60700000.0,60700000.0,60700000.0
Federal Realty Investment Trust,FRT,549300LI6XZ51GOCJ427,34903,2009.0,Q2,2009-04-01,2009-06-30,2010-08-04 16:36:50+00:00,0.48,0.48,,29633000.0,0.48,,26812000.0,29794000.0,29250000.0,544000.0,28282000.0,1377000.0,-26812000.0,25080000.0,399000.0,,260000.0,,127397000.0,20097000.0,2941000.0,125000.0,135000.0,26812000.0,,74935000.0,130737000.0,28990000.0,103925000.0,58900000.0,58900000.0,58900000.0
Federal Realty Investment Trust,FRT,549300LI6XZ51GOCJ427,34903,2010.0,Q4,2010-10-01,2010-12-31,,0.54,0.54,,29566000.0,0.53,,25203000.0,34305000.0,33873000.0,392000.0,32681000.0,1489000.0,-25203000.0,28074000.0,554000.0,,23000.0,,133509000.0,20342000.0,3302000.0,330000.0,135000.0,25203000.0,,78312000.0,137365000.0,33850000.0,112162000.0,61400000.0,61182000.0,61324000.0
Federal Realty Investment Trust,FRT,549300LI6XZ51GOCJ427,34903,2010.0,FY,2010-01-01,2010-12-31,2013-02-12 16:40:10+00:00,1.99,1.99,,118878000.0,1.98,,104683000.0,128237000.0,125851000.0,1976000.0,122249000.0,5447000.0,-104683000.0,110519000.0,1060000.0,410000.0,256000.0,,527252000.0,82852000.0,14545000.0,330000.0,541000.0,104683000.0,,312579000.0,542857000.0,125595000.0,438174000.0,61400000.0,61182000.0,61324000.0
Federal Realty Investment Trust,FRT,549300LI6XZ51GOCJ427,34903,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.45,1.45,,89312000.0,1.45,,79480000.0,93932000.0,91978000.0,1584000.0,89568000.0,3958000.0,-79480000.0,82445000.0,506000.0,410000.0,233000.0,,393743000.0,62510000.0,11243000.0,,406000.0,79480000.0,,234267000.0,405492000.0,91745000.0,326012000.0,61500000.0,61500000.0,61500000.0
Federal Realty Investment Trust,FRT,549300LI6XZ51GOCJ427,34903,2010.0,Q3,2010-07-01,2010-09-30,2011-11-03 17:08:36+00:00,0.48,0.48,,29431000.0,0.48,,25299000.0,31010000.0,30740000.0,270000.0,29504000.0,1370000.0,-25299000.0,27030000.0,125000.0,0.0,18000.0,,130622000.0,21089000.0,2824000.0,,136000.0,25299000.0,,77550000.0,133571000.0,30722000.0,108272000.0,61500000.0,61500000.0,61500000.0
Federal Realty Investment Trust,FRT,549300LI6XZ51GOCJ427,34903,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.97,0.97,,59881000.0,0.97,,54181000.0,62922000.0,61238000.0,1314000.0,60064000.0,2588000.0,-54181000.0,55415000.0,381000.0,410000.0,215000.0,,263121000.0,41421000.0,8419000.0,,270000.0,54181000.0,,156717000.0,271921000.0,61023000.0,217740000.0,62000000.0,62000000.0,62000000.0
Federal Realty Investment Trust,FRT,549300LI6XZ51GOCJ427,34903,2010.0,Q2,2010-04-01,2010-06-30,2011-08-03 17:06:10+00:00,0.5,0.5,,31020000.0,0.5,,25418000.0,32368000.0,30644000.0,1314000.0,30979000.0,1254000.0,-25418000.0,25511000.0,188000.0,410000.0,33000.0,,130707000.0,20844000.0,2509000.0,,135000.0,25418000.0,,77375000.0,133404000.0,30611000.0,107986000.0,62000000.0,62000000.0,62000000.0
