company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2007.0,FY,2007-01-01,2007-12-31,2010-01-29 15:05:27+00:00,,2016000.0,11300000.0,11011000.0,,301000.0,5883000.0,55979000.0,,118847000.0,-236400000.0,205687000.0,118847000.0,-236400000.0,205687000.0,88435000.0,144537000.0,144537000.0,42240000.0,62868000.0,,-688345000.0,-24007000.0,,0.0,475952000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2008.0,Q4,2008-10-01,2008-12-31,,,3608000.0,61500000.0,3913000.0,,-131000.0,12575000.0,2707000.0,,3216000.0,-128279000.0,92205000.0,3216000.0,-128279000.0,92205000.0,-32989000.0,50743000.0,50743000.0,21366000.0,509000.0,,-146264000.0,-22969000.0,,,40954000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2008.0,FY,2008-01-01,2008-12-31,2011-02-01 15:32:22+00:00,,10500000.0,61500000.0,14600000.0,,100000.0,-30400000.0,44700000.0,,98000000.0,-304500000.0,278200000.0,98000000.0,-304500000.0,278200000.0,71800000.0,204300000.0,204300000.0,79200000.0,53300000.0,,-732700000.0,-106000000.0,,0.0,534200000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2008.0,Q3,2008-07-01,2008-09-30,,,2817000.0,,3968000.0,,-484000.0,-3683000.0,18675000.0,,35886000.0,-112621000.0,81810000.0,35886000.0,-112621000.0,81810000.0,4591000.0,57594000.0,57594000.0,21114000.0,17211000.0,,-168940000.0,-30996000.0,,,87315000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2008.0,Q3YTD,2008-01-01,2008-09-30,2009-10-21 16:16:34+00:00,,6892000.0,,10687000.0,,231000.0,-42975000.0,41993000.0,,94784000.0,-176221000.0,185995000.0,94784000.0,-176221000.0,185995000.0,104789000.0,153557000.0,153557000.0,57834000.0,52791000.0,,-586436000.0,-83031000.0,,0.0,493246000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2008.0,Q2YTD,2008-01-01,2008-06-30,2009-07-23 16:07:31+00:00,,4075000.0,,6719000.0,,715000.0,-39292000.0,23318000.0,,58898000.0,-63600000.0,104185000.0,58898000.0,-63600000.0,104185000.0,100198000.0,95963000.0,95963000.0,36720000.0,35580000.0,,-417496000.0,-52035000.0,,0.0,405931000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q4,2009-10-01,2009-12-31,,,3900000.0,129100000.0,4800000.0,,-100000.0,5300000.0,25000000.0,,40900000.0,-148300000.0,122800000.0,40900000.0,-148300000.0,122800000.0,15300000.0,77600000.0,77600000.0,31200000.0,15900000.0,,-241300000.0,-7700000.0,,,100700000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,FY,2009-01-01,2009-12-31,2012-02-03 19:13:36+00:00,,15600000.0,129100000.0,19000000.0,,300000.0,22400000.0,58700000.0,,-66200000.0,-299500000.0,392200000.0,-66200000.0,-299500000.0,392200000.0,26800000.0,232600000.0,232600000.0,102600000.0,25100000.0,,-764500000.0,-53400000.0,,-150000000.0,518400000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q3TTM,2008-10-01,2009-09-30,,,15308000.0,61500000.0,18113000.0,,269000.0,29675000.0,36407000.0,,-103884000.0,-279479000.0,361605000.0,-103884000.0,-279479000.0,361605000.0,-21489000.0,205743000.0,205743000.0,92766000.0,9709000.0,,-669464000.0,-68669000.0,,-150000000.0,458654000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q3,2009-07-01,2009-09-30,,,3800000.0,,5100000.0,,300000.0,-1400000.0,21700000.0,,29900000.0,-93800000.0,96300000.0,29900000.0,-93800000.0,96300000.0,32700000.0,64500000.0,64500000.0,24300000.0,8200000.0,,-220000000.0,-5400000.0,,,131600000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-10-20 17:27:05+00:00,,11700000.0,,14200000.0,,400000.0,17100000.0,33700000.0,,-107100000.0,-151200000.0,269400000.0,-107100000.0,-151200000.0,269400000.0,11500000.0,155000000.0,155000000.0,71400000.0,9200000.0,,-523200000.0,-45700000.0,,-150000000.0,417700000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q2TTM,2008-07-01,2009-06-30,,,14325000.0,61500000.0,16981000.0,,-515000.0,27392000.0,33382000.0,,-97898000.0,-298300000.0,347115000.0,-97898000.0,-298300000.0,347115000.0,-49598000.0,198837000.0,198837000.0,89580000.0,18720000.0,,-618404000.0,-94265000.0,,-150000000.0,414369000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q2,2009-04-01,2009-06-30,,,4100000.0,,4900000.0,,500000.0,-12800000.0,6400000.0,,7400000.0,-14100000.0,83000000.0,7400000.0,-14100000.0,83000000.0,76800000.0,62400000.0,62400000.0,24400000.0,1000000.0,,-169500000.0,-12800000.0,,,168200000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-07-22 20:49:59+00:00,,7900000.0,,9100000.0,,100000.0,18500000.0,12000000.0,,-137000000.0,-57400000.0,173100000.0,-137000000.0,-57400000.0,173100000.0,-21200000.0,90500000.0,90500000.0,47100000.0,1000000.0,,-303200000.0,-40300000.0,,-150000000.0,286100000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q1,2009-01-01,2009-03-31,2010-04-20 16:52:35+00:00,,3800000.0,,4200000.0,,-400000.0,31300000.0,5600000.0,,-144400000.0,-43300000.0,90100000.0,-144400000.0,-43300000.0,90100000.0,-98000000.0,28100000.0,28100000.0,22700000.0,0.0,,-133700000.0,-27500000.0,,-150000000.0,117900000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2010.0,Q4,2010-10-01,2010-12-31,,,22300000.0,124400000.0,6300000.0,,-400000.0,-37700000.0,8200000.0,,-122600000.0,-120900000.0,141700000.0,-122600000.0,-120900000.0,141700000.0,-102200000.0,121200000.0,121200000.0,29600000.0,8900000.0,,-353200000.0,-9400000.0,,-139700000.0,241700000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2010.0,FY,2010-01-01,2010-12-31,2013-02-04 16:09:03+00:00,,34500000.0,124400000.0,23700000.0,,-800000.0,-4500000.0,141100000.0,,7700000.0,-494300000.0,545800000.0,7700000.0,-494300000.0,545800000.0,58400000.0,381800000.0,381800000.0,110300000.0,65200000.0,,-1385400000.0,-96000000.0,,-198600000.0,987100000.0
