company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,otherincome,rdexpense,sgaexpense,totalcostofrevenue,totalgrossprofit,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2007.0,FY,2007-01-01,2007-12-31,2010-01-29 15:05:27+00:00,3.82,3.82,3.7,92697000.0,144537000.0,144537000.0,144537000.0,,186542000.0,600828000.0,,30492000.0,48859000.0,158685000.0,186542000.0,414286000.0,207544000.0,206742000.0,30492000.0,237234000.0,600828000.0,37800000.0,37831000.0,39021000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2008.0,FY,2008-01-01,2008-12-31,2011-02-01 15:32:22+00:00,5.26,5.26,5.12,130900000.0,204300000.0,204300000.0,204300000.0,,254100000.0,874900000.0,,24400000.0,79400000.0,230600000.0,254100000.0,620800000.0,310000000.0,310800000.0,24400000.0,335200000.0,874900000.0,38800000.0,38900000.0,39900000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2008.0,Q3,2008-07-01,2008-09-30,2009-10-21 16:16:34+00:00,1.48,1.48,1.44,32032000.0,57594000.0,57594000.0,57594000.0,,66417000.0,235992000.0,,4594000.0,21851000.0,62692000.0,66417000.0,169575000.0,84543000.0,85032000.0,4594000.0,89626000.0,235992000.0,38900000.0,39015000.0,40108000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2008.0,Q2,2008-04-01,2008-06-30,2009-07-23 16:07:31+00:00,1.32,1.32,1.28,32720000.0,51182000.0,51182000.0,51182000.0,,63133000.0,219189000.0,,5707000.0,20357000.0,57504000.0,63133000.0,156056000.0,77861000.0,78195000.0,5707000.0,83902000.0,219189000.0,38800000.0,38773000.0,39980000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q4,2009-10-01,2009-12-31,,2.01,2.01,1.95,55000000.0,77600000.0,77600000.0,77600000.0,,89900000.0,323100000.0,,4200000.0,25800000.0,79000000.0,89900000.0,233200000.0,104800000.0,128400000.0,4200000.0,132600000.0,323100000.0,38300000.0,38300000.0,39200000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,FY,2009-01-01,2009-12-31,2012-02-03 19:13:36+00:00,6.07,6.07,5.93,163500000.0,232600000.0,232600000.0,232600000.0,,301100000.0,1052200000.0,,18700000.0,95100000.0,278600000.0,301100000.0,751100000.0,373700000.0,377400000.0,18700000.0,396100000.0,1052200000.0,38300000.0,38300000.0,39200000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q3YTD,2009-01-01,2009-09-30,,4.06,4.06,3.98,108500000.0,155000000.0,155000000.0,155000000.0,,211200000.0,729100000.0,,14500000.0,69300000.0,199600000.0,211200000.0,517900000.0,268900000.0,249000000.0,14500000.0,263500000.0,729100000.0,38200000.0,38100000.0,39200000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q3,2009-07-01,2009-09-30,2010-10-20 17:27:05+00:00,1.69,1.69,1.64,44300000.0,64500000.0,64500000.0,64500000.0,,81100000.0,280100000.0,,4300000.0,24600000.0,69900000.0,81100000.0,199000000.0,94500000.0,104500000.0,4300000.0,108800000.0,280100000.0,38200000.0,38100000.0,39200000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q2YTD,2009-01-01,2009-06-30,,2.37,2.37,2.34,64200000.0,90500000.0,90500000.0,90500000.0,,130100000.0,449000000.0,,10200000.0,44700000.0,129700000.0,130100000.0,318900000.0,174400000.0,144500000.0,10200000.0,154700000.0,449000000.0,37800000.0,37900000.0,38600000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q2,2009-04-01,2009-06-30,2010-07-22 20:49:59+00:00,1.65,1.65,1.62,42300000.0,62400000.0,62400000.0,62400000.0,,70400000.0,260600000.0,,5200000.0,23400000.0,67300000.0,70400000.0,190200000.0,90700000.0,99500000.0,5200000.0,104700000.0,260600000.0,37800000.0,37900000.0,38600000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2009.0,Q1,2009-01-01,2009-03-31,2010-04-20 16:52:35+00:00,0.72,0.72,0.72,21900000.0,28100000.0,28100000.0,28100000.0,,59700000.0,188400000.0,,5000000.0,21300000.0,62400000.0,59700000.0,128700000.0,83700000.0,45000000.0,5000000.0,50000000.0,188400000.0,39000000.0,38900000.0,39300000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2010.0,Q4,2010-10-01,2010-12-31,,3.08,3.08,3.02,36000000.0,121200000.0,121200000.0,121200000.0,,107200000.0,389300000.0,,3500000.0,32600000.0,95800000.0,107200000.0,282100000.0,128400000.0,153700000.0,3500000.0,157200000.0,389300000.0,39200000.0,39200000.0,40300000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2010.0,FY,2010-01-01,2010-12-31,2013-02-04 16:09:03+00:00,9.74,9.74,9.47,190500000.0,381800000.0,381800000.0,381800000.0,,383000000.0,1413000000.0,,17100000.0,116000000.0,358800000.0,383000000.0,1030000000.0,474800000.0,555200000.0,17100000.0,572300000.0,1413000000.0,39200000.0,39200000.0,40300000.0
Intuitive Surgical Inc,ISRG,54930052SRG011710797,1035267,2010.0,Q3YTD,2010-01-01,2010-09-30,,6.66,6.66,6.45,154500000.0,260600000.0,260600000.0,260600000.0,,275800000.0,1023700000.0,,13600000.0,83400000.0,263000000.0,275800000.0,747900000.0,346400000.0,401500000.0,13600000.0,415100000.0,1023700000.0,39400000.0,39400000.0,40500000.0
