company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Allegion PLC,ALLE,,1579241,2012.0,FY,2012-01-01,2012-12-31,2015-02-27 16:04:24+00:00,2.29,2.29,,2.29,,136700000.0,225800000.0,230000000.0,-4200000.0,220100000.0,5700000.0,1197700000.0,2023300000.0,-3100000.0,0.0,454300000.0,1197700000.0,825600000.0,1500000.0,454300000.0,371300000.0,-4600000.0,366700000.0,2023300000.0,96100000.0,96100000.0,96100000.0
Allegion PLC,ALLE,,1579241,2013.0,FY,2013-01-01,2013-12-31,2016-02-26 16:10:27+00:00,0.34,0.34,,0.34,,175000000.0,44800000.0,48400000.0,-3600000.0,32300000.0,12500000.0,1208100000.0,2069600000.0,-7200000.0,137600000.0,483100000.0,1208100000.0,861500000.0,10200000.0,620700000.0,240800000.0,-17400000.0,223400000.0,2069600000.0,95000000.0,95000000.0,95000000.0
Allegion PLC,ALLE,,1579241,2013.0,Q4,2013-10-01,2013-12-31,,0.11,0.11,,0.11,-137600000.0,72800000.0,9500000.0,11500000.0,-2000000.0,10900000.0,-1400000.0,320100000.0,538600000.0,-300000.0,137600000.0,125100000.0,320100000.0,218500000.0,8800000.0,125100000.0,93400000.0,-9100000.0,84300000.0,538600000.0,95000000.0,95000000.0,95000000.0
Allegion PLC,ALLE,,1579241,2013.0,Q3YTD,2013-01-01,2013-09-30,,0.23,0.23,,0.23,137600000.0,102200000.0,35300000.0,36900000.0,-1600000.0,21400000.0,13900000.0,888000000.0,1531000000.0,-6900000.0,,358000000.0,888000000.0,643000000.0,1400000.0,495600000.0,147400000.0,-8300000.0,139100000.0,1531000000.0,96400000.0,96000000.0,96000000.0
Allegion PLC,ALLE,,1579241,2013.0,Q3,2013-07-01,2013-09-30,2014-10-30 06:08:10+00:00,-0.81,-0.81,0.0,-0.81,137600000.0,45500000.0,-68000000.0,-67600000.0,-400000.0,-78100000.0,10100000.0,290600000.0,529000000.0,-200000.0,,122200000.0,290600000.0,238400000.0,500000.0,259800000.0,-21400000.0,-700000.0,-22100000.0,529000000.0,96400000.0,96000000.0,96000000.0
Allegion PLC,ALLE,,1579241,2013.0,Q2YTD,2013-01-01,2013-06-30,,1.04,1.04,,1.04,,56700000.0,103300000.0,104500000.0,-1200000.0,99500000.0,3800000.0,597400000.0,1002000000.0,-6700000.0,,235800000.0,597400000.0,404600000.0,900000.0,235800000.0,168800000.0,-7600000.0,161200000.0,1002000000.0,95700000.0,96000000.0,96000000.0
Allegion PLC,ALLE,,1579241,2013.0,Q2,2013-04-01,2013-06-30,2014-07-30 17:04:19+00:00,0.63,0.63,0.0,0.63,,37000000.0,62500000.0,63300000.0,-800000.0,60300000.0,2200000.0,310200000.0,528700000.0,800000.0,,118500000.0,310200000.0,218500000.0,500000.0,118500000.0,100000000.0,300000.0,100300000.0,528700000.0,95700000.0,96000000.0,96000000.0
Allegion PLC,ALLE,,1579241,2013.0,Q1,2013-01-01,2013-03-31,2014-04-30 17:04:09+00:00,0.41,0.41,0.0,0.41,,19700000.0,40800000.0,41200000.0,-400000.0,39200000.0,1600000.0,287200000.0,473300000.0,-7500000.0,,117300000.0,287200000.0,186100000.0,400000.0,117300000.0,68800000.0,-7900000.0,60900000.0,473300000.0,95600000.0,96000000.0,96000000.0
Allegion PLC,ALLE,,1579241,2014.0,FY,2014-01-01,2014-12-31,2017-02-17 07:58:26+00:00,1.82,1.82,0.32,1.8,,84200000.0,172600000.0,183700000.0,-11100000.0,175200000.0,-2600000.0,1264600000.0,2118300000.0,-4600000.0,,527400000.0,1264600000.0,853700000.0,53800000.0,527400000.0,326300000.0,-58400000.0,267900000.0,2118300000.0,96300000.0,96300000.0,97300000.0
Allegion PLC,ALLE,,1579241,2014.0,Q4,2014-10-01,2014-12-31,,0.37,0.37,0.08,0.36,,17400000.0,22200000.0,22500000.0,-300000.0,35400000.0,-13200000.0,374600000.0,573500000.0,-7700000.0,,135800000.0,374600000.0,198900000.0,15500000.0,135800000.0,63100000.0,-23200000.0,39900000.0,573500000.0,96300000.0,96300000.0,97300000.0
Allegion PLC,ALLE,,1579241,2014.0,Q3,2014-07-01,2014-09-30,2015-10-29 06:19:09+00:00,0.63,0.63,0.08,0.63,,27300000.0,66100000.0,68100000.0,-2000000.0,60800000.0,5300000.0,310100000.0,546700000.0,2000000.0,,130500000.0,310100000.0,236600000.0,12700000.0,130500000.0,106100000.0,-10700000.0,95400000.0,546700000.0,96500000.0,95900000.0,96900000.0
Allegion PLC,ALLE,,1579241,2014.0,Q3YTD,2014-01-01,2014-09-30,,1.45,1.45,0.24,1.44,,66800000.0,150400000.0,161200000.0,-10800000.0,139800000.0,10600000.0,890000000.0,1544800000.0,3100000.0,,391600000.0,890000000.0,654800000.0,38300000.0,391600000.0,263200000.0,-35200000.0,228000000.0,1544800000.0,96500000.0,95900000.0,96900000.0
