company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredrevenue,currentdeferredtaxliabilities,goodwill,intangibleassets,longtermdebt,longterminvestments,netppe,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,notereceivable,othercurrentassets,othercurrentliabilities,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,treasurystock
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2008.0,FY,,2008-12-31,2010-02-17 17:20:56+00:00,170332000.0,1903159000.0,903485000.0,3188928000.0,,9587323000.0,1649558000.0,100423000.0,7025398000.0,736134000.0,,106178000.0,1198714000.0,,753965000.0,570071000.0,460698000.0,784774000.0,,,239425000.0,49529000.0,,,5970020000.0,1000000000.0,163734000.0,15592439000.0,11083858000.0,6286590000.0,3705087000.0,11083858000.0,11083858000.0,4508581000.0,15592439000.0,8107135000.0,803494000.0,-5376970000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2009.0,FY,,2009-12-31,2011-01-28 17:31:10+00:00,192412000.0,2565452000.0,818104000.0,3999818000.0,,9987685000.0,2257250000.0,210522000.0,6143086000.0,767812000.0,0.0,1381765000.0,1314328000.0,,929143000.0,622846000.0,328106000.0,981784000.0,,,341121000.0,49561000.0,,,8359117000.0,0.0,943986000.0,18408320000.0,13787648000.0,8460208000.0,3641968000.0,13787648000.0,13787648000.0,4620672000.0,18408320000.0,8633784000.0,978704000.0,-5377258000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2009.0,Q3,,2009-09-30,2009-10-27 17:00:24+00:00,209333000.0,2413276000.0,1252631000.0,2557859000.0,,9871583000.0,2225286000.0,50093000.0,8016465000.0,909401000.0,,479285000.0,1293775000.0,,907342000.0,511809000.0,389200000.0,961966000.0,,,183859000.0,51185000.0,,,7004211000.0,200000000.0,601443000.0,17356372000.0,12751167000.0,6473587000.0,3646678000.0,12751167000.0,12751167000.0,4605205000.0,17356372000.0,9589010000.0,958527000.0,-5377258000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2009.0,Q2,,2009-06-30,2009-07-28 20:38:07+00:00,186491000.0,2328016000.0,865054000.0,2573617000.0,,9779133000.0,2121599000.0,38102000.0,7796090000.0,954361000.0,,119659000.0,1254769000.0,,859689000.0,507110000.0,399955000.0,984172000.0,,,191510000.0,54664000.0,,,6654475000.0,400000000.0,441202000.0,16566289000.0,11921572000.0,6249900000.0,3730364000.0,11921572000.0,11921572000.0,4644717000.0,16566289000.0,9061620000.0,914353000.0,-5377090000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2010.0,FY,,2010-12-31,2012-01-30 20:50:48+00:00,184963000.0,3005097000.0,751314000.0,5577411000.0,0.0,10482222000.0,2647195000.0,40468000.0,6193163000.0,540711000.0,1494227000.0,2492012000.0,1523333000.0,,645457000.0,956189000.0,481238000.0,1343888000.0,,,189205000.0,45385000.0,,,10160078000.0,300000000.0,1045403000.0,22003762000.0,15302179000.0,11065338000.0,4516514000.0,15302179000.0,15302179000.0,6701583000.0,22003762000.0,9415091000.0,2185069000.0,-6091435000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2010.0,Q3,,2010-09-30,2010-10-20 21:48:23+00:00,116114000.0,2902663000.0,858074000.0,4180907000.0,,10253015000.0,2586964000.0,48550000.0,6121481000.0,586533000.0,,2101405000.0,1466047000.0,,1054999000.0,725582000.0,463761000.0,1057281000.0,,,218068000.0,50202000.0,,,9600891000.0,,1181615000.0,19948062000.0,15033952000.0,9454528000.0,3808909000.0,15033952000.0,15033952000.0,4914110000.0,19948062000.0,9027487000.0,1105201000.0,-5678028000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2010.0,Q2,,2010-06-30,2010-07-22 20:24:23+00:00,191919000.0,2645910000.0,161133000.0,4037442000.0,,10216814000.0,2349536000.0,44848000.0,5921852000.0,610224000.0,,1827886000.0,1429210000.0,,967177000.0,647316000.0,484205000.0,977958000.0,,,283099000.0,46855000.0,,,9168962000.0,,860440000.0,18747584000.0,14169291000.0,8675313000.0,3564261000.0,14169291000.0,14169291000.0,4578293000.0,18747584000.0,8643061000.0,1014032000.0,-5377618000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2010.0,Q1,,2010-03-31,2010-04-28 17:11:07+00:00,144266000.0,2708574000.0,674500000.0,3593003000.0,,10071329000.0,2413283000.0,58581000.0,6130156000.0,703153000.0,,1977567000.0,1346850000.0,,928460000.0,595268000.0,445695000.0,970881000.0,,,255014000.0,49598000.0,,,8756770000.0,,934898000.0,18690178000.0,14125109000.0,8277438000.0,3587011000.0,14125109000.0,14125109000.0,4565069000.0,18690178000.0,9065890000.0,978058000.0,-5377490000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2011.0,FY,,2011-12-31,2013-01-31 20:09:24+00:00,282000000.0,4650000000.0,549000000.0,4691000000.0,0.0,11147000000.0,4078000000.0,298000000.0,8365000000.0,1406000000.0,1525000000.0,2453000000.0,1986000000.0,,1073000000.0,1501000000.0,581000000.0,1511000000.0,,,449000000.0,58000000.0,,,13389000000.0,565000000.0,1238000000.0,27320000000.0,17930000000.0,12661000000.0,6734000000.0,17930000000.0,17930000000.0,9390000000.0,27320000000.0,12673000000.0,2656000000.0,-7155000000.0
eBay Inc,EBAY,OML71K8X303XQONU6T67,1065088,2011.0,Q3,,2011-09-30,2011-10-20 19:48:31+00:00,269031000.0,3890831000.0,673390000.0,2998950000.0,0.0,10987650000.0,3403389000.0,29196000.0,8341910000.0,1452723000.0,1528158000.0,3018596000.0,1859190000.0,,1005732000.0,1186870000.0,671770000.0,1427706000.0,,,465773000.0,56169000.0,,,11409853000.0,1015830000.0,1013924000.0,24900537000.0,16165326000.0,9762345000.0,6145152000.0,16165326000.0,16165326000.0,8735211000.0,24900537000.0,13279002000.0,2590059000.0,-6905567000.0
