company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,amortizationexpense,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otherincome,otherspecialcharges,restructuringcharge,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totalinterestincome,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2008.0,FY,2007-07-01,2008-06-30,2010-09-02 16:03:59+00:00,,3.63,3.63,0.48,3.57,-33300000.0,447900000.0,1300600000.0,847200000.0,453400000.0,1300600000.0,,83631100000.0,87408200000.0,38800000.0,19500000.0,57900000.0,2340600000.0,83631100000.0,3777100000.0,136100000.0,0.0,2384700000.0,1392400000.0,-97300000.0,1295100000.0,87408200000.0,358300000.0,358200000.0,364000000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2009.0,Q4,2009-04-01,2009-06-30,,,0.75,0.75,0.14,0.74,2700000.0,87800000.0,273100000.0,201900000.0,71200000.0,273100000.0,,23403000000.0,24347300000.0,15500000.0,4900000.0,38200000.0,591700000.0,23403000000.0,944300000.0,32600000.0,,637500000.0,306800000.0,-17100000.0,289700000.0,24347300000.0,357600000.0,357600000.0,361500000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2009.0,FY,2008-07-01,2009-06-30,2011-08-26 08:14:14+00:00,,3.22,3.22,0.56,3.18,13900000.0,401600000.0,1151600000.0,758200000.0,393400000.0,1151600000.0,,92244000000.0,95991500000.0,-13200000.0,5200000.0,107500000.0,2333500000.0,92244000000.0,3747500000.0,114400000.0,0.0,2460100000.0,1287400000.0,-127600000.0,1159800000.0,95991500000.0,357600000.0,357600000.0,361500000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2009.0,Q3YTD,2008-07-01,2009-03-31,,,2.47,2.47,0.42,2.44,11200000.0,313800000.0,878500000.0,556300000.0,322200000.0,878500000.0,,68841000000.0,71644200000.0,-28700000.0,300000.0,69300000.0,1741800000.0,68841000000.0,2803200000.0,81800000.0,,1822600000.0,980600000.0,-110500000.0,870100000.0,71644200000.0,355600000.0,358100000.0,360900000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2009.0,Q3,2009-01-01,2009-03-31,2010-05-06 08:00:49+00:00,,0.88,0.88,0.14,0.87,700000.0,129000000.0,312900000.0,215100000.0,97800000.0,312900000.0,,23102400000.0,24089300000.0,-6500000.0,600000.0,31700000.0,573000000.0,23102400000.0,986900000.0,30300000.0,0.0,606000000.0,380900000.0,-36800000.0,344100000.0,24089300000.0,355600000.0,358100000.0,360900000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2009.0,Q2YTD,2008-07-01,2008-12-31,,,1.59,1.59,0.28,1.57,10500000.0,184800000.0,565600000.0,341200000.0,224400000.0,565600000.0,,45738600000.0,47554900000.0,-22200000.0,-300000.0,37600000.0,1168800000.0,45738600000.0,1816300000.0,51500000.0,,1216600000.0,599700000.0,-73700000.0,526000000.0,47554900000.0,355600000.0,357300000.0,360300000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2009.0,Q2,2008-10-01,2008-12-31,2010-02-05 16:00:50+00:00,,0.89,0.89,0.14,0.88,6900000.0,102200000.0,316500000.0,169000000.0,147500000.0,316500000.0,,23202700000.0,24117800000.0,-19700000.0,-300000.0,16900000.0,578500000.0,23202700000.0,915100000.0,22200000.0,,602000000.0,313100000.0,-41900000.0,271200000.0,24117800000.0,355600000.0,357300000.0,360300000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2009.0,Q1,2008-07-01,2008-09-30,2009-11-09 15:58:50+00:00,,0.7,0.7,0.14,0.69,3600000.0,82600000.0,249100000.0,172200000.0,76900000.0,249100000.0,,22535900000.0,23437100000.0,-2500000.0,0.0,20700000.0,590300000.0,22535900000.0,901200000.0,29300000.0,,614600000.0,286600000.0,-31800000.0,254800000.0,23437100000.0,355900000.0,356700000.0,361100000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2010.0,Q4,2010-04-01,2010-06-30,,,0.63,0.63,0.17,0.62,800000.0,115000000.0,223300000.0,193800000.0,29500000.0,223300000.0,,23555400000.0,24459800000.0,-2900000.0,-33200000.0,25700000.0,577100000.0,23555400000.0,904400000.0,24100000.0,1800000.0,570400000.0,334000000.0,-25200000.0,308800000.0,24459800000.0,358700000.0,359000000.0,361000000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2010.0,FY,2009-07-01,2010-06-30,2012-08-22 07:54:24+00:00,,1.79,1.79,0.7,1.77,29000000.0,625000000.0,642000000.0,587000000.0,55000000.0,642000000.0,,94722000000.0,98503000000.0,13000000.0,-62000000.0,110000000.0,2397000000.0,94722000000.0,3781000000.0,153000000.0,45000000.0,2474000000.0,1307000000.0,-95000000.0,1212000000.0,98503000000.0,358700000.0,359000000.0,361000000.0
