company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commonequity,goodwill,grossppe,longtermdebt,longterminvestments,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxliabilities,othercurrentassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,othernoncurrentassets,prepaidexpenses,redeemablenoncontrollinginterest,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2009.0,FY,,2009-06-30,2010-09-02 16:03:59+00:00,9041900000.0,5214900000.0,1496200000.0,1536800000.0,82200000.0,1221600000.0,3031600000.0,2266900000.0,3001300000.0,3271600000.0,0.0,6832800000.0,1464500000.0,,847300000.0,,7189400000.0,1370900000.0,405700000.0,523000000.0,,5953900000.0,366200000.0,25118800000.0,8724700000.0,20981700000.0,12275200000.0,8724700000.0,8724700000.0,16394100000.0,25118800000.0,2672600000.0,4118900000.0,0.0,-343000000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2010.0,FY,,2010-06-30,2011-08-26 08:14:14+00:00,9494900000.0,5170600000.0,1809500000.0,1624900000.0,70000000.0,2755300000.0,2889900000.0,2253200000.0,3093700000.0,1896100000.0,691500000.0,6355900000.0,1468800000.0,,1280400000.0,637100000.0,,,657800000.0,,,2647200000.0,233200000.0,19990200000.0,5276100000.0,14918900000.0,11537600000.0,5276100000.0,5276100000.0,14714100000.0,19990200000.0,3602500000.0,3176500000.0,0.0,-331000000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2010.0,Q3,,2010-03-31,2010-05-06 08:00:49+00:00,10766600000.0,5550200000.0,1712900000.0,1711900000.0,172200000.0,2638800000.0,2897200000.0,2261800000.0,3118000000.0,1875600000.0,805200000.0,7214900000.0,1406100000.0,,1286300000.0,,138900000.0,35300000.0,719800000.0,534500000.0,,2463900000.0,232600000.0,21270200000.0,5360900000.0,16077300000.0,12747400000.0,5360900000.0,5360900000.0,15909300000.0,21270200000.0,3786800000.0,3161900000.0,0.0,-172400000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2010.0,Q2,,2009-12-31,2010-02-05 16:00:50+00:00,10543100000.0,4927500000.0,1609900000.0,1682700000.0,200400000.0,1746800000.0,2893000000.0,2294700000.0,3105900000.0,2099200000.0,897400000.0,7961000000.0,1423200000.0,,1293200000.0,,148900000.0,37300000.0,747900000.0,674100000.0,,2306500000.0,12700000.0,20821500000.0,5226100000.0,15458300000.0,12203000000.0,5226100000.0,5226100000.0,15595400000.0,20821500000.0,3940000000.0,3392400000.0,0.0,-173800000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2010.0,Q1,,2009-09-30,2009-11-09 15:58:50+00:00,10047100000.0,5921900000.0,1701700000.0,1607200000.0,76900000.0,1584800000.0,2929100000.0,2269300000.0,3045800000.0,2103500000.0,902400000.0,6861900000.0,1438600000.0,,1243300000.0,,162600000.0,35600000.0,735400000.0,557800000.0,,2124100000.0,362300000.0,20434700000.0,4941200000.0,15089000000.0,12146700000.0,4941200000.0,4941200000.0,15493500000.0,20434700000.0,3907100000.0,3346800000.0,0.0,-188900000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2011.0,FY,,2011-06-30,2012-08-22 07:54:24+00:00,11332000000.0,6156000000.0,1711000000.0,,77000000.0,1929000000.0,2898000000.0,4259000000.0,,2175000000.0,,7334000000.0,1512000000.0,,1452000000.0,897000000.0,,,759000000.0,,,3331000000.0,327000000.0,22846000000.0,5849000000.0,16316000000.0,13370000000.0,5849000000.0,5849000000.0,16997000000.0,22846000000.0,5018000000.0,3627000000.0,0.0,-457000000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2011.0,Q3,,2011-03-31,2011-05-06 08:08:48+00:00,11961500000.0,6282500000.0,1685900000.0,1818500000.0,67100000.0,1961800000.0,2887100000.0,4265700000.0,3288300000.0,2362100000.0,0.0,7717700000.0,1469800000.0,,1416800000.0,723400000.0,,,775900000.0,,,3189800000.0,113700000.0,23196800000.0,5656800000.0,16685400000.0,13761100000.0,5656800000.0,5656800000.0,17540000000.0,23196800000.0,5041600000.0,3778900000.0,0.0,-487200000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2011.0,Q2,,2010-12-31,2011-02-08 08:33:09+00:00,11778800000.0,5825300000.0,1562400000.0,1728200000.0,39400000.0,1348000000.0,2876700000.0,4282600000.0,3213000000.0,2380200000.0,0.0,8314200000.0,1484800000.0,,1417000000.0,789500000.0,,,805300000.0,,,3023700000.0,289900000.0,22849700000.0,5421400000.0,16277000000.0,13631100000.0,5421400000.0,5421400000.0,17428300000.0,22849700000.0,5087900000.0,3797200000.0,0.0,-518400000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2011.0,Q1,,2010-09-30,2010-11-08 08:24:47+00:00,10532300000.0,5454100000.0,1685700000.0,1676300000.0,37200000.0,2712200000.0,2865600000.0,2896900000.0,3151600000.0,1906400000.0,0.0,7087500000.0,1475300000.0,,1375500000.0,,,,682100000.0,664400000.0,,2876000000.0,233600000.0,20972500000.0,5239000000.0,15918200000.0,12451600000.0,5239000000.0,5239000000.0,15733500000.0,20972500000.0,3579000000.0,3281900000.0,0.0,-539800000.0
Cardinal Health Inc,CAH,CCU46N3GJMF4OK4N7U60,721371,2012.0,FY,,2012-06-30,2013-08-20 16:10:48+00:00,11726000000.0,6355000000.0,1972000000.0,,37000000.0,2274000000.0,2930000000.0,4392000000.0,,2418000000.0,,7864000000.0,1551000000.0,,1424000000.0,1017000000.0,,,807000000.0,,,4093000000.0,476000000.0,24260000000.0,6244000000.0,17510000000.0,14174000000.0,6244000000.0,6244000000.0,18016000000.0,24260000000.0,5199000000.0,3842000000.0,0.0,-816000000.0
