company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,accountspayable,accountsreceivable,accruedexpenses,accumulateddepreciation,aoci,cashandequivalents,commitmentsandcontingencies,commonequity,currentdeferredtaxassets,currentdeferredtaxliabilities,currentemployeebenefitliabilities,goodwill,grossppe,intangibleassets,longtermdebt,netinventory,netppe,noncontrollinginterests,noncurrentdeferredtaxassets,noncurrentdeferredtaxliabilities,noncurrentemployeebenefitliabilities,othercurrentassets,othercurrentnonoperatingassets,othercurrentnonoperatingliabilities,otherequity,othernoncurrentassets,othernoncurrentliabilities,othernoncurrentnonoperatingassets,othernoncurrentnonoperatingliabilities,retainedearnings,shorttermdebt,shortterminvestments,totalassets,totalcommonequity,totalcurrentassets,totalcurrentliabilities,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,totalnoncurrentassets,totalnoncurrentliabilities,totalpreferredequity,treasurystock
A. O. Smith Corp,AOS,,91142,2009.0,FY,,2009-12-31,2011-02-24 14:57:44+00:00,236800000.0,275600000.0,87300000.0,,-230900000.0,76300000.0,,716100000.0,25800000.0,6500000.0,39300000.0,319900000.0,,115600000.0,232100000.0,110500000.0,249000000.0,19100000.0,93900000.0,,248300000.0,24500000.0,227300000.0,100300000.0,,39500000.0,141300000.0,416600000.0,71700000.0,365400000.0,21100000.0,,1974500000.0,770700000.0,740000000.0,491300000.0,770700000.0,789800000.0,1184700000.0,1974500000.0,985500000.0,693400000.0,0.0,-79900000.0
A. O. Smith Corp,AOS,,91142,2010.0,FY,,2010-12-31,2012-02-27 16:35:58+00:00,263000000.0,313300000.0,89700000.0,,-229400000.0,118900000.0,0.0,733300000.0,27300000.0,5700000.0,37200000.0,323800000.0,,106600000.0,242400000.0,146800000.0,258400000.0,,89700000.0,0.0,236500000.0,17400000.0,272300000.0,122600000.0,,36800000.0,135000000.0,399300000.0,78500000.0,452100000.0,18600000.0,0.0,2110600000.0,881400000.0,896000000.0,536800000.0,881400000.0,881400000.0,1229200000.0,2110600000.0,956200000.0,692400000.0,0.0,-74600000.0
A. O. Smith Corp,AOS,,91142,2010.0,Q3,,2010-09-30,2010-11-04 14:22:45+00:00,337800000.0,422400000.0,117700000.0,592600000.0,-228500000.0,109100000.0,,720300000.0,27300000.0,,51200000.0,569300000.0,993700000.0,114400000.0,97500000.0,268600000.0,401100000.0,19000000.0,11700000.0,,210100000.0,49000000.0,,,,33700000.0,151300000.0,,,426400000.0,179100000.0,,2006600000.0,842900000.0,876400000.0,685800000.0,842900000.0,861900000.0,1144700000.0,2006600000.0,729100000.0,458900000.0,,-75300000.0
A. O. Smith Corp,AOS,,91142,2010.0,Q2,,2010-06-30,2010-08-04 16:12:00+00:00,368700000.0,416500000.0,112600000.0,581000000.0,-238300000.0,94000000.0,,718800000.0,29000000.0,,45900000.0,567300000.0,971800000.0,116100000.0,99200000.0,257100000.0,390800000.0,19000000.0,16900000.0,,217700000.0,44900000.0,,,,34600000.0,153000000.0,,,400900000.0,145500000.0,,1967200000.0,805600000.0,841500000.0,672700000.0,805600000.0,824600000.0,1142600000.0,1967200000.0,734900000.0,469900000.0,,-75800000.0
A. O. Smith Corp,AOS,,91142,2011.0,FY,,2011-12-31,2013-02-27 16:38:18+00:00,302500000.0,368400000.0,117800000.0,,-300900000.0,463400000.0,0.0,729200000.0,24600000.0,,41900000.0,433800000.0,,352700000.0,443000000.0,168400000.0,315300000.0,,,3100000.0,151100000.0,21500000.0,,31500000.0,,38500000.0,145000000.0,,8700000.0,729900000.0,18600000.0,162400000.0,2349000000.0,1085800000.0,1208700000.0,512300000.0,1085800000.0,1085800000.0,1263200000.0,2349000000.0,825000000.0,750900000.0,0.0,-72400000.0
A. O. Smith Corp,AOS,,91142,2011.0,Q3,,2011-09-30,2011-11-08 16:12:52+00:00,276300000.0,369500000.0,128600000.0,293000000.0,-252900000.0,440600000.0,,728200000.0,62200000.0,,38500000.0,427800000.0,601700000.0,355700000.0,376300000.0,176700000.0,308700000.0,,,33900000.0,51400000.0,23700000.0,,157700000.0,,39100000.0,149500000.0,,4400000.0,705200000.0,18600000.0,154700000.0,2358700000.0,1123500000.0,1227400000.0,619700000.0,1123500000.0,1123500000.0,1235200000.0,2358700000.0,822600000.0,615500000.0,,-57000000.0
A. O. Smith Corp,AOS,,91142,2011.0,Q2,,2011-06-30,2011-08-08 14:54:09+00:00,258300000.0,327700000.0,97900000.0,286900000.0,-228800000.0,108200000.0,,727600000.0,68700000.0,,32100000.0,325700000.0,553200000.0,104000000.0,356900000.0,161600000.0,266300000.0,,25400000.0,,50900000.0,23800000.0,301200000.0,129000000.0,,37100000.0,152200000.0,393400000.0,77400000.0,530400000.0,18600000.0,,2143100000.0,969800000.0,991200000.0,535900000.0,969800000.0,969800000.0,1173300000.0,2143100000.0,885600000.0,637400000.0,,-59400000.0
A. O. Smith Corp,AOS,,91142,2011.0,Q1,,2011-03-31,2011-05-10 11:32:45+00:00,279300000.0,362000000.0,106800000.0,278500000.0,-229400000.0,124200000.0,,725600000.0,26200000.0,,28600000.0,325300000.0,541300000.0,105500000.0,321200000.0,160800000.0,262800000.0,,91300000.0,,179400000.0,19900000.0,293900000.0,122100000.0,,37200000.0,147300000.0,396200000.0,80100000.0,486600000.0,18600000.0,,2205300000.0,921900000.0,987000000.0,555400000.0,921900000.0,921900000.0,1283400000.0,2205300000.0,955500000.0,728000000.0,,-60900000.0
A. O. Smith Corp,AOS,,91142,2012.0,FY,,2012-12-31,2014-02-20 11:59:15+00:00,328900000.0,425400000.0,112300000.0,,-320500000.0,266900000.0,0.0,729100000.0,33200000.0,,46500000.0,435400000.0,,338700000.0,225100000.0,163400000.0,345700000.0,,,6300000.0,200700000.0,29700000.0,,,,44400000.0,146300000.0,,,855100000.0,18600000.0,196000000.0,2278800000.0,1194100000.0,1114600000.0,506300000.0,1194100000.0,1194100000.0,1084700000.0,2278800000.0,818500000.0,578400000.0,0.0,-69600000.0
A. O. Smith Corp,AOS,,91142,2012.0,Q3,,2012-09-30,2012-11-06 14:11:05+00:00,289400000.0,369100000.0,106400000.0,325700000.0,-302100000.0,279600000.0,,727800000.0,32500000.0,,44100000.0,435900000.0,656800000.0,342600000.0,261000000.0,178200000.0,331100000.0,,,,153700000.0,26400000.0,,4300000.0,,37300000.0,157500000.0,,8900000.0,825200000.0,18600000.0,202600000.0,2235300000.0,1191400000.0,1088400000.0,462800000.0,1191400000.0,1191400000.0,1043900000.0,2235300000.0,815800000.0,581100000.0,,-59500000.0
