company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,amortizationexpense,cashincometaxespaid,cashinterestpaid,depreciationexpense,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofcommonequity,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
Abiomed Inc,ABMD,5493001EZN4ZTB4Z5887,815094,2010.0,FY,2009-04-01,2010-03-31,2012-06-04 15:34:33+00:00,-1750000.0,,300000.0,,4898000.0,568000.0,4518000.0,340000.0,979000.0,8818000.0,-7362000.0,979000.0,8818000.0,-7362000.0,3003000.0,-19024000.0,-19024000.0,2246000.0,639000.0,6389000.0,-11869000.0,-1800000.0,,,17848000.0
Abiomed Inc,ABMD,5493001EZN4ZTB4Z5887,815094,2011.0,Q4,2011-01-01,2011-03-31,,,,,,940000.0,938000.0,-857000.0,160000.0,805000.0,-251000.0,146000.0,805000.0,-251000.0,146000.0,1638000.0,-1772000.0,-1772000.0,1835000.0,645000.0,,-1501000.0,-750000.0,,,2000000.0
Abiomed Inc,ABMD,5493001EZN4ZTB4Z5887,815094,2011.0,FY,2010-04-01,2011-03-31,2013-05-28 16:33:09+00:00,,,,,3948000.0,447000.0,1467000.0,313000.0,1374000.0,-2352000.0,1574000.0,1374000.0,-2352000.0,1574000.0,1043000.0,-11755000.0,-11755000.0,7914000.0,1061000.0,456000.0,-8004000.0,-1804000.0,,,7000000.0
Abiomed Inc,ABMD,5493001EZN4ZTB4Z5887,815094,2011.0,Q3,2010-10-01,2010-12-31,,,,,,904000.0,-430000.0,3468000.0,,73000.0,-5464000.0,5863000.0,73000.0,-5464000.0,5863000.0,42000.0,-802000.0,-802000.0,2293000.0,73000.0,,-5001000.0,-463000.0,,,
Abiomed Inc,ABMD,5493001EZN4ZTB4Z5887,815094,2011.0,Q3YTD,2010-04-01,2010-12-31,2012-02-08 16:05:47+00:00,,,,,3008000.0,-491000.0,2324000.0,153000.0,569000.0,-2101000.0,1428000.0,569000.0,-2101000.0,1428000.0,-595000.0,-9983000.0,-9983000.0,6079000.0,416000.0,456000.0,-6503000.0,-1054000.0,,,5000000.0
Abiomed Inc,ABMD,5493001EZN4ZTB4Z5887,815094,2011.0,Q2,2010-07-01,2010-09-30,,,,,,1145000.0,682000.0,-1705000.0,153000.0,402000.0,914000.0,-1788000.0,402000.0,914000.0,-1788000.0,210000.0,-3201000.0,-3201000.0,1973000.0,249000.0,217000.0,-1000.0,-302000.0,,,1000000.0
Abiomed Inc,ABMD,5493001EZN4ZTB4Z5887,815094,2011.0,Q2YTD,2010-04-01,2010-09-30,2011-11-07 16:58:31+00:00,,,,,2104000.0,-61000.0,-1144000.0,153000.0,496000.0,3363000.0,-4435000.0,496000.0,3363000.0,-4435000.0,-637000.0,-9181000.0,-9181000.0,3786000.0,343000.0,456000.0,-1502000.0,-591000.0,,,5000000.0
Abiomed Inc,ABMD,5493001EZN4ZTB4Z5887,815094,2011.0,Q1,2010-04-01,2010-06-30,2011-08-05 16:52:32+00:00,,,,,959000.0,-743000.0,561000.0,,94000.0,2449000.0,-2647000.0,94000.0,2449000.0,-2647000.0,-847000.0,-5980000.0,-5980000.0,1813000.0,94000.0,239000.0,-1501000.0,-289000.0,,,4000000.0
Abiomed Inc,ABMD,5493001EZN4ZTB4Z5887,815094,2012.0,Q4,2012-01-01,2012-03-31,,,,17000.0,,1253000.0,-234000.0,-1506000.0,123000.0,2697000.0,-6558000.0,4993000.0,2697000.0,-6558000.0,4993000.0,898000.0,2567000.0,2567000.0,2679000.0,2574000.0,,-7500000.0,192000.0,,,750000.0
Abiomed Inc,ABMD,5493001EZN4ZTB4Z5887,815094,2012.0,FY,2011-04-01,2012-03-31,2014-05-28 15:17:02+00:00,,,17000.0,,4336000.0,-675000.0,-10956000.0,423000.0,14680000.0,-17480000.0,3634000.0,14680000.0,-17480000.0,3634000.0,159000.0,1495000.0,1495000.0,8759000.0,14257000.0,,-24502000.0,-1745000.0,,,8767000.0
