company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,netincome,netincomecontinuing,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheroperatingexpenses,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2007.0,FY,2007-01-01,2007-12-31,2010-02-10 16:37:06+00:00,3.55,3.55,0.03,796000000.0,3.42,2651000000.0,4654000000.0,4654000000.0,4654000000.0,,768000000.0,75469000000.0,55435000000.0,10583000000.0,768000000.0,74701000000.0,544000000.0,66814000000.0,7849000000.0,-544000000.0,7305000000.0,75469000000.0,1311000000.0,1312000000.0,1361000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2008.0,FY,2008-01-01,2008-12-31,2011-02-10 16:04:42+00:00,2.45,2.45,0.03,981000000.0,2.4,1647000000.0,2977000000.0,2977000000.0,2977000000.0,,1480000000.0,81186000000.0,60359000000.0,13103000000.0,1480000000.0,79706000000.0,639000000.0,74443000000.0,5263000000.0,-639000000.0,4624000000.0,81186000000.0,1215100000.0,1214000000.0,1241000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2008.0,Q3,2008-07-01,2008-09-30,2009-11-03 16:14:24+00:00,0.76,0.76,,254000000.0,0.75,512000000.0,920000000.0,920000000.0,920000000.0,,387000000.0,20156000000.0,14943000000.0,2974000000.0,387000000.0,19769000000.0,166000000.0,18171000000.0,1598000000.0,-166000000.0,1432000000.0,20156000000.0,1210500000.0,1204000000.0,1227000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2008.0,Q2,2008-04-01,2008-06-30,2009-08-06 16:07:57+00:00,0.28,0.28,,243000000.0,0.27,172000000.0,337000000.0,337000000.0,337000000.0,,353000000.0,20272000000.0,15257000000.0,3746000000.0,353000000.0,19919000000.0,164000000.0,19246000000.0,673000000.0,-164000000.0,509000000.0,20272000000.0,1203600000.0,1216000000.0,1245000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2009.0,Q4,2009-10-01,2009-12-31,,0.82,0.82,,258000000.0,0.81,487000000.0,944000000.0,944000000.0,944000000.0,,497000000.0,21784000000.0,16041000000.0,3413000000.0,497000000.0,21287000000.0,144000000.0,19712000000.0,1575000000.0,-144000000.0,1431000000.0,21784000000.0,1168800000.0,1168000000.0,1179000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2009.0,FY,2009-01-01,2009-12-31,2012-02-08 19:46:55+00:00,3.27,3.27,0.03,991000000.0,3.24,1986000000.0,3822000000.0,3822000000.0,3822000000.0,,1765000000.0,87138000000.0,65289000000.0,12734000000.0,1765000000.0,85373000000.0,551000000.0,79014000000.0,6359000000.0,-551000000.0,5808000000.0,87138000000.0,1168800000.0,1168000000.0,1179000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2009.0,Q3YTD,2009-01-01,2009-09-30,,2.45,2.45,0.03,733000000.0,2.43,1499000000.0,2878000000.0,2878000000.0,2878000000.0,,1268000000.0,65354000000.0,49248000000.0,9321000000.0,1268000000.0,64086000000.0,407000000.0,59302000000.0,4784000000.0,-407000000.0,4377000000.0,65354000000.0,1150000000.0,1153000000.0,1164000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 16:08:09+00:00,0.9,0.9,0.0,250000000.0,0.89,504000000.0,1035000000.0,1035000000.0,1035000000.0,,442000000.0,21695000000.0,16171000000.0,3156000000.0,442000000.0,21253000000.0,137000000.0,19577000000.0,1676000000.0,-137000000.0,1539000000.0,21695000000.0,1150000000.0,1153000000.0,1164000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.55,1.55,0.03,483000000.0,1.54,995000000.0,1843000000.0,1843000000.0,1843000000.0,,826000000.0,43659000000.0,33077000000.0,6165000000.0,826000000.0,42833000000.0,270000000.0,39725000000.0,3108000000.0,-270000000.0,2838000000.0,43659000000.0,1176700000.0,1170000000.0,1180000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2009.0,Q2,2009-04-01,2009-06-30,2010-08-05 15:35:10+00:00,0.73,0.73,0.03,249000000.0,0.73,442000000.0,859000000.0,859000000.0,859000000.0,,422000000.0,21655000000.0,16507000000.0,3037000000.0,422000000.0,21233000000.0,139000000.0,19793000000.0,1440000000.0,-139000000.0,1301000000.0,21655000000.0,1176700000.0,1170000000.0,1180000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2009.0,Q1,2009-01-01,2009-03-31,2010-05-05 16:22:54+00:00,0.82,0.82,,234000000.0,0.81,553000000.0,984000000.0,984000000.0,984000000.0,,404000000.0,22004000000.0,16570000000.0,3128000000.0,404000000.0,21600000000.0,131000000.0,19932000000.0,1668000000.0,-131000000.0,1537000000.0,22004000000.0,1200000000.0,1198000000.0,1210000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2010.0,Q4,2010-10-01,2010-12-31,,0.95,0.95,0.13,320000000.0,0.94,641000000.0,1043000000.0,1043000000.0,1043000000.0,,563000000.0,24030000000.0,17258000000.0,4087000000.0,563000000.0,23467000000.0,118000000.0,21665000000.0,1802000000.0,-118000000.0,1684000000.0,24030000000.0,1119300000.0,1120000000.0,1131000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2010.0,FY,2010-01-01,2010-12-31,2013-02-06 18:00:09+00:00,4.14,4.14,0.405,1064000000.0,4.1,2749000000.0,4634000000.0,4634000000.0,4634000000.0,,2116000000.0,94155000000.0,68841000000.0,14270000000.0,2116000000.0,92039000000.0,481000000.0,84175000000.0,7864000000.0,-481000000.0,7383000000.0,94155000000.0,1119300000.0,1120000000.0,1131000000.0
UnitedHealth Group Inc,UNH,549300GHBMY8T5GXDE41,731766,2010.0,Q3YTD,2010-01-01,2010-09-30,,3.19,3.19,0.28,744000000.0,3.16,2108000000.0,3591000000.0,3591000000.0,3591000000.0,,1553000000.0,70125000000.0,51583000000.0,10183000000.0,1553000000.0,68572000000.0,363000000.0,62510000000.0,6062000000.0,-363000000.0,5699000000.0,70125000000.0,1110400000.0,1115000000.0,1124000000.0
