company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,depreciationexpense,dilutedeps,incometaxexpense,longtermdebtinterestexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netinterestincome,otheroperatingexpenses,otherservicechargeincome,otherspecialcharges,premiumsearned,servicechargesondepositsincome,totalinterestexpense,totalnoninterestexpense,totalnoninterestincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
COVENTRY HEALTH CARE INC,CVH,,1054833,2008.0,FY,2008-01-01,2008-12-31,2011-02-25 15:49:46+00:00,2.56,2.56,,143699000.0,2.54,209861000.0,96386000.0,381895000.0,362000000.0,19895000.0,381895000.0,-96386000.0,11004999000.0,1171064000.0,-82718000.0,10563163000.0,,96386000.0,11065980000.0,11734227000.0,571861000.0,11637841000.0,149200000.0,148893000.0,150208000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2009.0,FY,2009-01-01,2009-12-31,2012-02-27 18:30:23+00:00,1.65,1.65,,149554000.0,1.64,189220000.0,84875000.0,242301000.0,315334000.0,-73033000.0,242301000.0,-84875000.0,13252021000.0,1186127000.0,-87478000.0,12717399000.0,,84875000.0,13314097000.0,13903526000.0,504554000.0,13818651000.0,146800000.0,146652000.0,147395000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2009.0,Q3,2009-07-01,2009-09-30,2010-11-05 12:31:04+00:00,0.48,0.48,,40660000.0,0.48,49638000.0,20697000.0,70629000.0,100439000.0,-29810000.0,70629000.0,-20697000.0,3250688000.0,290968000.0,-18012000.0,3153142000.0,,20697000.0,3273336000.0,3444110000.0,150077000.0,3423413000.0,147100000.0,147062000.0,147784000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2009.0,Q2,2009-04-01,2009-06-30,2010-08-06 11:51:50+00:00,0.13,0.13,,34972000.0,0.12,44871000.0,21775000.0,18425000.0,67708000.0,-49283000.0,18425000.0,-21775000.0,3360943000.0,296455000.0,-31895000.0,3201919000.0,,21775000.0,3364020000.0,3498374000.0,112579000.0,3476599000.0,141700000.0,146955000.0,147616000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,Q4,2010-10-01,2010-12-31,,0.98,0.98,,36342000.0,0.98,85522000.0,19705000.0,150325000.0,150325000.0,,150325000.0,-19705000.0,2751628000.0,-878637000.0,-18506000.0,2730377000.0,1173276000.0,19705000.0,2769464000.0,3025016000.0,235847000.0,3005311000.0,146169000.0,146169000.0,146169000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,FY,2010-01-01,2010-12-31,2013-02-27 11:18:38+00:00,2.96,2.96,0.0,140685000.0,2.94,247918000.0,80418000.0,438616000.0,438616000.0,,438616000.0,-80418000.0,10757946000.0,,-77667000.0,10414640000.0,1173276000.0,80418000.0,10820964000.0,11587916000.0,686534000.0,11507498000.0,146169000.0,146169000.0,146169000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,Q3YTD,2010-01-01,2010-09-30,,1.98,1.98,,104343000.0,1.96,162396000.0,60713000.0,288291000.0,288291000.0,,288291000.0,-60713000.0,8006318000.0,878637000.0,-59161000.0,7684263000.0,,60713000.0,8051500000.0,8562900000.0,450687000.0,8502187000.0,146100000.0,146167000.0,147294000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,Q3,2010-07-01,2010-09-30,2011-11-04 16:04:34+00:00,1.3,1.3,,34839000.0,1.29,102277000.0,20388000.0,189945000.0,189945000.0,,189945000.0,-20388000.0,2508999000.0,292601000.0,-20667000.0,2543180000.0,,20388000.0,2523171000.0,2835781000.0,292222000.0,2815393000.0,146100000.0,146167000.0,147294000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,Q2YTD,2010-01-01,2010-06-30,,0.68,0.68,,69504000.0,0.67,60119000.0,40325000.0,98346000.0,98346000.0,,98346000.0,-40325000.0,5497319000.0,586036000.0,-38494000.0,5141083000.0,,40325000.0,5528329000.0,5727119000.0,158465000.0,5686794000.0,102100000.0,145943000.0,147300000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,Q2,2010-04-01,2010-06-30,2011-08-05 11:06:16+00:00,0.01,0.01,,33985000.0,0.01,2221000.0,20195000.0,1021000.0,1021000.0,,1021000.0,-20195000.0,2828926000.0,297633000.0,-18207000.0,2570508000.0,,20195000.0,2844704000.0,2868141000.0,3242000.0,2847946000.0,102100000.0,145943000.0,147300000.0
