company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,aoci,cashandequivalents,commonequity,goodwill,intangibleassets,longtermdebt,netpremisesandequipment,otherassets,otherlongtermliabilities,othershorttermpayables,restrictedcash,retainedearnings,shorttermdebt,totalassets,totalcommonequity,totalequity,totalequityandnoncontrollinginterests,totalliabilities,totalliabilitiesandequity,treasurystock
COVENTRY HEALTH CARE INC,CVH,,1054833,2009.0,FY,,2009-12-31,2011-02-25 15:49:46+00:00,41406000.0,1418554000.0,1752018000.0,2529284000.0,471693000.0,1599027000.0,271931000.0,3475070000.0,456518000.0,2398433000.0,,3201184000.0,,8166532000.0,3712554000.0,3712554000.0,3712554000.0,4453978000.0,8166532000.0,-1282054000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,FY,,2010-12-31,2012-02-27 18:30:23+00:00,41081000.0,1853988000.0,1786741000.0,2550570000.0,431886000.0,1599396000.0,262282000.0,3396859000.0,414025000.0,2282998000.0,,3639800000.0,0.0,8495585000.0,4199166000.0,4199166000.0,4199166000.0,4296419000.0,8495585000.0,-1268456000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,Q3,,2010-09-30,2010-11-05 12:31:04+00:00,68594000.0,1786587000.0,1767591000.0,2545241000.0,432991000.0,1599304000.0,258059000.0,3361519000.0,439299000.0,2289405000.0,,3489475000.0,,8384397000.0,4056389000.0,4056389000.0,4056389000.0,4328008000.0,8384397000.0,-1269271000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2010.0,Q2,,2010-06-30,2010-08-06 11:51:50+00:00,54563000.0,1495414000.0,1758896000.0,2546351000.0,448948000.0,1599211000.0,258503000.0,3442572000.0,428155000.0,2320932000.0,,3299530000.0,,8191788000.0,3843490000.0,3843490000.0,3843490000.0,4348298000.0,8191788000.0,-1269499000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2011.0,FY,,2011-12-31,2013-02-27 11:18:38+00:00,60469000.0,1579003000.0,1850930000.0,2548834000.0,367533000.0,1584700000.0,255485000.0,4062677000.0,365686000.0,2118252000.0,,4182905000.0,233903000.0,8813532000.0,4510991000.0,4510991000.0,4510991000.0,4302541000.0,8813532000.0,-1583313000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2011.0,Q3,,2011-09-30,2011-11-04 16:04:34+00:00,54641000.0,1986323000.0,1842778000.0,2559605000.0,383582000.0,1584578000.0,262432000.0,3831954000.0,432603000.0,2260217000.0,,4097210000.0,233903000.0,9023896000.0,4512595000.0,4512595000.0,4512595000.0,4511301000.0,9023896000.0,-1482034000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2011.0,Q2,,2011-06-30,2011-08-05 11:06:16+00:00,47262000.0,1645616000.0,1827709000.0,2552348000.0,399641000.0,1584456000.0,260462000.0,3875426000.0,431007000.0,2139805000.0,150500000.0,3974528000.0,233903000.0,8883993000.0,4494822000.0,4494822000.0,4494822000.0,4389171000.0,8883993000.0,-1354677000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2011.0,Q1,,2011-03-31,2011-05-05 14:42:41+00:00,34602000.0,1358531000.0,1803042000.0,2554966000.0,415706000.0,1365585000.0,262365000.0,3861915000.0,416391000.0,2318266000.0,150500000.0,3750034000.0,233903000.0,8603983000.0,4269838000.0,4269838000.0,4269838000.0,4334145000.0,8603983000.0,-1317840000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2012.0,FY,,2012-12-31,2013-05-01 07:47:50+00:00,69220000.0,1399162000.0,1972848000.0,2591488000.0,318592000.0,1585190000.0,266818000.0,4174928000.0,397813000.0,2045070000.0,,4601596000.0,,8750988000.0,4722915000.0,4722915000.0,4722915000.0,4028073000.0,8750988000.0,-1920749000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2012.0,Q3,,2012-09-30,2012-11-05 15:40:37+00:00,78682000.0,1262078000.0,1939998000.0,2590465000.0,335103000.0,1585067000.0,258378000.0,4260639000.0,387159000.0,2108114000.0,,4499080000.0,0.0,8706663000.0,4626323000.0,4626323000.0,4626323000.0,4080340000.0,8706663000.0,-1891437000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2012.0,Q2,,2012-06-30,2012-08-06 14:47:36+00:00,65774000.0,1515971000.0,1920322000.0,2590013000.0,351603000.0,1584945000.0,258090000.0,4157766000.0,379937000.0,2402278000.0,,4410564000.0,0.0,8873443000.0,4506283000.0,4506283000.0,4506283000.0,4367160000.0,8873443000.0,-1890377000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2012.0,Q1,,2012-03-31,2012-05-08 16:32:00+00:00,60935000.0,1744983000.0,1888895000.0,2592522000.0,375951000.0,1584823000.0,259704000.0,4044659000.0,370081000.0,2360217000.0,,4335888000.0,0.0,9017819000.0,4702698000.0,4702698000.0,4702698000.0,4315121000.0,9017819000.0,-1583020000.0
COVENTRY HEALTH CARE INC,CVH,,1054833,2013.0,Q1,,2013-03-31,2013-05-01 07:47:50+00:00,53757000.0,1531678000.0,1983128000.0,2591488000.0,302118000.0,1585312000.0,261668000.0,4268325000.0,396476000.0,2137486000.0,,4720114000.0,,8955277000.0,4836003000.0,4836003000.0,4836003000.0,4119274000.0,8955277000.0,-1920996000.0
