company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,depreciationexpense,divestitures,increasedecreaseinoperatingcapital,issuanceofcommonequity,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments
WellCare Health Plans Inc,WCG,,1279363,2008.0,FY,2008-01-01,2008-12-31,2011-02-16 17:10:58+00:00,,53911000.0,10150000.0,21324000.0,,105177000.0,,,-31777000.0,-91137000.0,296427000.0,-31777000.0,-91137000.0,296427000.0,173513000.0,-36833000.0,-36833000.0,206759000.0,-27057000.0,-206658000.0,-135607000.0,-19559000.0,-2000000.0,-2720000.0,270687000.0
WellCare Health Plans Inc,WCG,,1279363,2009.0,Q3,2009-07-01,2009-09-30,,,55660000.0,,5851000.0,,-17070000.0,,,-48633000.0,59628000.0,219538000.0,-48633000.0,59628000.0,219538000.0,230533000.0,28660000.0,28660000.0,202097000.0,-48233000.0,-37226000.0,-229000.0,-1710000.0,-400000.0,,98793000.0
WellCare Health Plans Inc,WCG,,1279363,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-04 17:02:16+00:00,,58489000.0,2642000.0,17547000.0,,35292000.0,,,-152723000.0,72477000.0,69542000.0,-152723000.0,72477000.0,69542000.0,-10704000.0,28732000.0,28732000.0,-12029000.0,77000.0,-64039000.0,-19295000.0,-9908000.0,-152800000.0,0.0,165719000.0
WellCare Health Plans Inc,WCG,,1279363,2009.0,Q2YTD,2009-01-01,2009-06-30,2010-08-09 13:50:19+00:00,,2829000.0,2642000.0,11696000.0,,52362000.0,,,-104090000.0,12849000.0,-149996000.0,-104090000.0,12849000.0,-149996000.0,-241237000.0,72000.0,72000.0,-214126000.0,48310000.0,-26813000.0,-19066000.0,-8198000.0,-152400000.0,0.0,66926000.0
WellCare Health Plans Inc,WCG,,1279363,2010.0,Q4,2010-10-01,2010-12-31,,,40276000.0,45000.0,6176000.0,,69316000.0,,,20539000.0,-47047000.0,295041000.0,20539000.0,-47047000.0,295041000.0,268533000.0,26137000.0,26137000.0,193412000.0,22432000.0,-3434000.0,-102058000.0,-11324000.0,-76000.0,-1817000.0,69769000.0
WellCare Health Plans Inc,WCG,,1279363,2010.0,FY,2010-01-01,2010-12-31,2013-02-13 17:28:16+00:00,0.0,75962000.0,228000.0,23946000.0,,-155077000.0,,0.0,38864000.0,-60504000.0,223057000.0,38864000.0,-60504000.0,223057000.0,201417000.0,-53400000.0,-53400000.0,407588000.0,46112000.0,-21820000.0,-219961000.0,-27516000.0,-1011000.0,-6237000.0,208793000.0
WellCare Health Plans Inc,WCG,,1279363,2010.0,Q3,2010-07-01,2010-09-30,,,24961000.0,183000.0,6123000.0,,35387000.0,,,-27788000.0,-34091000.0,172630000.0,-27788000.0,-34091000.0,172630000.0,110751000.0,42916000.0,42916000.0,88204000.0,-25862000.0,-11609000.0,-115854000.0,-9320000.0,-797000.0,-1129000.0,102692000.0
WellCare Health Plans Inc,WCG,,1279363,2010.0,Q3YTD,2010-01-01,2010-09-30,2011-11-02 13:17:54+00:00,,35686000.0,183000.0,17770000.0,,-224393000.0,,0.0,18325000.0,-13457000.0,-71984000.0,18325000.0,-13457000.0,-71984000.0,-67116000.0,-79537000.0,-79537000.0,214176000.0,23680000.0,-18386000.0,-117903000.0,-16192000.0,-935000.0,-4420000.0,139024000.0
WellCare Health Plans Inc,WCG,,1279363,2010.0,Q2,2010-04-01,2010-06-30,,,2564000.0,-7000.0,5891000.0,,-140419000.0,,0.0,,12585000.0,-74070000.0,14412000.0,12585000.0,-74070000.0,-47073000.0,-128871000.0,-128871000.0,189329000.0,0.0,-6488000.0,-1932000.0,-2637000.0,0.0,0.0,23642000.0
WellCare Health Plans Inc,WCG,,1279363,2010.0,Q2YTD,2010-01-01,2010-06-30,2011-08-03 12:01:34+00:00,,10725000.0,0.0,11647000.0,,-259780000.0,,,46113000.0,20634000.0,-244614000.0,46113000.0,20634000.0,-244614000.0,-177867000.0,-122453000.0,-122453000.0,125972000.0,49542000.0,-6777000.0,-2049000.0,-6872000.0,-138000.0,-3291000.0,36332000.0
