company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,acquisitions,cashincometaxespaid,cashinterestpaid,cashinterestreceived,depreciationexpense,divestitures,effectofexchangeratechanges,increasedecreaseinoperatingcapital,issuanceofdebt,netcashfromcontinuingfinancingactivities,netcashfromcontinuinginvestingactivities,netcashfromcontinuingoperatingactivities,netcashfromfinancingactivities,netcashfrominvestingactivities,netcashfromoperatingactivities,netchangeincash,netincome,netincomecontinuing,noncashadjustmentstonetincome,otherfinancingactivitiesnet,otherinvestingactivitiesnet,othernetchangesincash,paymentofdividends,purchaseofinvestments,purchaseofplantpropertyandequipment,repaymentofdebt,repurchaseofcommonequity,saleofinvestments,saleofplantpropertyandequipment
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2007.0,FY,2006-12-31,2007-12-29,2010-02-26 17:00:54+00:00,-1984000000.0,,-468000000.0,,1095000000.0,,,-580000000.0,6242000000.0,378000000.0,-3082000000.0,3230000000.0,378000000.0,-3082000000.0,3230000000.0,526000000.0,2637000000.0,2637000000.0,78000000.0,651000000.0,,,-323000000.0,0.0,-1805000000.0,-822000000.0,-5370000000.0,601000000.0,106000000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2008.0,Q4,2008-09-28,2008-12-31,,-2623100000.0,,957400000.0,5600000.0,353800000.0,,,437900000.0,959000000.0,1608500000.0,-3306900000.0,1768700000.0,1608500000.0,-3306900000.0,1768700000.0,70300000.0,952700000.0,952700000.0,24300000.0,12000000.0,,,-112500000.0,,-696800000.0,750000000.0,,-196400000.0,209400000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2008.0,FY,2007-12-30,2008-12-31,2011-02-18 16:16:30+00:00,-2651000000.0,,574000000.0,20000000.0,1274000000.0,,,-631000000.0,1309000000.0,929000000.0,-4580000000.0,3947000000.0,929000000.0,-4580000000.0,3947000000.0,296000000.0,3212000000.0,3212000000.0,92000000.0,381000000.0,,,-383000000.0,,-2180000000.0,-355000000.0,-23000000.0,28000000.0,223000000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2008.0,Q3YTD,2007-12-30,2008-09-27,2009-11-05 14:11:40+00:00,-27900000.0,,-383400000.0,14400000.0,920200000.0,,,-1068900000.0,350000000.0,-679500000.0,-1273100000.0,2178300000.0,-679500000.0,-1273100000.0,2178300000.0,225700000.0,2259300000.0,2259300000.0,67700000.0,369000000.0,,,-270500000.0,0.0,-1483200000.0,-1105000000.0,-23000000.0,224400000.0,13600000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2008.0,Q3,2008-06-29,2008-09-27,,-27900000.0,,-116300000.0,4300000.0,310900000.0,-27500000.0,,-266600000.0,350000000.0,290800000.0,-410400000.0,786200000.0,290800000.0,-410400000.0,786200000.0,666600000.0,736000000.0,736000000.0,5900000.0,37900000.0,,,-98400000.0,,-513900000.0,1300000.0,,145300000.0,13600000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2008.0,Q2YTD,2007-12-30,2008-06-28,2009-08-04 17:01:47+00:00,,,-267100000.0,10100000.0,609300000.0,27500000.0,,-802300000.0,0.0,-970300000.0,-862700000.0,1392100000.0,-970300000.0,-862700000.0,1392100000.0,-440900000.0,1523300000.0,1523300000.0,61800000.0,331100000.0,,,-172100000.0,,-969300000.0,-1106300000.0,-23000000.0,79100000.0,
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2009.0,Q4,2009-10-01,2009-12-31,,-58000000.0,,-132000000.0,1000000.0,352000000.0,,,351000000.0,,-1825000000.0,-24000000.0,1805000000.0,-1825000000.0,-24000000.0,1805000000.0,-44000000.0,1050000000.0,1050000000.0,52000000.0,7000000.0,,,-108000000.0,,-796000000.0,-786000000.0,-938000000.0,-748000000.0,1578000000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2009.0,FY,2009-01-01,2009-12-31,2012-02-17 13:38:28+00:00,-101000000.0,,-542000000.0,5000000.0,1389000000.0,,,-1215000000.0,2800000000.0,-3232000000.0,-1069000000.0,4035000000.0,-3232000000.0,-1069000000.0,4035000000.0,-266000000.0,3696000000.0,3696000000.0,165000000.0,266000000.0,,,-439000000.0,-5000000.0,-2548000000.0,-3382000000.0,-2477000000.0,,1585000000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2009.0,Q3YTD,2009-01-01,2009-09-30,2010-11-03 17:01:44+00:00,-43000000.0,,-410000000.0,4000000.0,1037000000.0,,,-1566000000.0,2800000000.0,-1407000000.0,-1045000000.0,2230000000.0,-1407000000.0,-1045000000.0,2230000000.0,-222000000.0,2646000000.0,2646000000.0,113000000.0,259000000.0,,,-331000000.0,-5000000.0,-1752000000.0,-2596000000.0,-1539000000.0,748000000.0,7000000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2009.0,Q3TTM,2008-09-28,2009-09-30,,-2666100000.0,,547400000.0,9600000.0,1390800000.0,,,-1128100000.0,3759000000.0,201500000.0,-4351900000.0,3998700000.0,201500000.0,-4351900000.0,3998700000.0,-151700000.0,3598700000.0,3598700000.0,137300000.0,271000000.0,,,-443500000.0,-5000000.0,-2448800000.0,-1846000000.0,-1539000000.0,551600000.0,216400000.0
