company_name,company_ticker,company_lei,company_cik,year,quarter,start_date,end_date,filing_date,basicdilutedeps,basiceps,cashdividendspershare,dilutedeps,impairmentexpense,incometaxexpense,netincome,netincomecontinuing,netincomediscontinued,netincometocommon,netincometononcontrollinginterest,operatingcostofrevenue,operatingrevenue,otheradjustmentstonetincometocommon,otherincome,otheroperatingexpenses,preferreddividends,sgaexpense,totalcostofrevenue,totalgrossprofit,totalinterestexpense,totaloperatingexpenses,totaloperatingincome,totalotherincome,totalpretaxincome,totalrevenue,weightedavebasicdilutedsharesos,weightedavebasicsharesos,weightedavedilutedsharesos
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2007.0,FY,2006-12-31,2007-12-29,2010-02-26 17:00:54+00:00,1.97,1.97,0.22875,1.92,,1722000000.0,2637000000.0,2637000000.0,0.0,2623000000.0,,60222000000.0,76330000000.0,,,,14000000.0,11314000000.0,60222000000.0,16108000000.0,435000000.0,11314000000.0,4794000000.0,-435000000.0,4359000000.0,76330000000.0,1331500000.0,1328000000.0,1372000000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2008.0,FY,2007-12-30,2008-12-31,2011-02-18 16:16:30+00:00,2.23,2.23,0.258,2.18,,2193000000.0,3212000000.0,3344000000.0,-132000000.0,3198000000.0,,69182000000.0,87472000000.0,,,,14000000.0,12244000000.0,69182000000.0,18290000000.0,509000000.0,12244000000.0,6046000000.0,-509000000.0,5537000000.0,87472000000.0,1434100000.0,1434000000.0,1469000000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2008.0,Q3,2008-06-29,2008-09-27,2009-11-05 14:11:40+00:00,0.51,0.51,0.069,0.5,,534700000.0,736000000.0,818800000.0,-82800000.0,732500000.0,,16462800000.0,20863400000.0,,,,3500000.0,2934400000.0,16462800000.0,4400600000.0,112700000.0,2934400000.0,1466200000.0,-112700000.0,1353500000.0,20863400000.0,1436300000.0,1435500000.0,1469700000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2008.0,Q2,2008-03-30,2008-06-28,2009-08-04 17:01:47+00:00,0.54,0.54,0.06,0.53,,539900000.0,774800000.0,823500000.0,-48700000.0,771200000.0,,16767100000.0,21140300000.0,,,,3600000.0,2895100000.0,16767100000.0,4373200000.0,114700000.0,2895100000.0,1478100000.0,-114700000.0,1363400000.0,21140300000.0,1428100000.0,1431800000.0,1468700000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2009.0,FY,2009-01-01,2009-12-31,2012-02-17 13:38:28+00:00,2.58,2.58,0.305,2.55,,2200000000.0,3696000000.0,3700000000.0,-4000000.0,3696000000.0,,77857000000.0,98215000000.0,,,,,13933000000.0,77857000000.0,20358000000.0,525000000.0,13933000000.0,6425000000.0,-525000000.0,5900000000.0,98215000000.0,1432600000.0,1434000000.0,1450000000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2009.0,Q4,2009-10-01,2009-12-31,,0.75,0.75,0.08,0.74,,705200000.0,1050500000.0,1044900000.0,5600000.0,1050500000.0,,19762100000.0,25307900000.0,,,,,3663600000.0,19762100000.0,5545800000.0,132100000.0,3663600000.0,1882200000.0,-132100000.0,1750100000.0,25307900000.0,1432600000.0,1434000000.0,1450000000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2009.0,Q3,2009-07-01,2009-09-30,2010-11-03 17:01:44+00:00,0.71,0.71,0.0763,0.71,,420000000.0,1021000000.0,1023000000.0,-2000000.0,1021000000.0,0.0,19630000000.0,24642000000.0,,,,,3446000000.0,19630000000.0,5012000000.0,123000000.0,3446000000.0,1566000000.0,-123000000.0,1443000000.0,24642000000.0,1438000000.0,1429000000.0,1445000000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2009.0,Q3YTD,2009-01-01,2009-09-30,,1.83,1.83,0.23,1.81,,1494800000.0,2645500000.0,2655100000.0,-9600000.0,2645500000.0,,58094900000.0,72907100000.0,,,,,10269400000.0,58094900000.0,14812200000.0,392900000.0,10269400000.0,4542800000.0,-392900000.0,4149900000.0,72907100000.0,1438000000.0,1429000000.0,1445000000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2009.0,Q2,2009-04-01,2009-06-30,2009-08-04 17:01:47+00:00,0.61,0.61,0.0763,0.6,,582800000.0,886500000.0,889100000.0,-2600000.0,886500000.0,,19818900000.0,24871100000.0,,,,0.0,3452400000.0,19818900000.0,5052200000.0,127900000.0,3452400000.0,1599800000.0,-127900000.0,1471900000.0,24871100000.0,1453300000.0,1456900000.0,1471800000.0
CVS Health Corp,CVS,549300EJG376EN5NQE29,64803,2009.0,Q2YTD,2009-01-01,2009-06-30,,1.12,1.12,0.15,1.1,,1074800000.0,1624500000.0,1632100000.0,-7600000.0,1624500000.0,,38464900000.0,48265100000.0,,,,,6823400000.0,38464900000.0,9800200000.0,269900000.0,6823400000.0,2976800000.0,-269900000.0,2706900000.0,48265100000.0,1453300000.0,1456900000.0,1471800000.0
