Date,Returns,Return on Common Equity,Return on Assets,Return on Invested Capital,Margins,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
03/31/2000,,,,,,13.442829,,13.919662,8.963491,8.963491,8.963491,,35.605536,0.0,,
06/30/2000,,,,,,12.540443,,14.654243,9.926233,9.926233,9.926233,,32.263761,0.0,,
09/30/2000,,,,,,12.564229,,12.737154,8.700593,8.700593,8.700593,,31.691232,0.0,,
12/31/2000,,,,,,9.406772,,11.696496,9.511806,9.511806,9.511806,,18.678161,41.651946,,
03/31/2001,,14.200826,0.936062,15.702254,,10.587645,,9.601971,6.71595,7.016664,7.016664,,30.056546,0.0,14.200826,
06/30/2001,,13.222691,0.861685,2.142504,,12.280293,-15.762118,11.953938,8.541191,8.541191,8.541191,,28.549141,0.0,13.222691,
09/30/2001,,12.682693,0.850351,-0.168406,,11.02916,,11.068236,8.069164,8.069164,8.069164,,27.096205,0.0,12.682693,
12/31/2001,,10.648423,0.693069,2.952151,,5.102081,,4.487611,4.0555,4.055501,4.055501,,9.628975,92.291304,0.820855,
03/31/2002,,10.062172,0.668501,8.188914,,9.849447,-14.92109,9.693029,7.161013,7.161013,7.161013,,26.122037,0.0,10.062172,
06/30/2002,,8.533853,0.562729,20.978203,,6.851616,,5.643843,4.463313,4.463313,4.463313,,20.917137,0.0,8.533853,
09/30/2002,,8.283257,0.554754,21.562016,,9.869803,,9.869803,7.377853,7.377853,7.377853,,25.248228,0.0,8.283257,
12/31/2002,,8.272539,0.528548,6.206579,,4.999038,-5.584326,4.912433,4.647806,4.647806,4.647806,,5.386876,95.44513,0.376803,
03/31/2003,,9.629712,0.624412,6.207556,,15.384945,55.757574,15.384945,10.884236,10.884236,10.884236,,29.253981,0.0,9.629712,
06/30/2003,,11.415326,0.792506,9.71513,,16.917232,107.253405,16.917232,11.843288,11.843287,11.843287,,29.992754,0.0,11.415326,
09/30/2003,,11.700314,0.818209,10.764204,,9.966668,10.689407,9.966668,7.851528,7.851529,7.851529,,21.222131,0.0,11.700314,
12/31/2003,,11.173649,0.770685,10.325291,,11.673817,29.263339,11.673817,8.311534,2.514736,2.514736,,28.801912,42.509441,6.423793,
03/31/2004,,10.148079,0.747917,9.037843,,11.210265,,11.210265,8.330142,9.747223,9.747223,,25.691833,0.0,10.148079,
06/30/2004,,8.076551,0.657774,9.05903,,14.303338,,14.303338,8.346827,8.346827,8.346827,,41.644205,0.0,8.076551,
09/30/2004,,7.415139,0.631534,8.135182,,12.924948,368.812848,12.924948,6.827736,6.827735,6.827735,,47.173978,0.0,7.415139,
