Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,40,121,38,-22,177,,,,,,,,,,,,,,,,,
06/30/1990,,-3,117,14,30,158,,,,,,,,,,,,,,,,,
09/30/1990,,48,119,37,-10,194,,,,,,,,,,,,,,,,,
12/31/1990,,140,129,33,-6,296,,,,,,,,,,,,,,,296.0,,
03/31/1991,,82,129,-20,104,295,,,,,,,,,,,,,,,,,
06/30/1991,,-15,106,25,-110,6,,,,,,,,,,,,,,,,,
09/30/1991,,-8,107,9,-11,97,,,,,,,,,,,,,,,,,
12/31/1991,,-40,106,98,25,189,,,,,,,,,,,,,,,189.0,,
03/31/1992,,-46,104,61,-46,73,,,,,,,,,,,,,,,,,
06/30/1992,,2,101,23,-9,117,,,,,,,,,,,,,,,,,
09/30/1992,,33,98,27,-13,145,,,,,,,,,,,,,,,,,
12/31/1992,,25,106,6,50,187,,,,,,,,,,,,,,,187.0,,
03/31/1993,,-7,101,20,-20,94,,,,,,,,,,,,,,,,,
06/30/1993,,4,90,18,-30,82,,,,,,,,,,,,,,,,,
09/30/1993,,-45,100,39,9,103,,,,,,,,,,,,,,,,,
12/31/1993,,-52,104,53,-5,100,,,,,,,,,,,,,,,100.0,,
03/31/1994,,-1008,71,1010,-35,38,,,,,,,,,,,,,,,,,
06/30/1994,,-7,65,15,-31,42,,,,,,,,,,,,,,,,,
09/30/1994,,-24,66,38,30,110,,,,,,,,,,,,,,,,,
12/31/1994,,14,69,28,-5,106,,,,,,,,,,,,,,,106.0,,
03/31/1995,,13,74,25,-43,69,,,-65.0,,,,,,,,,,,,,,
06/30/1995,,11,72,16,-17,82,,,-64.0,,,,,,,,,,,,,,
09/30/1995,,107,66,-105,-11,57,,,-72.0,,,,,,,,,,,,,,
12/31/1995,,4,64,30,19,117,-81.0,,-81.0,,,,,,,,,,,,36.0,,
03/31/1996,,32,63,17,17,129,,,-86.0,,,,,,,,,,,,,,
06/30/1996,,28,66,21,-22,93,,,-99.0,,,,,,,,,,,,,,
09/30/1996,,40,71,23,129,263,,,-209.0,,,,,,,,,,,,,,
12/31/1996,,63,76,40,-129,50,-90.0,,-90.0,,,,,,,,,,,,-40.0,,
03/31/1997,,66,79,10,59,214,-142.0,0.0,-117.0,0.0,0.0,-25.0,-70.0,0.0,0.0,15.0,-90.0,5.0,0.0,0.0,2.0,,
06/30/1997,,23,74,19,-43,73,-137.0,0.0,-121.0,0.0,0.0,-16.0,59.0,0.0,0.0,90.0,-32.0,0.0,0.0,1.0,-5.0,,
09/30/1997,,42,78,15,37,172,-179.0,0.0,-172.0,0.0,0.0,-7.0,14.0,0.0,0.0,44.0,-30.0,0.0,0.0,0.0,7.0,,
12/31/1997,,39,80,37,-56,100,-122.0,0.0,-113.0,0.0,0.0,-9.0,19.0,0.0,0.0,62.0,-58.0,17.0,0.0,-2.0,-3.0,,
03/31/1998,,3,70,27,39,139,-207.0,0.0,-193.0,0.0,0.0,-14.0,66.0,0.0,0.0,106.0,-42.0,2.0,0.0,0.0,-2.0,,
06/30/1998,,16,72,6,-50,44,-127.0,13.0,-138.0,0.0,0.0,-2.0,86.0,0.0,0.0,85.0,0.0,1.0,0.0,0.0,3.0,,
09/30/1998,,-43,83,18,-4,54,-99.0,2.0,-105.0,0.0,0.0,4.0,41.0,0.0,0.0,42.0,-1.0,0.0,0.0,0.0,-4.0,,
