Date,Cash From Operating Activities,Cash Flow Net Income,Depreciation & Amortization,Provision for Doubtful Accounts,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Unsecured Debt,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
06/30/1997,-2.18,-36.945999,0.202,0.0,36.438999,-1.875,,0.0,-7.986,0,0.01,0,0,0,0.14,-7.836,7.126,0.0,0.0,7.31,0,7.31,0,0,-0.184,-2.89,
09/30/1997,5.067,-1.585,0.25,0.0,1.357,5.045,,0.0,-1.294,0,-5.56,0,0,0,0.0,-6.854,-0.021,0.0,-0.1,0.079,0,0.079,0,0,0.0,-1.808,
12/31/1997,-13.421,-55.457001,0.251,0.0,19.683001,22.101999,,0.0,-0.892,0,60.723,0,0,0,0.0,59.831001,-6.141,0.0,0.0,-6.94,0,-6.94,0,0,0.799,40.269001,
03/31/1998,-0.745,16.488001,0.255,0.0,-19.042,1.554,,0.0,-2.82,0,-6.339,0,0,0,2.052,-7.107,-0.699,0.0,0.0,-0.884,0,-0.884,0,0,0.185,-8.551,
06/30/1998,-1.384,-2.582,0.192,0.0,1.214,-0.208,,0.0,-6.066,0,-0.805,0,0,0,0.0,-6.871,4.147,0.0,-0.007,4.154,0,4.154,0,0,0.0,-4.108,
09/30/1998,-3.206,-2.784,0.194,0.0,1.015,-1.631,,0.0,-3.013,0,0.086,0,0,0,0.0,-2.927,4.291,0.0,-0.1,4.391,0,4.391,0,0,0.0,-1.842,
12/31/1998,4.339,-0.638,0.316,0.0,-1.248,5.909,,0.0,-2.328,0,-2.228,0,0,0,-0.038,-4.594,1.258,0.0,-0.093,1.452,0,1.452,0,0,-0.101,1.003,
03/31/1999,-1.809,-0.583,0.529,0.0,-1.33,-0.425,,0.0,-0.967,0,0.954,0,0,0,0.0,-0.013,0.569,0.0,0.0,0.569,0,0.569,0,0,0.0,-1.253,
06/30/1999,-3.708,2.092,0.29,0.0,-4.366,-1.724,,0.0,-0.112,0,13.309,0,0,0,0.0,13.197,0.005,0.0,0.0,0.055,0,0.055,0,0,-0.05,9.494,
09/30/1999,2.092957,-0.651,-0.269,0.0,-0.426,3.439,,0.0,0.0,0,0.737,0,0,0,0.109,0.846,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,2.939,
12/31/1999,-8.557,226.009995,0.009,0.0,-228.231995,-6.334,,0.0,0.0,0,14.246,0,0,0,-0.108,0.197,-13.925,-13.92,0.0,-0.055,0,-0.055,0,0,0.05,-22.285,
03/31/2000,-5.035,-1.69,0.006,0.0,1.22,-4.571,,0.099,0.0,0,-15.559,0,0,0,0.001,-1.518,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,-6.553,
06/30/2000,8.726,-6.447,-0.284,0.0,7.202,6.142,,0.0,0.0,0,-1.165,0,0,0,0.0,-1.165,-0.765,0.0,0.0,-0.815,0,-0.815,0,0,0.05,6.746,
09/30/2000,-8.307,-6.06,0.296,0.0,2.131,-2.566,,0.0,0.0,0,8.42,0,0,0,0.0,8.42,-0.476,0.0,0.0,-0.426,0,-0.426,0,0,-0.05,-0.313,
12/31/2000,5.463,2.7,0.007,0.0,-5.51,6.148,,0.0,0.0,0,-0.754,0,0,0,0.0,-0.754,-0.346,0.0,0.0,-0.346,0,-0.346,0,0,0.0,4.363,
03/31/2001,-2.037,0.56,0.006,0.0,-2.403,-0.19,,0.0,0.0,0,0.153,0,0,0,0.0,0.153,-6.0,0.0,0.0,-6.0,0,-6.0,0,0,0.0,-7.884,
06/30/2001,-2.082,-9.53,0.006,0.0,0.162,7.286,,0.0,0.0,0,2.689,0,0,0,0.0,2.689,-7.055,0.0,0.0,-7.055,0,-7.055,0,0,0.0,-6.448,
09/30/2001,-1.176,-3.081,0.006,0.0,10.006,-8.107,,0.0,0.0,0,-0.163,0,0,0,0.414,0.251,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,-0.925,
12/31/2001,0.61,-0.476,0.006,0.0,1.672,-0.592,,0.0,0.0,0,0.052,0,0,0,0.0,0.052,0.041,0.0,0.0,0.0,0,0.0,0,0,0.041,0.703,
03/31/2002,-0.484,-1.898,0.005,0.0,1.148,0.255,,0.0,0.0,0,-0.188,0,0,0,-0.204,-0.392,0.104,0.0,0.0,0.0,0,0.0,0,0,0.104,-0.772,
06/30/2002,-1.845,-1.981,0.231,0.015,0.363,-0.473,,0.0,-0.007,0,0.0,0,0,0,0.0,-0.007,-0.001,0.0,0.0,-0.001,0,-0.001,0,0,0.0,-1.853,
09/30/2002,-1.717,-1.905,-0.188,-0.015,0.679,-0.288,,0.0,-0.008,0,0.024,0,0,0,0.0,0.016,-0.001,0.0,0.0,-0.001,0,-0.001,0,0,0.0,-1.702,
