Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
08/30/2015,135.3,62.0,23.8,-6.4,2.6,2.1,-11.1,55.9,-20.7,44.3,15.1,17.2,0.0,-34.4,-34.4,2.1,2.1,0.0,-36.5,-36.5,0,0,0,0,0.0,0,0.0,0.0,0.0,-109.5,0.0,-0.8,-0.1,0.0,-0.7,0.0,0,0.0,-108.7,-0.1,-8.7,
11/29/2015,37.6,73.3,24.1,8.0,1.7,5.6,0.7,-67.8,-6.7,-141.0,57.3,22.6,,-29.2,-29.2,0.6,0.6,0.0,-29.8,-29.8,0,0,0,0,0.0,0,0.0,0.0,0.0,-6.0,0.0,9.2,9.9,0.0,-0.7,0.0,0,0.0,-15.2,-0.4,2.0,
02/28/2016,48.2,107.4,23.6,-16.8,1.9,-2.4,-16.3,-66.0,-1.0,40.4,-59.7,-45.7,0.0,-39.8,-39.8,2.5,2.5,0.0,-42.3,-42.3,0,0,0,0,0.0,0,0.0,0.0,0.0,4.0,0.0,1.3,8.4,30.0,-37.1,0.0,0,0.0,2.7,0.3,12.7,
05/29/2016,161.2,42.6,24.4,8.1,-3.0,15.4,-4.3,86.1,13.3,45.6,-5.2,32.4,0.0,-40.9,-40.9,2.8,2.8,0.0,-43.7,-43.7,0,0,0,0,0.0,0,0.0,0.0,0.0,-121.3,0.0,2.6,3.2,0.0,-0.6,0.0,0,0.0,-123.9,0.8,-0.2,
08/28/2016,115.0,79.6,25.5,5.4,2.6,5.1,-2.3,4.5,-24.0,24.6,15.7,-11.8,0.0,-58.3,-58.3,1.0,1.0,0.0,-59.3,-59.3,0,0,0,0,0.0,0,0.0,0.0,0.0,-21.4,0.0,-1.0,-0.4,,-0.6,0.0,0,0.0,-20.4,0.7,36.0,
11/27/2016,47.4,87.2,26.6,-4.4,2.6,-13.4,6.4,-62.0,-21.8,-141.6,44.1,57.3,0.0,-67.5,-67.5,1.0,1.0,0.0,-68.5,-68.5,0,0,0,0,0.0,0,0.0,0.0,0.0,18.6,0.0,875.7,80.4,798.1,-2.8,0.0,0,0.0,-857.1,-1.5,-3.0,
02/26/2017,91.7,84.2,27.5,8.7,4.6,1.7,2.4,-28.7,14.1,43.5,-41.9,-44.4,0.0,-76.7,-76.7,0.0,0.0,0.0,-76.7,-76.7,0,0,0,0,0.0,0,0.0,0.0,0.0,-47.3,-27.4,-14.0,-12.7,0.0,-1.3,0.0,0,0.0,-5.9,0.4,-31.9,
05/28/2017,192.8,75.9,29.5,6.7,-4.1,21.4,-10.6,80.7,32.9,47.4,-5.8,6.2,0.0,-82.8,-82.8,0.1,0.1,0.0,-82.9,-82.9,0,0,0,0,0.0,0,0.0,0.0,0.0,-91.9,0.0,-89.2,-70.1,0.0,-19.1,0.0,0,0.0,-2.7,1.5,19.6,
08/27/2017,143.5,83.4,31.0,5.0,3.5,11.5,-10.0,24.1,-28.5,30.7,12.9,9.0,0.0,-104.4,-104.4,0.0,0.0,0.0,-104.4,-104.4,0,0,0,0,0.0,0,0.0,0.0,0.0,-30.5,-27.4,0.3,10.2,0.0,-9.9,0.0,0,0.0,-3.4,4.1,12.7,
11/26/2017,38.7,76.6,35.6,24.4,3.0,7.9,13.5,-97.9,-10.7,-168.6,76.2,5.2,0.0,-51.3,-49.6,0.0,0.0,0.0,-49.6,-49.6,0,0,0,0,0.0,0,0.0,0.0,-1.7,14.6,-27.4,46.5,55.9,,-9.4,0.0,0,0.0,-4.5,-0.7,1.3,
02/25/2018,128.0,156.8,37.5,-45.7,3.6,-35.4,-13.9,-20.6,-12.2,32.5,-57.5,16.6,0.0,-51.1,-50.4,0.0,0.0,0.0,-50.4,-50.4,0,0,0,0,0.0,0,0.0,0.0,-0.7,-100.5,-27.4,-67.3,-56.7,0.0,-10.6,-2.1,0,-2.1,-3.7,1.9,-21.7,
05/27/2018,171.0,100.0,39.2,0.0,-1.6,12.4,-10.8,31.8,11.0,81.8,-39.9,-21.1,0.0,-100.0,-100.0,0.0,0.0,0.0,-100.0,-100.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-62.5,-28.0,-33.1,-23.8,,-9.3,-2.7,0,-2.7,1.3,-2.3,6.2,
08/26/2018,227.9,107.8,38.6,21.6,4.2,13.9,3.5,59.9,-18.6,33.2,17.1,28.2,0.0,-86.8,-87.0,0.0,0.0,0.0,-87.0,-87.0,0,0,0,0,0.0,0,0.0,0.0,0.2,-45.9,-28.0,-11.9,-1.0,,-10.9,-3.9,0,-3.9,-2.1,-0.3,94.9,
11/25/2018,88.9,119.0,38.6,25.8,5.0,14.0,6.8,-94.5,-9.6,-182.6,97.7,0.0,0.0,-81.9,-83.4,0.0,0.0,0.0,-83.4,-83.4,0,0,0,0,0.0,0,0.0,0.0,1.5,-35.5,-28.0,-4.1,5.3,0.0,-9.4,-0.5,0,-0.5,-2.9,-0.4,-28.9,
02/24/2019,127.6,141.4,40.3,8.5,4.5,10.6,-6.6,-62.6,-15.1,44.7,-63.2,-29.0,0.0,-165.2,-73.8,0.0,0.0,0.0,-73.8,-73.8,0,0,0,0,-88.6,0,-88.6,0.0,-2.8,-65.9,-28.0,48.2,85.0,,-36.8,-7.9,0,-7.9,-78.2,-0.9,-104.4,
05/26/2019,236.5,110.4,44.9,8.4,5.1,-1.0,4.3,72.8,18.2,88.9,-18.7,-15.6,0.0,-89.1,-90.0,0.0,,,-90.0,-90.0,0,0,0,0,0.0,0,0.0,0.0,0.9,-152.3,-29.3,-99.9,-90.3,,-9.6,-24.1,0,-24.1,1.0,-0.1,-5.0,
08/25/2019,238.5,115.7,46.0,20.8,5.4,10.3,5.1,56.0,-27.0,35.6,7.7,39.7,0.0,-176.7,-50.3,0.0,,,-50.3,-50.3,0,0,0,0,-116.9,0,-116.9,0.0,-9.5,-54.9,-29.2,-317.3,-8.3,,-309.0,-7.4,0,-7.4,299.0,-0.1,6.8,
11/24/2019,106.8,140.4,45.7,3.4,7.2,6.9,-10.7,-82.7,-28.2,-169.0,118.7,-4.2,0.0,-63.5,-37.8,0.0,0.0,0.0,-37.8,-37.8,0,0,0,0,-16.9,0,0.2,-17.1,-8.8,-38.7,-29.3,0.6,9.7,0.0,-9.1,-10.4,0,-10.4,0.4,0.2,4.8,
02/23/2020,90.4,111.4,45.8,14.0,5.6,8.1,0.3,-80.8,30.9,38.8,-124.3,-26.2,0.0,-49.6,-39.7,0.0,0.0,0.0,-39.7,-39.7,0,0,0,0,-5.5,0,0.0,-5.5,-4.4,-34.1,-29.2,2.3,11.3,,-9.0,-11.1,0,-11.1,3.9,-0.4,6.3,
05/31/2020,138.3,-1.6,46.5,19.8,4.6,-5.3,20.5,73.6,25.4,109.9,-37.0,-24.7,0.0,-78.8,-39.9,0.0,0.0,0.0,-39.9,-39.9,0,0,0,0,-22.6,0,0.0,-22.6,-16.3,2866.1,-33.6,959.1,968.3,,-9.2,0.0,0,0.0,1940.6,-0.9,2924.7,
