Date,Net Premium Earned (Non-Life & Life),Capital Gains (Losses),Total Investment Income,Other Operating Income,Revenue,Insurance Claims & Charges,Underwriting Costs,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Income Available to Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,850.0,13.0,237.0,44.0,1144,-720.0,-358.0,66.0,-12.0,0.0,54.0,-8.0,46.0,5.0,0.0,51,-4.0,47,42.0,,0.5,0.56,83.668999,,,,,
06/30/1990,867.0,-21.0,230.0,47.0,1123,-757.0,-347.0,19.0,-14.0,0.0,5.0,0.0,5.0,0.0,0.0,5,-4.0,1,1.0,,0.01,0.01,83.682999,,,,,
09/30/1990,854.0,9.0,231.0,56.0,1150,-787.0,-359.0,4.0,-14.0,0.0,-10.0,0.0,-10.0,-5.0,0.0,-15,-4.0,-19,-14.0,,-0.16,-0.22,83.820999,,,,,
12/31/1990,894.0,-355.0,225.0,0.0,764,-887.0,-336.0,-459.0,-14.0,-34.0,-507.0,5.0,-502.0,-108.0,0.0,-610,-4.0,-614,-506.0,,-6.02,-7.32,83.333,,,,,
03/31/1991,841.0,0.0,217.0,34.0,1092,-783.0,-328.0,-19.0,-15.0,-21.0,-55.0,0.0,-55.0,0.0,0.0,-55,-4.0,-59,-59.0,,-0.7,-0.7,84.050003,,,,,
06/30/1991,807.0,8.0,220.0,35.0,1070,-774.0,-333.0,-37.0,-10.0,-11.0,-58.0,-3.0,-61.0,5.0,0.0,-56,-8.0,-64,-69.0,,-0.83,-0.77,84.139999,,,,,
09/30/1991,729.0,14.0,219.0,32.0,994,-698.0,-304.0,-8.0,-11.0,-4.0,-23.0,0.0,-23.0,-2.0,0.0,-25,-13.0,-38,-36.0,,-0.42,-0.44,84.210999,,,,,
12/31/1991,810.0,16.0,190.0,0.0,1016,-734.0,-253.0,29.0,-10.0,-24.0,-5.0,0.0,-5.0,-35.0,0.0,-40,-12.0,-52,-17.0,,-0.2,-0.62,83.871002,,,,,
03/31/1992,709.0,0.0,214.0,18.0,941,-651.0,-274.0,16.0,-11.0,0.0,5.0,-1.0,4.0,0.0,0.0,4,-12.0,-8,-8.0,,-0.09,-0.09,84.273003,,,,,
06/30/1992,669.0,6.0,216.0,15.0,906,-611.0,-278.0,17.0,-10.0,0.0,7.0,0.0,7.0,-1.0,0.0,6,-12.0,-6,-5.0,,-0.06,-0.07,84.279999,,,,,
09/30/1992,657.0,142.0,197.0,15.0,1011,-679.0,-260.0,72.0,-10.0,-51.0,11.0,0.0,11.0,-6.0,0.0,5,-12.0,-7,-1.0,,-0.02,-0.09,84.376999,,,,,
12/31/1992,602.0,0.0,190.0,10.0,802,-524.0,-257.0,21.0,-9.0,0.0,12.0,1.0,13.0,0.0,0.0,13,-12.0,1,1.0,0.01,0.01,0.01,84.488998,0.01,0.01,0.01,84.488998,
03/31/1993,674.0,1.0,192.0,8.0,875,-590.0,-252.0,33.0,-10.0,0.0,23.0,0.0,23.0,38.0,0.0,61,-12.0,49,11.0,,0.13,0.58,84.541,,,,,
06/30/1993,620.0,0.0,189.0,11.0,820,-537.0,-247.0,36.0,-11.0,0.0,25.0,0.0,25.0,0.0,0.0,25,-12.0,13,13.0,,0.15,0.15,84.695,,,,,
09/30/1993,562.0,0.0,184.0,9.0,755,-498.0,-229.0,28.0,-10.0,0.0,18.0,2.0,20.0,0.0,0.0,20,-12.0,8,8.0,,0.1,0.1,84.898003,,,,,
12/31/1993,600.0,5.0,184.0,10.0,799,-528.0,-228.0,43.0,-10.0,0.0,33.0,26.0,59.0,0.0,0.0,59,-12.0,47,47.0,0.59,0.55,0.55,84.986,0.45,0.42,0.42,112.741997,
03/31/1994,587.0,5.0,184.0,9.0,785,-522.0,-231.0,32.0,-9.0,0.0,23.0,0.0,23.0,0.0,0.0,23,-12.0,11,11.0,0.14,0.11,0.11,100.0,0.14,0.11,0.11,100.0,
06/30/1994,608.0,1.0,193.0,11.0,813,-536.0,-229.0,48.0,-8.0,0.0,40.0,35.0,75.0,0.0,0.0,75,-12.0,63,63.0,,0.66,0.66,95.455002,,,0.56,,
09/30/1994,634.0,0.0,187.0,14.0,835,-518.0,-268.0,49.0,-10.0,0.0,39.0,36.0,75.0,0.0,0.0,75,-12.0,63,63.0,,0.67,0.67,94.029999,,,0.58,,
12/31/1994,679.0,-1.0,185.0,14.0,877,-556.0,-273.0,48.0,-10.0,-183.0,-145.0,210.0,65.0,0.0,0.0,65,-10.0,55,55.0,0.53,0.54,0.54,101.851852,0.46,0.47,0.47,117.021277,
04/01/1995,618.0,4.0,185.0,18.0,825,-518.0,-248.0,59.0,-10.0,0.0,49.0,0.0,49.0,0.0,0.0,49,-8.0,41,41.0,0.3,0.38,0.38,107.175003,,,0.36,129.970001,
06/30/1995,659.0,1.0,182.0,14.0,856,-551.0,-247.0,58.0,-12.0,0.0,46.0,0.0,46.0,0.0,0.0,46,-7.0,39,39.0,0.34,0.35,0.35,110.565002,,,0.33,130.022003,
09/30/1995,692.0,3.0,179.0,11.0,885,-551.0,-272.0,62.0,-12.0,0.0,50.0,-1.0,49.0,0.0,0.0,49,-8.0,41,41.0,0.33,0.37,0.37,111.541,,,0.35,121.086998,
12/31/1995,697.0,-1.0,187.0,10.0,893,-558.0,-275.0,60.0,-10.0,0.0,50.0,15.0,65.0,0.0,0.0,65,-5.0,60,60.0,0.5,0.51,0.51,116.531998,0.47,0.48,0.48,125.0,
03/31/1996,667.0,11.0,180.0,11.0,869,-543.0,-259.0,67.0,-10.0,0.0,57.0,0.0,57.0,0.0,0.0,57,-5.0,52,52.0,0.33,0.43,0.43,119.633003,,,0.42,130.449997,
06/30/1996,674.0,1.0,181.0,14.0,870,-536.0,-257.0,77.0,-10.0,0.0,67.0,0.0,67.0,0.0,0.0,67,-5.0,62,62.0,0.41,0.52,0.52,119.190002,,,0.5,128.977997,
09/30/1996,687.0,4.0,177.0,3.0,871,-561.0,-265.0,45.0,-10.0,0.0,35.0,0.0,35.0,0.0,0.0,35,-5.0,30,30.0,0.22,0.26,0.26,117.450996,,,0.26,117.450996,
12/31/1996,703.0,28.0,167.0,32.0,930,-498.0,-306.0,126.0,-9.0,-17.0,100.0,2.0,102.0,0.0,0.0,102,-5.0,97,97.0,0.48,0.84,0.84,114.460999,,,0.79,123.463997,
