Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
09/30/2008,150,113,39,6,6,-13,53,-32,10,-44,-133,-30,-27,0,0,0,-27,-27,0,0,0,0,0,0,0,0,0,-343,0,0,0.0,0.0,0.0,0,0,0,-210,-26,-249,
12/31/2008,156,188,42,34,34,-123,12,-6,-11,-118,-69,-25,-25,0,0,0,-25,-25,0,0,0,0,0,0,0,0,0,-190,0,0,0.0,0.0,0.0,0,0,0,-121,-28,-87,
03/31/2009,325,171,34,44,44,96,15,16,-18,83,-12,-42,-31,0,0,0,-31,-31,0,0,0,0,0,0,0,0,0,-10,0,0,0.0,0.0,0.0,0,0,0,2,-24,249,
06/30/2009,172,96,53,-72,-72,101,-44,31,12,102,-21,-57,-43,0,0,0,-43,-22,-21,0,0,0,-4,0,-4,0,0,122,0,-3,,,,0,0,0,146,26,263,
09/30/2009,158,81,41,66,66,-2,-56,-32,64,22,-154,-22,-21,0,0,0,-21,-21,0,0,0,0,0,0,0,0,0,-136,-1374,1377,,,,0,0,0,15,14,14,
12/31/2009,191,70,43,11,11,64,22,23,-19,38,0,-18,-18,0,0,0,-18,-18,0,0,0,0,0,0,0,0,0,3,0,1,,,,0,0,0,2,-3,173,
03/31/2010,173,-9,44,79,79,78,6,28,-10,54,36,-28,-53,0,0,0,-53,-53,0,0,0,0,27,27,0,0,0,-1,0,-6,,,,0,0,0,-31,-20,124,
06/30/2010,130,52,39,-181,-181,205,13,36,-10,166,-36,-190,-41,1,1,0,-42,-29,-13,0,0,0,-143,81,-224,0,0,1,0,-2,,,,0,0,0,39,-16,-75,
09/30/2010,-7,38,45,23,23,-108,27,-27,-15,-93,0,-33,-33,0,0,0,-33,-33,0,0,0,0,0,0,0,0,0,-9,0,0,0.0,0.0,0.0,0,0,0,-9,33,-16,
12/31/2010,119,76,48,7,7,-6,-71,15,-5,55,6,-33,-33,0,0,0,-33,-33,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,0,-5,-3,84,
