Date,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Related Income,Investment Income,Other Operating Income,Revenue,Property Operating Expenses,General & Administrative Expense,Other Operating Expenses,Depreciation Expense,Provision for Loan Loss,Other Non-Rental Income,Operating Income,Interest Expense,Unconsolidated Equity Interest Income,Loss on Sale of Property,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Pre-Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
06/30/1997,3.163,0.0,0,0,0,3.169,6.332,-3.141,0.0,-4.98,-0.202,0.0,,-1.991,-1.362,0.0,0,0.0,-3.353,0.0,-3.353,-33.292,-0.301,-36.945999,-6.175,,-43.120999,-9.829,,-0.71,-3.12,13.806,-3.12,-3.12,-3.12,13.806,
09/30/1997,3.66,,0,0,0,-0.622,3.038,-4.264,0.0,-0.326,-0.25,0.0,,-1.802,-1.452,0.0,0,0.0,-3.254,0.0,-3.254,1.704,-0.035,-1.585,-6.323,,-7.908,-9.612,,-0.69,-0.57,13.806,-0.57,-0.57,-0.57,13.806,
12/31/1997,2.974,,0,0,0,2.803,5.777,-4.538,0.0,-5.231,-0.251,-0.038,,-4.281,-1.46,0.0,0,0.0,-5.741,0.0,-5.741,-49.727001,0.011,-55.457001,-6.474,,-61.931001,-12.204,,-0.89,-4.49,13.806,-0.47,-4.76,-4.49,13.806,
03/31/1998,2.431,,0,0,0,2.213,4.644,-4.159,0.0,-4.136,-0.255,-0.002,,-3.908,-0.959,0.0,0,0.0,-4.867,,-4.867,21.25,0.105,16.488001,-6.632,,9.856001,,,-0.83,0.714,13.806,,,0.714,13.806,
06/30/1998,2.576,,0,0,0,0.565,3.141,-3.583,0.0,-1.612,-0.192,-0.018,,-2.264,-0.505,0.256,0,0.0,-2.513,0.0,-2.513,0.0,-0.069,-2.582,-6.792,,-9.374,-9.374,,-0.68,-0.7,13.806,,,-0.7,13.806,
09/30/1998,2.353,,0,0,0,0.521,2.874,-3.694,0.0,-0.582,-0.194,-0.019,,-1.615,-0.523,-0.608,0,0.0,-2.746,0.0,-2.746,0.0,-0.038,-2.784,-6.957,,-9.741,-9.741,,-0.71,-0.75,13.806,,,-0.75,13.806,
12/31/1998,2.615,,0,0,0,0.452,3.067,-3.893,0.0,-0.095,-0.316,-0.002,,-1.239,-0.671,1.288,0,0.0,-0.622,0.0,-0.622,0.0,-0.016,-0.638,-7.127,,-7.765,-7.765,-0.56,-0.56,-0.6,13.806,-0.56,-0.56,-0.6,13.806,
03/31/1999,2.965,,0,0,0,0.336,3.301,-3.881,0.0,,-0.529,0.031,,-0.264,-0.718,0.327,0,0.0,-0.655,0.0,-0.655,0.0,0.072,-0.583,-7.302,,-7.885,-7.885,,-0.61,-0.61,13.102,,,-0.61,13.102,
06/30/1999,0.0,0.0,0,0,0,0.469,0.469,0.0,-2.074,0.0,-0.011,0.0,0.0,-1.616,-0.185,-1.199,0,5.828,2.828,0.0,2.092,0.0,0.0,2.092,-7.482,,-5.39,-4.654,-0.86,-0.86,-0.41,13.005,-0.86,-0.86,-0.41,13.005,
09/30/1999,0.0,0.0,0,0,0,1.058,1.058,0.0,-2.18,0.0,-0.01,0.0,0.0,-1.132,-0.194,-1.691,0,2.366,-0.651,0.0,-0.651,0.0,0.0,-0.651,-7.668,,-8.319,-8.319,-0.82,-0.64,-0.64,13.005,-0.82,-0.64,-0.64,13.005,
12/31/1999,0.0,0.0,0,0,0,0.822,0.822,0.0,-2.328,0.0,-0.009,0.0,0.0,-1.515,-0.481,3.057,0,224.945007,226.006007,0.0,226.005997,0.0,0.0,226.005997,-5.762,,220.243997,220.244007,-0.333,15.41,15.41,14.291,-0.333,15.41,15.41,14.291,
03/31/2000,0.0,0.0,0,0,0,0.267,0.267,0.0,-0.077,0.0,-0.006,0.0,0.0,0.184,-1.221,-0.653,0,0.001,-1.689,0.0,-1.689,0.0,0.0,-1.689,0.0,,-1.689,-1.689,-0.516643,-0.19,-0.19,14.1,-0.517,-0.19,-0.19,14.1,
06/30/2000,0.0,0.0,0,0,0,0.47,0.47,0.0,-0.914,0.0,-0.006,0.0,0.0,-0.45,-1.22,-2.836,0,0.0,-4.506,0.0,-4.506,0.172,0.0,-6.447,0.0,,-6.447,-4.506,-0.38,-0.38,-0.36,17.737,-0.38,-0.38,-0.36,17.737,
09/30/2000,0.0,0.0,0,0,0,0.518,0.518,0.0,-1.642,0.0,-0.006,0.0,0.0,-1.135,-1.281,-3.751,0,0.0,-6.167,0.0,-6.167,0.112,0.0,-6.055,0.0,,-6.055,-6.167,-0.35,-0.35,-0.34,17.677999,-0.35,-0.35,-0.34,17.677999,
12/31/2000,0.0,0.0,0,0,0,0.555,0.555,0.0,-0.285,0.0,-0.007,0.0,0.0,0.263,-1.284,-3.874,0,7.491,2.596,0.0,2.596,0.1,0.0,2.696,0.0,,2.696,2.596,-0.28,-0.28,0.15,17.533001,-0.28,-0.28,0.15,17.533001,
03/31/2001,0.0,0.0,0,0,0,0.436,0.436,0.0,-0.958,0.0,-0.006,0.0,0.0,-0.523,-1.201,3.035,0,-5.303,-3.992,0.0,-3.992,4.551,0.0,0.559,0.0,0.0,0.559,-3.992,-0.44,-0.44,0.02,17.573,-0.44,-0.44,0.02,17.573,
06/30/2001,0.0,0.0,0,0,0,1.605,1.605,0.0,-1.185,0.0,-0.006,0.0,0.0,0.414,-0.746,-11.678,0,0.0,-12.01,0.0,-4.153,2.476,0.0,-9.534,0.0,0.0,-9.534,-12.01,-0.69,-0.69,-0.55,17.297001,-0.69,-0.69,-0.55,17.297001,
09/30/2001,0.0,0.0,0,0,0,0.545,0.545,0.0,-0.691,0.0,-0.006,0.0,0.0,-0.152,-0.634,-2.355,0,0.048,-3.093,0.0,-3.093,0.0,0.016,-3.077,0.0,0.0,-3.077,-3.077,-0.18,-0.18,-0.18,17.268,-0.18,-0.18,-0.18,17.268,
