Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
07/04/2014,80.503,65.295,35.398,12.489,4.704,,7.785,-32.679,-32.679,,-0.793,-3.793,4.571,4.571,0,-8.364,-8.231,-0.133,0,0,0,3.0,3,0.0,0,0.0,-80.048,0.0,-7.851,0.0,0.0,0.0,-72.197,0,-0.338,40.933,5.811,
10/03/2014,174.904,73.605,35.649,11.329,3.856,,7.473,54.321,54.321,,-54.381,-18.867,0.0,0.0,0,-18.867,-16.995,-1.872,0,0,0,-35.514,0,-35.514,0,0.0,-115.285,0.0,-7.293,0.0,0.0,0.0,-107.992,0,5.238,47.531,5.632,
01/02/2015,141.915,55.138,33.225,8.892,4.453,,4.439,44.66,44.66,,-19.288,-19.288,0.0,0.0,0,-19.288,-18.367,-0.921,0,0,0,0.0,0,0.0,0,0.0,-123.987,-279.419,-7.759,0.0,0.0,0.0,163.191,0,-1.36,33.779,5.445,
04/03/2015,89.616,57.719,32.786,11.677,4.605,,7.072,-12.566,-12.566,,-42.187,-28.331,3.053,3.053,0,-31.384,-26.59,-4.794,0,0,0,-13.856,0,-13.856,0,0.0,-49.969,0.0,-5.999,0.0,0.0,0.0,-43.97,0,-2.54,40.808,6.379,
07/03/2015,247.0,63.0,35.0,-14.0,-1.0,,-13.0,163.0,163.0,,19.0,-15.0,0.0,0.0,0,-15.0,-15.0,0.0,0,0,0,34.0,34,0.0,0,0.0,-264.0,0.0,-5.0,0.0,0.0,0.0,-259.0,0,2.0,42.0,5.0,
10/02/2015,119.0,48.0,37.0,16.0,5.0,,11.0,18.0,18.0,0.0,-32.0,-33.0,0.0,0.0,0,-33.0,-23.0,-10.0,0,0,0,0.0,0,0.0,0,1.0,-84.0,0.0,-5.0,0.0,0.0,0.0,-79.0,0,3.0,36.0,5.0,
01/01/2016,9.0,48.0,41.0,-24.0,4.0,,-28.0,-56.0,-56.0,0.0,-1538.0,-57.0,0.0,0.0,0,-57.0,-54.0,-3.0,0,0,0,-341.0,0,-341.0,0,-1140.0,1724.0,-1148.0,2647.0,-37.0,0.0,-37.0,262.0,0,195.0,13.265,12.837,
04/01/2016,178.712,-71.863,78.428,115.196,1.476,,113.72,56.951,56.951,0.0,-53.959,-54.861,1.07,1.07,0,-55.931,-46.95,-8.981,0,0,0,0.0,0,0.0,0,0.902,-199.206,-5.827,-173.339,-12.565,0.605,-13.17,-7.475,0,-74.453,0.0,24.739,
07/01/2016,156.0,65.0,67.0,13.0,2.0,,11.0,11.0,11.0,0.0,-43.0,-34.0,0.0,0.0,0,-34.0,-34.0,0.0,0,0,0,0.0,0,0.0,0,-9.0,-110.0,-18.0,-105.0,0.0,0.0,0.0,13.0,0,3.0,2.0,28.0,
09/30/2016,55.0,76.0,64.0,-27.0,3.0,,-30.0,-58.0,-58.0,,-48.0,-24.0,10.0,10.0,0,-34.0,-34.0,0.0,0,0,0,0.0,0,0.0,0,-24.0,-72.0,-16.0,7.0,-8.0,0.0,-8.0,-55.0,0,-65.0,45.0,26.0,
12/30/2016,227.0,126.0,60.0,-160.0,17.0,,-177.0,201.0,201.0,0.0,-27.0,-38.0,0.0,0.0,0,-38.0,-30.0,-8.0,0,0,0,0.0,0,0.0,0,11.0,-106.0,-17.0,-62.0,-21.0,0.0,-21.0,-6.0,0,94.0,14.0,25.0,
03/31/2017,50.0,37.0,53.0,107.0,3.0,,104.0,-147.0,-147.0,0.0,-50.0,-25.0,11.0,11.0,0,-36.0,-31.0,-5.0,0,0,0,0.0,0,0.0,0,-25.0,-36.0,-16.0,-35.0,0.0,0.0,0.0,15.0,0,-36.0,29.0,29.0,
06/30/2017,87.0,77.0,60.0,-30.0,3.0,-2.0,-31.0,-20.0,-20.0,0.0,-6.0,-23.0,6.0,6.0,0,-29.0,-29.0,0.0,0,0,0,0.0,0,0.0,0,17.0,-13.0,-17.0,48.0,-14.0,0.0,-14.0,-30.0,0,68.0,2.0,26.0,
09/29/2017,72.0,76.0,56.0,-40.0,3.0,1.0,-44.0,-20.0,-20.0,0.0,-153.0,-19.0,1.0,1.0,0,-20.0,-20.0,0.0,0,0,0,0.0,0,0.0,0,-134.0,-22.0,-16.0,-21.0,-2.0,0.0,-2.0,17.0,0,-103.0,65.0,23.0,
12/29/2017,157.0,188.0,59.0,-46.0,3.0,-101.0,52.0,-44.0,-44.0,0.0,-222.0,-27.0,29.0,29.0,0,-56.0,-45.0,-11.0,0,0,0,-335.0,0,-335.0,0,140.0,54.0,-17.0,94.0,0.0,0.0,0.0,-23.0,0,-11.0,32.0,32.0,
