Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Dvd Payout Ratio,Source: Bloomberg
05/01/2015,,,,,,,16.58358,2.983331,-2.609441,,-4.003739,-3.707743,-3.925845,-3.925845,,,
07/31/2015,,,,,,,16.023121,4.747592,-0.793834,,-2.504817,-2.250482,-2.042389,-2.042389,,,
10/30/2015,,,,,,,16.82184,5.057598,-0.615433,,-2.217137,-2.083005,-1.42023,-1.42023,,,
01/29/2016,,,,,,,17.777427,5.44207,-0.205063,,-1.561637,-1.325026,-1.222494,-1.222494,,,
04/29/2016,,,,,,,17.915203,4.517605,-1.135528,,-2.924598,-3.463769,0.44931,0.44931,,,
07/29/2016,,,,,,,17.859327,5.321101,0.512232,161.904762,-2.155963,-2.003058,4.380734,4.380734,,,
10/28/2016,,,,,,,23.998277,0.393919,-9.306333,,-14.19339,-10.075706,-12.703884,-12.703884,,,
02/03/2017,,-22.225176,-2.047414,-1.383345,-5.647143,,22.571486,1.858125,-8.309256,,-12.005579,-7.043937,-1.17565,-1.17565,,,
05/05/2017,,-43.125,-3.624335,-3.778064,-7.079246,,24.761111,5.222222,-7.066667,,-10.244444,-6.683333,-6.505556,-6.505556,,,
08/04/2017,,-62.156167,-4.509415,-5.154187,-6.216869,,25.449516,7.566211,-3.406588,,-6.198453,-3.785667,-3.749808,-3.749808,,,
11/03/2017,,-24.929013,-2.446461,-2.055109,-3.572742,,26.692575,8.831049,-2.096543,33.303113,-5.583964,-4.351606,-4.326038,-4.326038,,,
02/02/2018,,-22.277828,-2.35067,-1.92357,-2.006004,,26.826936,9.443154,-0.314165,84.647962,-2.836589,-0.605564,-0.455311,-0.455311,,,
05/04/2018,,-19.981003,-1.934322,-0.526281,-1.055238,,27.523881,8.245926,-0.716426,33.343266,-2.917213,-2.519198,-2.978086,-2.978086,,,
08/03/2018,,-19.005434,-1.727867,-0.096264,-0.662578,,26.689042,8.360213,-0.056665,19.058755,-2.039927,-2.009415,-2.17505,-2.17505,,,
11/02/2018,,-21.576043,-1.761846,-0.157292,-0.639783,,26.434481,24.241616,-1.583489,1.845523,-4.425763,-3.980963,-3.89645,-3.89645,,,
02/01/2019,,,-1.957519,-0.348913,-0.754549,,29.81838,9.525607,1.388365,21.299255,-1.153475,-1.203809,-1.254142,-1.254142,,,
05/03/2019,,,-1.184853,1.173394,0.921571,,31.025196,10.420851,2.510498,127.355072,-0.65273,1.501735,1.337411,1.337411,,0.0,
08/02/2019,,,2.121381,8.804276,8.67442,,31.347882,9.169876,2.220796,124.299065,-0.474968,18.108686,14.61703,14.61703,,0.0,
11/01/2019,,,3.284115,11.215083,11.074678,,31.194187,10.786202,3.659604,329.281768,0.696025,2.416389,2.184381,2.184381,,0.0,
01/31/2020,,,4.002063,13.719515,13.628125,,31.974035,9.924268,2.983522,202.094241,0.378662,1.731025,1.697736,1.697736,,0.0,
05/01/2020,,,3.881318,12.737501,12.528459,,31.296525,9.81413,3.205919,,0.62109,0.831164,0.653057,0.653057,,0.0,
07/31/2020,,,1.771989,,7.233633,,31.478467,10.891655,4.997141,,2.199446,4.834382,4.610038,4.610038,,,
