Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Net Revenue after Provisions,Total Non-Interest Expense,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2018,469.0,-37.0,138.0,138.0,-175.0,506.0,127.0,127.0,0.0,379.0,469.0,-517.0,517.0,-48,6.0,-6.0,-42.0,998.0,956,0.0,0.0,0.0,956.0,-9.0,947,0.0,0.0,947,947,0.0,90.80837,10.479959,10.479959,10.479959,91.992375,10.339955,10.339955,10.339955,
12/31/2018,247.0,-5.0,166.0,166.0,-171.0,252.0,-95.0,93.0,-188.0,347.0,247.0,-432.0,432.0,-185,7.0,-7.0,-178.0,42.0,-136,0.0,0.0,0.0,-136.0,,-136,0.0,0.0,-136,-136,155.63,90.816,-1.5,-1.5,0.216151,90.816,-1.5,-1.5,0.213685,
03/31/2019,195.0,-55.0,134.0,134.0,-189.0,250.0,166.0,166.0,,84.0,195.0,-443.0,443.0,-248,15.0,-15.0,-233.0,47.0,-186,0.0,0.0,0.0,-186.0,0.0,-186,0.0,0.0,-186,-186,231.47,90.828,-2.05,-2.05,0.500617,90.828,-2.05,-2.05,0.498443,
06/30/2019,374.0,-25.0,162.0,162.0,-187.0,399.0,262.0,262.0,0.0,137.0,374.0,-492.0,492.0,-118,1.0,-1.0,-117.0,29.0,-88,0.0,0.0,0.0,-88.0,1.0,-87,0.0,0.0,-87,-87,195.92,91.054,-0.96,-0.96,1.196213,91.054,-0.96,-0.96,1.19169,
09/30/2019,585.0,-33.0,163.0,163.0,-196.0,618.0,360.0,360.0,0.0,258.0,585.0,-478.0,478.0,107,0.0,0.0,107.0,-24.0,83,0.0,0.0,0.0,83.0,1.0,84,0.0,-1.0,83,83,65.57,91.08,0.91,0.91,1.631203,92.036,0.9,0.9,1.612439,
12/31/2019,679.0,-61.0,146.0,146.0,-207.0,740.0,412.0,310.0,102.0,328.0,679.0,-438.0,438.0,241,-1.0,1.0,240.0,221.0,461,0.0,0.0,0.0,461.0,2.0,463,0.0,-4.0,459,459,-75.84,91.105,5.03,5.03,4.205697,92.599,4.95,4.95,4.130985,
03/31/2020,204.0,-74.0,118.0,118.0,-192.0,278.0,331.0,331.0,0.0,-53.0,204.0,-444.0,444.0,-240,1.0,-1.0,-239.0,68.0,-171,0.0,0.0,0.0,-171.0,3.0,-168,0.0,0.0,-168,-168,-305.73,91.385,-1.84,-1.84,-5.183892,91.385,-1.84,-1.84,-5.185516,
06/30/2020,529.0,-101.0,76.0,76.0,-177.0,630.0,618.0,618.0,0.0,12.0,529.0,-419.0,419.0,110,0.0,0.0,110.0,-37.0,73,0.0,0.0,0.0,73.0,0.0,73,0.0,-1.0,72,72,-206.98,91.997,0.78,0.78,-1.467222,93.012,0.77,0.77,-1.467222,
09/30/2020,803.667,,,,,,,,,,,,,400,,,198.5,,96,,,,,,96,,,96,96,,,1.93,1.93,2.745,,1.93,1.93,2.745,
12/31/2020,686.0,,,,,,,,,,,,,328,,,173.5,,113,,,,,,113,,,113,113,,,1.343,1.343,1.65,,1.343,1.343,1.65,
