Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,2862,-2137.0,725.0,-431.0,294.0,-61.0,,61.0,294.0,-81.0,213.0,0.0,-3.0,210,0.0,210.0,210.0,,0.71,0.71,293.0,0.71,0.71,0.71,293.0,
06/30/1990,3175,-2347.0,828.0,-462.0,366.0,-61.0,,48.0,353.0,-97.0,256.0,0.0,-4.0,252,0.0,252.0,252.0,,0.86,0.86,294.0,0.86,0.86,0.86,294.0,
09/30/1990,3175,-2345.0,830.0,-453.0,377.0,-55.0,,36.0,358.0,-98.0,260.0,0.0,-5.0,255,0.0,255.0,255.0,,0.87,0.87,294.0,0.87,0.87,0.87,294.0,
12/31/1990,3703,-3749.0,-46.0,-489.0,-535.0,-70.0,,28.0,-577.0,132.0,-445.0,0.0,-4.0,-449,0.0,-449.0,-449.0,-1.53,-1.53,-1.53,293.463989,-1.53,-1.53,-1.53,293.463989,
03/31/1991,2777,-2136.0,641.0,-484.0,157.0,-57.0,,41.0,141.0,-39.0,102.0,0.0,-4.0,98,0.0,98.0,98.0,,0.34,0.34,294.0,0.34,0.34,0.34,294.0,
06/30/1991,3174,-2401.0,773.0,-521.0,252.0,-57.0,,-14.0,181.0,-51.0,130.0,0.0,-3.0,127,0.0,127.0,127.0,,0.41,0.41,300.0,0.41,0.41,0.41,300.0,
09/30/1991,3426,-4402.0,-976.0,-628.0,-1604.0,-63.0,,7.0,-1660.0,182.0,-1478.0,0.0,-4.0,-1482,0.0,-1482.0,-1482.0,,-4.86,-4.86,306.0,-4.86,-4.86,-4.86,306.0,
12/31/1991,3417,-4783.0,-1366.0,-442.0,-1808.0,-57.0,-7.0,-29.0,-1901.0,-67.0,1513.0,0.0,-4.0,171,0.0,171.0,-1972.0,0.503196,0.503196,0.503196,339.828003,0.503196,0.503196,0.503196,339.828003,
03/31/1992,2054,-1600.0,454.0,-275.0,179.0,-50.0,0.0,-12.0,117.0,-33.0,84.0,-330.0,0.0,-246,0.0,-246.0,84.0,,0.25,-0.71,344.0,0.25,0.25,-0.71,344.0,
06/30/1992,2371,-1812.0,559.0,-338.0,221.0,-59.0,3.0,-8.0,157.0,-52.0,105.0,19.0,-2.0,122,-2.0,120.0,101.0,,0.3,0.35,354.0,0.3,0.3,0.35,354.0,
09/30/1992,2268,-1715.0,553.0,-340.0,213.0,-53.0,-4.0,0.0,156.0,-63.0,93.0,-77.0,-2.0,14,-13.0,1.0,78.0,,0.22,0.0,347.0,0.22,0.22,0.0,347.0,
12/31/1992,2558,-1952.0,606.0,-426.0,180.0,-63.0,-5.0,8.0,120.0,-39.0,81.0,-1363.0,-2.0,-1284,-7.0,-1291.0,72.0,0.18,0.18,-3.74,348.0,0.18,0.18,-3.74,348.0,
03/31/1993,2020,-1552.0,468.0,-322.0,146.0,-53.0,-2.0,8.0,99.0,-36.0,63.0,-56.0,-4.0,3,-13.0,-10.0,46.0,,0.14,-0.02,351.0,0.14,0.14,-0.02,351.0,
06/30/1993,2154,-1602.0,552.0,-367.0,185.0,-52.0,-3.0,5.0,135.0,-50.0,85.0,0.0,-1.0,84,-12.8,71.2,71.2,,0.2,0.2,352.0,0.2,0.2,0.2,352.0,
09/30/1993,2060,-1579.0,481.0,-338.0,143.0,-52.0,-1.0,2.0,92.0,-24.0,68.0,0.0,-3.0,65,-12.2,52.8,52.8,,0.15,0.15,354.0,0.15,0.15,0.15,354.0,
12/31/1993,2641,-2055.0,586.0,-564.0,22.0,-60.0,11.0,-535.0,-562.0,180.0,-382.0,-95.0,-1.0,-478,-12.318,-490.318,-395.318,-1.11,-1.11,-1.38,355.0,-1.11,-1.11,-1.38,355.0,
03/31/1994,1193,-912.0,281.0,-241.0,40.0,-33.0,,-116.0,-109.0,130.0,21.0,18.0,-3.0,36,-15.0,21.0,3.0,,0.02,0.07,397.0,0.02,0.02,0.07,397.0,
06/30/1994,1475,-1080.0,395.0,-296.0,99.0,-33.0,,27.0,93.0,-48.0,45.0,34.0,-4.0,75,-15.0,60.0,26.0,,0.07,0.16,395.0,0.07,0.07,0.16,395.0,
09/30/1994,1469,-1095.0,374.0,-295.0,79.0,-34.0,,51.0,96.0,-47.0,49.0,27.0,-3.0,73,-16.0,57.0,30.0,,0.08,0.15,394.0,0.08,0.08,0.15,394.0,
12/31/1994,1752,-1190.0,562.0,-352.0,210.0,-34.0,,-273.0,-97.0,-22.0,-119.0,11.0,1.0,-107,-16.0,-123.0,-134.0,-0.33,-0.33,-0.3,397.0,-0.33,-0.33,-0.3,397.0,
03/31/1995,1140,-814.0,326.0,-295.0,31.0,-58.0,,28.0,1.0,-10.0,-9.0,26.0,-2.0,15,-9.0,6.0,-20.0,-0.06,-0.06,0.01,397.800995,-0.06,-0.06,0.01,397.800995,
06/30/1995,1374,-957.0,417.0,-324.0,93.0,-61.0,,36.0,68.0,-39.0,29.0,33.0,-3.0,59,-9.0,50.0,17.0,0.04,0.04,0.12,399.0,0.04,0.04,0.12,399.0,
