Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1997,,-18.327999,0,0,0,,1068.33606,0.0,,,,,,,,,
06/30/1997,,-30.306,0,0,0,,1084.452026,0.0,,,,,,,,,
09/30/1997,2485.694621,-188.926992,0,0,0,2296.767629,1250.422035,0.0,0.0,,,,2513.317392,2324.3904,15.534654,,
12/31/1997,2651.82782,-65.570999,0,0,0,2586.256821,1214.811049,0.0,0.0,1.466059,32.465782,,2645.106693,2579.535694,17.43301,,
03/31/1998,3153.689852,-44.971001,0,0,40,3148.718851,1228.622002,3.25568,0.012704,1.775947,,,3133.631883,3128.660882,20.904497,,
06/30/1998,4123.827181,-108.512997,0,0,0,4015.314184,1250.307945,0.0,0.0,2.21708,177.190472,,4373.462992,4264.949995,26.472097,,
09/30/1998,3668.573217,-120.118002,0,0,0,3548.455215,1489.822021,0.0,0.0,1.902967,66.254433,,3872.345352,3752.22735,20.916945,,
12/31/1998,5727.767695,-153.540003,0,0,0,5574.227693,1650.170982,0.0,0.0,2.804184,29.679985,53.471348,6097.482725,5943.942722,33.027763,,
03/31/1999,5370.465569,-435.550013,0,0,0,4934.915557,1896.692062,0.0,0.0,2.361242,15.789052,21.53377,5731.214662,5295.664649,27.854127,,
06/30/1999,7363.63472,-451.152,0,0,0,6912.482719,1882.671951,0.0,0.0,3.247598,21.003244,27.383327,7999.817619,7548.665619,39.896128,,
09/30/1999,8333.904053,-631.724014,0,0,0,7702.180038,1964.065972,0.0,0.0,3.574831,23.030425,29.23206,9125.616211,8493.892197,44.361519,,
09/12/2020,,-631.724014282227,0,0,0,,1964.06597185135,0.0,,,,,,,44.3615188639473,,
