Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
09/30/1998,4427,-3881.0,546.0,-250.0,296.0,-107.0,113.0,302.0,-119.0,183.0,0.0,0.0,183,0.0,,183,,,183.0,0.29,0.29,0.29,628.0,0.29,0.29,0.29,637.0,
12/31/1998,4026,-3578.0,448.0,-367.0,81.0,-92.0,-382.0,-393.0,130.0,-263.0,0.0,0.0,-263,0.0,,-263,297.0,0.0,34.0,0.05,-0.42,-0.42,628.0,0.05,-0.42,-0.42,628.0,
03/31/1999,3765,-3307.0,458.0,-277.0,181.0,-71.0,24.0,134.0,-51.0,83.0,0.0,0.0,83,0.0,,83,,,83.0,0.13,0.13,0.13,628.0,0.13,0.13,0.13,635.0,
06/30/1999,4642,-4164.0,478.0,-316.0,162.0,-79.0,77.0,160.0,-46.0,114.0,0.0,0.0,114,0.0,,114,,,114.0,0.18,0.18,0.18,627.473999,0.18,0.18,0.18,637.97699,
09/30/1999,5755,-5053.0,702.0,-313.0,389.0,-80.0,76.0,385.0,-162.0,223.0,0.0,0.0,223,0.0,,223,38.0,0.0,261.0,0.42,0.36,0.36,627.35498,0.41,0.35,0.35,637.440002,
12/31/1999,6385,-5510.0,875.0,-349.0,526.0,-81.0,93.0,538.0,-214.0,324.0,0.0,0.0,324,0.0,,324,,,324.0,0.52,0.52,0.52,626.481995,0.51,0.51,0.51,636.03302,
03/31/2000,6867,-5969.0,898.0,-270.0,628.0,-83.0,167.0,712.0,-313.0,399.0,0.0,0.0,399,0.0,0.0,399,-8.0,0.0,391.0,0.63,0.64,0.64,625.616028,0.62,0.63,0.63,633.312988,
06/30/2000,7630,-6614.0,1016.0,-302.0,714.0,-89.0,149.0,774.0,-318.0,456.0,0.0,0.0,456,0.0,0.0,456,4.0,0.0,460.0,0.74,0.73,0.73,625.0,0.73,0.72,0.72,634.0,
09/30/2000,8858,-7592.0,1266.0,-333.0,933.0,-78.0,110.0,965.0,-468.0,497.0,0.0,0.0,497,0.0,,497,26.0,0.0,523.0,0.84,0.8,0.8,623.481995,0.83,0.79,0.79,632.054016,
12/31/2000,8608,-7262.0,1346.0,-375.0,971.0,-88.0,124.0,1007.0,-457.0,550.0,0.0,0.0,550,0.0,,550,24.0,0.0,574.0,0.92,0.88,0.88,623.744019,0.91,0.87,0.87,633.447021,
03/31/2001,9061,-7586.0,1475.0,-307.0,1168.0,-75.0,52.0,1145.0,-529.0,616.0,37.0,0.0,653,0.0,0.0,653,,,616.0,0.99,0.99,1.04,624.700989,0.97,0.97,1.03,635.007019,
06/30/2001,8701,-7382.0,1319.0,-324.0,995.0,-67.0,173.0,1101.0,-549.0,552.0,0.0,0.0,552,0.0,0.0,552,54.0,0.0,606.0,0.97,0.88,0.88,625.429016,0.95,0.87,0.87,636.226013,
09/30/2001,7835,-6965.0,870.0,-345.0,525.0,-135.0,194.0,584.0,-303.0,281.0,-24.0,0.0,257,0.0,0.0,257,147.0,0.0,428.0,0.65,0.45,0.41,625.856018,0.64,0.44,0.4,635.728027,
12/31/2001,6603,-6181.0,422.0,-529.0,-107.0,-119.0,383.0,157.0,-10.0,147.0,-20.0,0.0,127,0.0,0.0,127,70.0,0.0,217.0,0.31,0.23,0.2,626.434998,0.31,0.23,0.2,634.534973,
03/31/2002,6269,-5626.0,643.0,-331.0,312.0,-116.0,21.0,217.0,-135.0,82.0,22.0,0.0,104,0.0,0.0,104,-27.0,0.0,55.0,0.09,0.13,0.17,626.974976,0.09,0.13,0.16,636.237,
06/30/2002,7667,-6988.0,679.0,-364.0,315.0,-119.0,102.0,298.0,-166.0,132.0,-2.0,0.0,130,0.0,0.0,130,9.0,0.0,141.0,0.22,0.21,0.21,627.677002,0.22,0.21,0.2,636.442993,
09/30/2002,15700,,,,,,,,,,,,-116,,,-116,,,,0.94,-0.24,-0.24,483.333313,0.94,-0.24,-0.24,483.333313,
