Date,Cash From Operating Activities,Net Income,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
12/31/1993,,133.399994,70.199997,-42.900002,160.699997,,,,,,,,,,,,,,,160.699997,,
03/31/1994,,65.400002,74.599998,-53.5,86.5,,,,,,,,,,,,,,,86.5,,
06/30/1994,,50.900002,58.799999,-89.5,20.200001,,,,,,,,,,,,,,,20.200001,,
09/30/1994,,-26.5,86.999992,100.400002,160.899994,,,,,,,,,,,,,,,160.899994,,
12/31/1994,,101.099998,89.599998,-47.299999,143.399994,,,,,,,,,,,,,,,143.399994,,
03/31/1995,,51.400002,66.599998,-1.2,116.800003,,,,,,,,,,,,,,,116.800003,,
06/30/1995,,68.199997,74.400002,-36.599998,106.0,,,,,,,,,,,,,,,106.0,,
09/30/1995,,75.699997,-225.800003,-31.9,107.5,,,,,,,,,,,,,,,107.5,,
12/31/1995,,128.5,62.900002,-24.799999,166.600006,-53.400002,,-53.400002,,,,,,,,,,,,113.200004,,
03/31/1996,,59.099998,72.800003,-15.2,116.699997,-68.599998,,-68.599998,,,,,,,,,,,,48.099999,,
06/30/1996,,82.199997,53.099998,-91.300003,44.0,-81.800003,,-81.800003,,,,,,,,,,,,-37.800003,,
09/30/1996,,89.800003,-219.800003,73.300003,137.100006,-228.800003,,-228.800003,,,,,,,,,,,,-91.699997,,
12/31/1996,,137.399994,74.0,-3.2,208.199997,-59.700001,,-59.700001,,,,,,,,,,,,148.499996,,
03/31/1997,,76.699997,50.599998,-8.7,118.599998,-59.599998,,-59.599998,,,,,,,,,,,,59.0,,
06/30/1997,,100.699997,-8.9,-9.2,82.599998,-69.699997,,-69.699997,,,,,,,,,,,,12.900001,,
09/30/1997,,108.900002,-155.0,55.299999,198.199997,-93.900002,,-93.900002,,,,,,,,,,,,104.299995,,
12/31/1997,,860.5,-657.799988,-58.799999,143.899994,-331.600006,0.0,-55.0,0.0,0.0,-276.600006,192.300003,-40.900002,0.0,235.899994,0.0,0.0,0.0,-2.7,4.6,,
03/31/1998,,79.900002,9.8,-7.1,82.599998,-52.5,0.0,-61.099998,0.0,0.0,8.6,2.5,-30.9,0.0,118.800003,0.0,0.0,-70.0,-15.4,32.599998,,
06/30/1998,,60.5,-4.1,59.0,115.400002,-130.199997,0.0,-49.5,0.0,0.0,-80.699997,-50.900002,-39.400002,0.0,136.699997,0.0,0.0,-130.600006,-17.6,-65.699997,,
09/30/1998,,104.800003,64.5,-24.1,145.199997,-79.800003,17.799999,-65.099998,0.0,0.0,-32.5,-56.200001,-30.0,0.0,224.100006,-73.099998,0.0,-215.5,38.299999,9.2,,
12/31/1998,,176.800003,,,108.800003,-35.799999,0.0,-32.5,0.0,0.0,-3.3,-92.797997,-38.5,0.0,,,0.0,0.0,-54.298,-19.798,,
03/31/1999,,107.199997,,,236.300003,-51.299999,0.0,-48.700001,0.0,0.0,-2.6,-179.399994,-31.4,0.0,,,0.0,-82.300003,-65.699997,5.6,,
06/30/1999,,57.200001,,,57.200001,102.199997,0.0,0.0,0.0,0.0,102.199997,-207.701996,-31.200001,0.0,,,0.0,-33.299999,-143.020004,-48.301998,,
09/30/1999,,163.899994,,,197.600006,121.699997,12.4,-51.5,0.0,0.0,160.800003,-325.200012,-31.0,0.0,140.800003,0.0,0.0,-437.299988,2.3,-5.9,,
12/31/1999,,242.800003,50.299999,-83.800003,209.300003,-40.799999,0.0,-36.099998,0.0,0.0,-4.7,-142.800003,-29.1,0.0,0.0,0.0,0.0,-233.199997,119.5,25.700001,,
03/31/2000,,143.0,-22.6,42.400002,162.800003,67.099998,0.0,-15.4,0.0,0.0,82.5,-178.800003,-28.799999,0.0,0.0,0.0,0.0,-107.199997,-42.799999,51.099998,,
06/30/2000,,61.099998,9.6,-37.400002,33.299999,-42.5,0.0,-26.700001,0.0,0.0,-15.8,-70.5,-19.9,0.0,0.0,0.0,0.0,-57.599998,7.0,-79.699997,,
09/30/2000,,83.5,-205.899994,24.200001,3.7,303.299988,2.8,-32.599998,0.0,0.0,333.100006,-248.5,-20.0,-416.700012,0.0,0.0,0.0,0.0,426.399994,58.5,,
12/31/2000,,81.400002,18.799999,-2.7,97.5,-18.6,33.200001,-24.9,0.0,0.0,-26.9,-96.199997,-20.200001,0.0,0.0,-53.799999,0.0,-31.799999,9.6,-17.299999,,
03/31/2001,,54.400002,14.0,-28.0,40.400002,50.799999,0.0,-59.599998,0.0,0.0,110.400002,47.0,-19.9,0.0,57.700001,0.0,0.0,0.0,9.2,138.199997,,
06/30/2001,,77.5,2.3,-48.799999,31.0,-14.2,0.0,-22.799999,0.0,0.0,8.6,-9.9,-20.1,0.0,6.7,0.0,0.0,0.0,3.5,6.9,,
