Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2018,6941.0,6941.0,-4132.0,4132.0,2809.0,0.0,-2110.0,904.0,50.0,1238.0,-82.0,699.0,-34.0,72.0,,,0.0,14.0,-38.0,665.0,-171.0,508.0,0.0,0.0,0.0,508.0,1.0,509.0,0.0,0.0,509.0,796.71,287.71,555.151,0.92,0.92,1.435123,555.151,0.92,0.92,1.435123,
06/30/2018,7178.0,7178.0,-4322.0,4322.0,2856.0,0.0,-2138.0,953.0,50.0,1227.0,-92.0,718.0,42.0,35.0,44.0,-9.0,,,-65.0,760.0,-196.0,564.0,0.0,0.0,0.0,564.0,-7.0,557.0,0.0,0.0,557.0,793.24245,278.24245,555.151,1.003331,1.003331,1.504532,555.151,1.003331,1.0,1.501201,
09/30/2018,7040.0,7040.0,-4250.0,4250.0,2790.0,0.0,-2164.0,832.0,50.0,1327.0,-45.0,626.0,1.0,,,,0.0,58.0,-1.0,627.0,-95.0,590.0,0.0,0.0,0.0,590.0,-192.0,398.0,0.0,0.0,398.0,-118.84245,-558.84245,543.868,0.731795,0.731795,-0.295738,555.151,0.716922,0.716922,-0.295738,
12/31/2018,6925.0,6925.0,-4225.0,4225.0,2700.0,0.0,-2182.0,946.0,51.0,1132.0,53.0,518.0,-171.0,272.0,335.0,-63.0,0.0,-72.0,-61.0,347.0,-208.0,67.0,0.0,0.0,0.0,67.0,198.0,265.0,0.0,0.0,265.0,1941.89,1676.89,555.151,0.467839,0.467839,3.497949,555.151,0.467839,0.467839,3.497949,
03/31/2019,6944.0,6944.0,-4116.0,4116.0,2828.0,0.0,-2219.0,879.0,46.0,1223.0,71.0,609.0,-38.0,23.0,23.0,0.0,0.0,34.0,15.0,571.0,-140.0,465.0,-89.0,-89.0,0.0,554.0,-37.0,517.0,0.0,0.0,517.0,920.0,492.0,545.554,0.95,0.8,1.69919,549.147,0.94,0.79,1.685935,
06/30/2019,7204.0,7204.0,-4280.0,4280.0,2924.0,0.0,-2255.0,884.0,45.0,1195.0,131.0,669.0,14.0,10.0,10.0,0.0,0.0,28.0,-24.0,683.0,-169.0,542.0,-9.0,-9.0,0.0,551.0,-29.0,522.0,0.0,0.0,522.0,1000.0,487.0,542.561,0.97,0.95,1.843111,546.488,0.96,0.94,1.831145,
09/30/2019,7000.0,7000.0,-4061.0,4061.0,2939.0,0.0,-1939.0,850.0,44.0,1095.0,-50.0,1000.0,1.0,-3.0,,,0.0,28.0,2.0,1001.0,-298.0,731.0,-7.0,-7.0,0.0,738.0,-3.0,735.0,0.0,0.0,735.0,1052.0,324.0,539.753,1.36,1.35,1.94904,543.616,1.35,1.34,1.936009,
12/31/2019,7080.0,7080.0,-4187.0,4187.0,2893.0,0.0,-2238.0,844.0,49.0,1162.0,183.0,655.0,17.0,8.0,8.0,0.0,0.0,24.0,-25.0,672.0,-162.0,534.0,-4.0,-4.0,0.0,538.0,-27.0,511.0,0.0,0.0,511.0,1024.0,517.0,536.768,0.95,0.94,1.907714,540.919,0.95,0.94,1.895781,
03/31/2020,6739.0,6739.0,-3843.0,3843.0,2896.0,0.0,-2163.0,861.0,44.0,1142.0,116.0,733.0,21.0,24.0,24.0,0.0,,17.0,-45.0,754.0,-165.0,606.0,-2.0,-2.0,0.0,608.0,-35.0,573.0,0.0,0.0,573.0,1009.0,438.0,531.215,1.07,1.07,1.899419,534.956,1.07,1.07,1.888759,
06/30/2020,6377.0,6377.0,-3619.0,3619.0,2758.0,0.0,-2167.0,760.0,34.0,1124.0,249.0,591.0,27.0,18.0,18.0,0.0,,29.0,-45.0,618.0,-164.0,483.0,0.0,0.0,0.0,483.0,-25.0,458.0,0.0,0.0,458.0,1005.0,547.0,525.51,0.87,0.87,1.912428,529.054,0.87,0.87,1.903921,
09/30/2020,6687.583,,,,2850.04724711,,,,,,,1371.625,,,,,,,,1303.25,,770.286,,,,,,770.286,,,770.286,1007.727,,,1.471,1.471,1.963,,1.471,1.471,1.963,
12/31/2020,6971.167,,,,2945.17863416,,,,,,,1351.556,,,,,,,,1350.875,,788.571,,,,,,788.571,,,788.571,1043.182,,,1.509,1.509,2.045,,1.509,1.509,2.045,
