Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
09/30/2017,265,390,41,73,,,73,-239,,-100,,-139,,323,-29,0,,,-29,-29,0,,,,354,354,0,0,-2,-594,0,0,0.0,0.0,0.0,0,0,0,-594,0,-6,
12/31/2017,-300,869,42,-503,,,-503,-708,,-143,,-565,0.0,-84,-83,0,,,-83,-83,0,,,,0,0,0,0,-1,427,0,0,0.0,0.0,0.0,0,0,0,427,0,43,
03/31/2018,820,457,43,28,,,28,292,,-57,,349,0.0,-42,-36,0,0.0,0.0,-36,-36,0,0.0,0.0,0.0,-354,-354,0,0,348,947,0,0,0.0,0.0,0.0,0,0,0,947,0,1725,
06/30/2018,532,471,45,-52,,,-52,68,0.0,72,0.0,-4,0.0,-69,-67,0,0.0,0.0,-67,-67,0,0.0,0.0,0.0,354,354,0,0,-356,256,0,0,0.0,0.0,0.0,0,0,0,256,0,719,
09/30/2018,247,604,43,-46,,0.0,-46,-354,0.0,-202,0.0,-152,0.0,-207,-42,0,0.0,0.0,-42,-42,0,0.0,0.0,0.0,0,0,0,0,-165,216,0,0,0.0,0.0,0.0,0,0,0,216,0,256,
12/31/2018,-211,8,51,349,,0.0,349,-619,0.0,34,0.0,-653,0.0,-44,-46,0,0.0,0.0,-46,-46,0,0.0,0.0,0.0,0,0,0,0,2,-550,0,0,0.0,0.0,0.0,0,0,0,-550,0,-805,
03/31/2019,1588,529,58,220,,322.0,-102,781,0.0,305,0.0,476,0.0,-60,-59,0,0.0,0.0,-59,-59,0,0.0,0.0,0.0,0,0,0,0,-1,-661,-6500,6750,,,,0,0,0,-911,0,867,
06/30/2019,900,454,60,30,,64.0,-34,356,0.0,60,0.0,296,0.0,-326,-88,0,0.0,0.0,-88,-88,0,0.0,0.0,0.0,0,0,0,0,-238,-158,-1421,0,0.0,0.0,0.0,0,0,0,1263,0,416,
09/30/2019,202,499,50,239,27.0,165.0,47,-586,0.0,-358,0.0,-228,0.0,-40,-39,0,0.0,0.0,-39,-39,0,0.0,0.0,0.0,0,0,0,0,-1,-56,0,0,0.0,0.0,0.0,0,0,0,-56,0,106,
12/31/2019,-458,300,57,-164,38.0,81.0,-283,-651,0.0,4,0.0,-655,0.0,-309,-71,0,0.0,0.0,-71,-71,0,0.0,0.0,0.0,-260,0,-260,0,22,-582,-169,0,0.0,0.0,0.0,-421,0,-421,8,0,-1349,
03/31/2020,1601,78,57,694,36.0,9.0,649,772,0.0,521,0.0,251,0.0,-48,-82,0,0.0,0.0,-82,-82,0,0.0,0.0,0.0,-351,0,-351,0,385,-348,-152,0,0.0,0.0,0.0,-179,0,-179,-17,0,1205,
06/30/2020,1020,122,94,119,36.0,28.0,55,685,0.0,14,0.0,671,0.0,-703,-167,0,0.0,0.0,-167,-167,0,0.0,0.0,0.0,-450,0,-450,0,-86,1132,-14,1191,,,,0,0,0,-45,0,1449,
