Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Inventories,Other Current Assets,Total Current Assets,LT Investments & LT Receivables,Net Fixed Assets,Gross Fixed Assets,Accumulated Depreciation,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,Short-Term Borrowings,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,,0,0,0,0,0,0,13.0,1145,1189,-44,14,1172,1172,,0.0,0,0.0,0,936,258,1194,1194,0,0,-22,-22,1172,
06/30/1998,,0,0,0,0,0,0,0.0,1150,1193,-43,11,1161,1161,,0.0,0,0.0,0,908,281,1189,1189,0,0,-28,-28,1161,
09/30/1998,,0,0,0,0,0,0,0.0,1151,1194,-43,23,1174,1174,,0.0,0,0.0,0,988,280,1268,1268,0,0,-94,-94,1174,
12/31/1998,,0,0,0,0,0,0,0.0,1164,1206,-42,10,1174,1174,,0.0,253,0.0,253,730,276,1006,1259,0,0,-85,-85,1174,
03/31/1999,,0,0,0,0,0,0,0.0,1164,1207,-43,15,1179,1179,,0.0,0,0.0,0,989,279,1268,1268,0,0,-89,-89,1179,
06/30/1999,,3,0,0,0,0,3,0.0,1175,1220,-45,26,1201,1204,,0.0,0,0.0,0,963,308,1271,1271,0,0,-67,-67,1204,
09/30/1999,,0,0,0,0,0,0,0.0,1193,1239,-46,25,1218,1218,,0.0,0,0.0,0,967,317,1284,1284,0,0,-66,-66,1218,
12/31/1999,,0,0,0,0,0,0,350.0,1146,1190,-44,25,1521,1521,,0.0,332,0.0,332,638,426,1064,1396,0,0,125,125,1521,
03/31/2000,,0,0,0,0,0,0,350.0,1157,1202,-45,13,1520,1520,,0.0,0,0.0,0,967,433,1400,1400,0,0,120,120,1520,
07/01/2000,,0,0,0,0,0,0,351.0,1184,1226,-42,11,1546,1546,,,0,,0,1027,437,1464,1464,0,0,82,82,1546,
09/30/2000,,0,0,0,0,0,0,351.0,1199,1241,-42,12,1562,1562,,0.0,0,0.0,0,978,477,1455,1455,0,0,107,107,1562,
12/30/2000,,0,0,0,0,0,0,352.0,1238,1281,-43,29,1619,1619,,0.0,0,0.0,0,640,834,1474,1474,0,0,145,145,1619,
03/31/2001,,0,0,0,0,0,0,352.0,1249,1294,-45,27,1628,1628,,0.0,0,0.0,0,621,849,1470,1470,0,0,158,158,1628,
06/30/2001,,0,0,0,0,0,0,353.0,1251,1296,-45,28,1632,1632,,0.0,0,0.0,0,606,840,1446,1446,0,0,186,186,1632,
09/30/2001,,0,0,0,0,40,40,,1220,1266,-46,1,1221,1261,,0.0,0,57.0,57,614,244,858,915,0,0,346,346,1261,
