Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
01/31/1990,844.599976,-604.0,240.599976,-244.300003,-3.7,-29.4,65.699997,32.599997,-11.4,21.200001,0.0,0,21.200001,0,21.200001,21.199998,,0.17,0.17,121.599998,,,,,
04/30/1990,811.5,-563.200012,248.299988,-237.899994,10.4,-30.0,52.299999,32.699999,-11.5,21.200001,0.0,0,21.200001,0,21.200001,21.199999,,0.18,0.18,120.900002,,,,,
07/31/1990,1035.300049,-613.200012,422.100037,-268.299988,153.800003,-30.4,39.900002,163.300005,-57.099998,106.199997,0.0,0,106.199997,0,106.199997,106.200006,,0.88,0.88,120.699997,,,,,
10/31/1990,1177.599976,-762.200012,415.399964,-271.700012,143.699997,-34.099998,42.799999,152.399998,-41.900002,110.5,0.0,0,110.5,0,110.5,110.499996,0.93,0.93,0.93,120.099998,0.93,0.93,0.93,120.099998,
01/31/1991,897.099976,-658.299988,238.799988,-265.799988,-27.0,-28.299999,44.5,-10.799999,3.5,-7.3,0.0,0,-7.3,0,-7.3,-7.299999,,-0.06,-0.06,118.400002,,,,,
04/30/1991,868.099976,-646.900024,221.199951,-307.5,-86.300003,-28.0,33.5,-80.800003,25.799999,-55.0,0.0,0,-55.0,0,-55.0,-55.000004,,-0.47,-0.47,118.599998,,,,,
07/31/1991,963.900024,-553.900024,410.0,-260.5,149.5,-27.700001,27.0,148.799999,-47.599998,101.199997,0.0,0,101.199997,0,101.199997,101.200001,,0.86,0.86,118.599998,,,,,
10/31/1991,1166.300049,-779.599976,386.700073,-265.100006,121.599998,-28.0,28.9,122.499998,-39.200001,83.300003,0.0,0,83.300003,0,83.300003,83.299997,0.7,0.7,0.7,118.599998,0.7,0.7,0.7,118.599998,
01/31/1992,1070.599976,-761.400024,309.199951,-281.600006,27.6,-31.200001,30.700001,27.1,-8.7,18.4,0.0,0,18.4,0,18.4,18.400001,,0.16,0.16,118.599998,,,,,
04/30/1992,927.900024,-621.700012,306.200012,-256.0,50.200001,-28.6,20.0,41.6,-13.3,28.299999,0.0,0,28.299999,0,28.299999,28.3,,0.23,0.23,119.0,,,,,
07/31/1992,1063.900024,-629.200012,434.700012,-277.799988,156.899994,-25.0,34.700001,166.599995,-53.299999,113.300003,0.0,0,113.300003,0,113.300003,113.299995,,0.95,0.95,119.199997,,,,,
10/31/1992,1202.5,-727.5,475.0,-313.600006,161.399994,-29.0,29.6,161.999994,-51.799999,110.199997,-8.8,0,101.400002,0,101.400002,110.199995,0.92,0.92,0.85,117.928001,0.92,0.92,0.85,117.928001,
01/31/1993,1063.900024,-629.200012,434.700012,-277.799988,156.899994,-25.0,34.700001,166.599995,-52.299999,114.300003,0.0,0,114.300003,0,114.300003,114.299996,,0.96,0.96,119.599998,,,,,
04/30/1993,954.400024,-638.0,316.400024,-328.299988,-11.9,-23.700001,20.0,-15.600001,5.5,-10.1,0.0,0,-10.1,0,-10.1,-10.100001,,-0.08,-0.08,118.800003,,,,,
07/31/1993,943.700012,-648.799988,294.900024,-293.100006,1.8,-24.200001,21.200001,-1.2,1.3,0.1,-66.900002,0,-66.800003,0,-66.800003,0.1,,0.0,-0.56,119.800003,,,,,
10/31/1993,954.399964,-638.0,316.399964,-328.29994,-11.899976,-23.700001,19.999979,-15.599998,6.399996,-9.200002,-3e-06,0,-9.200005,0,-9.200005,-9.200002,-0.08,-0.08,-0.08,117.000001,-0.08,-0.08,-0.08,117.000001,
