Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2009,,,,,,,,,,,-542,,,,,,,,,,,,,,,-614,,,-614,-614.0,,,,,,,,,,
06/30/2009,,,,,,,,,,,-268,,,,,,,,,,,,,,,-271,,,-271,-271.0,,,,,,,,,,
10/03/2009,,,,,,,,,,,-205,,,,,,,,,,,,,,,-253,,,-253,-253.0,,,,,,,,,,
12/31/2009,2823.0,2823.0,-2117.0,2117.0,706.0,0.0,-902.0,410.0,393.0,99.0,-196,-19.0,7.0,13.0,-6.0,5.0,7.0,-215.0,12.0,-203.0,0.0,0.0,0.0,-203.0,-1.0,-204,0.0,0.0,-204,-128.6,75.4,294.3,-0.69,-0.69,-0.436969,294.3,-0.69,-0.69,-0.436969,
04/03/2010,2480.0,2480.0,-1885.0,1885.0,595.0,0.0,-767.0,371.0,367.0,29.0,-172,-27.0,11.0,16.0,-5.0,9.0,7.0,-199.0,-12.0,-211.0,0.0,0.0,0.0,-211.0,-1.0,-212,0.0,0.0,-212,-194.45,17.55,294.3,-0.72,-0.72,-0.66072,294.3,-0.72,-0.72,-0.66072,
07/03/2010,2609.0,2609.0,-1945.0,1945.0,664.0,0.0,-548.0,385.0,372.0,-209.0,116,-24.0,18.0,25.0,-7.0,10.0,-4.0,92.0,-15.0,77.0,0.0,0.0,0.0,77.0,3.0,80,0.0,0.0,80,-140.35,-220.35,294.3,0.27,0.27,-0.476894,294.3,0.27,0.27,-0.478726,
10/02/2010,2946.0,2946.0,-2155.0,2155.0,791.0,0.0,-785.0,385.0,373.0,27.0,6,-13.0,11.0,23.0,-12.0,6.0,-4.0,-7.0,-28.0,-35.0,0.0,0.0,0.0,-35.0,1.0,-34,0.0,0.0,-34,-18.0,16.0,294.3,-0.12,-0.12,-0.061162,294.3,-0.12,-0.12,-0.065634,
12/31/2010,3425.0,3425.0,-2510.0,2510.0,915.0,0.0,-789.0,451.0,367.0,-29.0,126,-16.0,12.0,20.0,-8.0,4.0,0.0,110.0,-20.0,90.0,0.0,0.0,0.0,90.0,-10.0,80,0.0,0.0,80,42.95,-37.05,294.3,0.27,0.27,0.14594,294.3,0.27,0.27,0.144108,
04/02/2011,3032.0,3032.0,-2277.0,2277.0,755.0,0.0,-791.0,417.0,357.0,17.0,-36,-15.0,-2.0,2.0,-4.0,12.0,5.0,-51.0,-30.0,-81.0,0.0,0.0,0.0,-81.0,0.0,-81,0.0,0.0,-81,-82.3,-1.3,294.7,-0.27,-0.27,-0.279267,294.7,-0.27,-0.27,-0.279267,
07/02/2011,3337.0,3337.0,-2473.0,2473.0,864.0,0.0,-887.0,456.0,395.0,36.0,-23,6.0,-1.0,5.0,-6.0,10.0,-15.0,-17.0,-39.0,-56.0,0.0,0.0,0.0,-56.0,0.0,-56,0.0,0.0,-56,-42.5,13.5,295.8,-0.19,-0.19,-0.143678,295.8,-0.19,-0.19,-0.144361,
10/01/2011,3259.0,3259.0,-2415.0,2415.0,844.0,0.0,-849.0,426.0,390.0,33.0,-5,3.0,-7.0,1.0,-8.0,8.0,-4.0,-2.0,-30.0,-32.0,0.0,0.0,0.0,-32.0,0.0,-32,0.0,0.0,-32,-15.3,16.7,297.7,-0.11,-0.11,-0.051394,297.7,-0.11,-0.11,-0.053903,
12/31/2011,3436.0,3436.0,-2582.0,2582.0,854.0,0.0,-932.0,446.0,384.0,102.0,-78,0.0,0.0,4.0,-4.0,3.0,-3.0,-78.0,-2.0,-80.0,0.0,0.0,0.0,-80.0,0.0,-80,0.0,0.0,-80,11.7,91.7,300.2,-0.27,-0.27,0.038974,300.2,-0.27,-0.27,0.035463,
03/31/2012,3078.0,3078.0,-2324.0,2324.0,754.0,0.0,-824.0,430.0,366.0,28.0,-70,1.0,-3.0,2.0,-5.0,1.0,1.0,-69.0,-17.0,-86.0,0.0,0.0,0.0,-86.0,0.0,-86,0.0,0.0,-86,-67.05,18.95,302.4,-0.28,-0.28,-0.221726,302.4,-0.28,-0.28,-0.221726,
