Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/2013,445.0,458.0,451.0,,3.583149,2.317073,1.239468,0.76,0.76,0.595455,0.74,0.74,0.583996,0.15,1.172949,1.172949,10.541573,10.298876,9.301124,
06/30/2013,436.0,448.0,440.0,,4.152273,2.895455,1.831818,1.22,1.14,0.890114,1.2,1.12,0.878147,0.15,0.965909,0.965909,9.78211,11.155963,10.146789,
09/30/2013,436.0,445.0,436.0,,3.231651,1.990826,0.899083,0.58,0.56,0.56422,0.57,0.55,0.547753,0.15,3.284404,3.284404,12.213303,11.610092,10.610092,
12/31/2013,429.0,443.0,443.0,,3.180587,1.950339,0.774266,0.61,0.47,0.451806,0.6,0.47,0.451806,0.15,1.282167,1.282167,12.097902,11.822844,10.834499,
03/31/2014,422.0,435.0,427.0,,3.433255,2.192037,0.840749,0.5,0.5,0.318501,0.49,0.49,0.31069,0.15,1.306792,1.306792,8.867299,11.914692,10.917062,
06/30/2014,419.0,430.0,422.0,,3.436019,2.220379,1.184834,0.72,0.72,0.566351,0.71,0.71,0.556512,0.15,1.315166,1.315166,3.904535,9.596659,8.706444,
09/30/2014,410.0,423.0,415.0,,3.421687,2.19759,1.356627,0.87,0.87,0.53012,0.85,0.85,0.516667,0.15,1.209639,1.209639,4.736585,10.136585,9.231707,
12/31/2014,402.0,413.0,413.0,,3.145278,1.903148,1.024213,0.65,0.65,0.513196,0.64,0.64,0.513196,0.15,0.118644,0.118644,3.589552,10.442786,9.524876,
03/31/2015,389.021445,405.0,398.0,,3.38191,2.090452,1.190955,0.73,0.73,0.487437,0.72,0.72,0.478025,0.16,1.253769,1.253769,5.272203,10.505848,9.094614,
06/30/2015,374.0,387.0,381.0,,3.32021,1.968504,0.782152,0.48,0.48,0.404199,0.47,0.47,0.397649,0.16,1.459318,1.459318,4.315508,10.505348,9.045455,
