Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,EV/Sales,Price/Earnings per Share,EV/Market Cap,Total Debt/EV,EV/Cash Flow,EV/Net Income,EV/Book Value,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
12/31/2000,,,,,,,,,,,,,,,,,,
03/31/2001,,,,,,,,,,,,,,,,,,
06/30/2001,,,,,,,,,,,,,,,,,,
09/30/2001,,,,,,,,,,,,,,,,,,
12/31/2001,,-237.0,0.0,900.0,2077.0,,,,,,,,,,,,,
03/31/2002,20.0,-195.0,0.0,900.0,2897.0,3622.0,0.291963,18.691589,181.1,0.799834,3.014063,5.256131,0.376038,15894.000244,19496.000244,3.622,,
06/30/2002,17700.0,-228.0,0.0,900.0,2747.0,21119.0,1.657367,17.352941,1.193164,0.130072,10.16852,31.190371,2.05758,17700.0,21119.0,21.119,,
09/30/2002,13413.357397,-232.800003,0.0,900.0,2794.099976,16874.65737,1.269306,8.571428,1.258049,0.16558,6.000518,15.779556,1.512025,13226.4,16687.699973,16.819154,,
12/31/2002,14707.134911,-92.199997,0.0,900.0,2543.699951,18058.634865,1.265541,69.761902,1.227883,0.140858,6.172626,,1.781405,14727.644821,18079.144775,17.988479,,
03/31/2003,14187.358172,-150.100006,0.0,900.0,3150.499908,18087.758074,1.235519,100.642846,1.274921,0.174179,5.075698,85.764634,1.712742,14197.083656,18097.483558,17.976305,,
06/30/2003,15943.119806,-209.100006,0.0,0.0,3126.500092,18860.519891,1.251636,75.714283,1.182988,0.16577,5.169957,58.920716,1.666742,16022.430194,18939.83028,18.733135,,
09/30/2003,16022.92,-209.0,0.0,0.0,2673.699951,18487.619951,1.212279,54.758622,1.153823,0.144621,5.106936,44.666877,1.611501,16000.687612,18465.387563,18.322716,,
12/31/2003,16967.251998,-352.100006,0.0,0.0,2674.5,19289.651992,1.274153,10.047904,1.136875,0.138649,5.031996,11.373615,1.609255,16889.07,19211.469994,19.184139,,
