Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2012,346,0,0,0,0,0,0,0,0,0,0,0,17,,,,17,17,0,,,262.0,262.0,67,,,,,,67,329,,24,,,,24,0,0,,,,0,,,0,24,1982,1982,,,-1318,,,,,-1318,664,688,0,,,,,-342,-342,0,-342,346,
06/30/2012,393,0,0,0,0,0,0,0,0,0,0,0,17,,,,17,17,0,,,313.0,313.0,63,,,,,,63,376,,8,,,,8,0,0,,,,0,,,0,8,1982,1982,,,-1300,,,,,-1300,682,690,0,,,,,-297,-297,0,-297,393,
09/30/2012,323,0,0,0,0,0,0,0,0,0,0,0,20,,,,20,20,0,,,243.0,243.0,60,,,,,,60,303,,23,,,,23,0,0,,,,0,,,0,23,1982,1982,,,-1462,,,,,-1462,520,543,0,,,,,-220,-220,0,-220,323,
12/31/2012,1735,0,0,0,0,0,0,0,0,0,0,0,17,,0.0,,17,17,0,,,1663.0,1663.0,55,0.0,0.0,0.0,,,55,1718,,10,0.0,0.0,0.0,10,31,31,0.0,0.0,,0,0.0,0.0,0,41,2308,2308,0.0,0.0,-537,0.0,0.0,0.0,0.0,-537,1771,1812,0,,,,0.0,-77,-77,0,-77,1735,
03/31/2013,1712,0,0,0,0,0,0,0,0,0,0,0,10,,,,10,10,0,,,1652.0,1652.0,50,,,,,,50,1702,,30,,,,30,14,14,,,,0,,,0,44,2361,2361,,,-696,,,,,-696,1665,1709,0,,,,,3,3,0,3,1712,
06/30/2013,1619,0,0,0,0,0,0,0,0,0,0,0,10,,,,10,10,0,,,1561.0,1561.0,48,,,,,,48,1609,,25,,,,25,18,18,,,,0,,,0,43,2354,2354,,,-787,,,,,-787,1567,1610,0,,,,,9,9,0,9,1619,
09/30/2013,1698,0,0,0,0,0,0,0,0,0,0,0,10,,,,10,10,0,,,1642.0,1642.0,46,,,,,,46,1688,,28,,,,28,22,22,,,,0,,,0,50,2346,2346,,,-663,,,,,-663,1683,1733,0,,,,,-35,-35,0,-35,1698,
12/31/2013,1183,0,0,0,0,0,0,0,0,0,0,0,10,,0.0,,10,10,0,,,1130.0,1130.0,43,0.0,0.0,0.0,,,43,1173,,23,0.0,0.0,0.0,23,25,25,0.0,0.0,,0,0.0,0.0,0,48,2339,2339,0.0,0.0,-1236,0.0,0.0,0.0,0.0,-1236,1103,1151,0,,,,0.0,32,32,0,32,1183,
03/31/2014,3255,0,0,0,0,0,0,0,0,0,0,0,1283,,,,1283,1283,0,,,1030.0,1030.0,942,,,,,,942,1972,,19,,,,19,0,0,,,,204,,,204,223,2398,2398,,,586,,,,,586,2984,3207,0,,,,,48,48,0,48,3255,
06/30/2014,3395,0,0,0,0,0,0,0,0,0,0,0,1489,,,,1489,1489,0,,,952.0,952.0,954,,,,,,954,1906,,30,,,,30,0,0,,,,45,,,45,75,2398,2398,,,805,,,,,805,3203,3278,0,,,,,117,117,0,117,3395,
06/30/2018,3670,370,370,0,973,973,0,519,270,18,231,0,129,,,,129,1991,1282,,,0.0,,397,77.0,,,165.0,42.0,113,1679,,1223,814.0,,,409,28,28,,,,0,,,0,1251,1498,1498,,,601,,502.0,,,99,2099,3350,0,401.0,1.0,400.0,161.0,-405,157,163,320,3670,
12/31/2018,3893,359,359,0,893,878,15,521,250,36,235,0,158,14.0,,114.0,25,1931,1445,2630.0,-1185.0,,,517,76.0,7.0,69.0,280.0,44.0,117,1962,,1329,906.0,63.0,12.0,348,43,0,,,43.0,5,,3.0,0,1377,1488,1488,,,590,,467.0,,,120,2078,3455,0,408.0,1.0,407.0,296.0,-412,292,146,438,3893,
