Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
06/30/2017,519,159,363,-3,40,-43,,,,,,,874,-107,9,9,0,-116,-69,-47,0,0,0,974,0,974,0,7,-168,-20,-93,11,25,-14,-66,29,1254,
09/30/2017,1510,415,904,191,58,133,,,,,,,496,-189,20,20,0,-209,-123,-86,0,0,0,822,0,822,0,-137,-621,-72,-1157,26,92,-66,582,49,1434,
12/31/2017,482,776,483,-777,18,-795,,,,,,0.0,318,-114,9,9,0,-123,-52,-71,0,0,0,-41,0,-41,0,473,-515,-51,-464,15,15,0,-15,-5,280,
03/31/2018,557,560,627,-269,17,-286,-361.0,-300.0,0.0,0.0,-60.0,,-51,-74,29,29,0,-103,-49,-54,0,0,0,-46,0,-46,0,69,-754,-51,3,-35,31,-66,-671,21,-227,
06/30/2018,369,259,509,-399,22,-421,,,,,,,-180,-109,19,19,0,-128,-79,-49,0,0,0,-108,-65,-43,0,37,-300,-51,60,-305,9,-314,-4,-39,-150,
09/30/2018,480,262,493,-275,19,-294,,,,,,0.0,132,-92,38,38,0,-130,-54,-76,0,0,0,0,0,0,0,224,-386,-54,-974,-106,27,-133,748,-25,201,
12/31/2018,150,462,512,-824,16,-840,,,,,,0.0,44,82,226,226,0,-144,-86,-58,0,0,0,-289,0,-289,0,251,-497,-54,345,-802,4,-806,14,-2,-305,
03/31/2019,748,274,509,1628,17,1611,-1663.0,,0.0,,-1663.0,0.0,109,-82,74,74,0,-156,-78,-78,0,0,0,-33,0,-33,0,224,-480,-51,420,-84,7,-91,-765,47,424,
06/30/2019,-66,163,474,-703,18,-721,,,,,,0.0,-1822,-147,21,21,0,-168,-105,-63,0,0,0,-1911,0,-1911,0,236,887,-51,1479,-493,7,-500,-48,-30,-1031,
09/30/2019,1651,-2119,472,3298,30,3268,,,,,,0.0,-225,-131,19,19,0,-150,-87,-63,0,0,0,-10,0,-10,0,-84,-407,-56,-208,-147,3,-150,4,-7,1012,
12/31/2019,477,82,483,-88,9,-97,,,,,,0.0,-75,-85,15,15,0,-100,-48,-52,0,0,0,-76,0,-76,0,86,-785,-54,-631,-85,1,-86,-15,63,-320,
03/31/2020,288,-3495,531,4108,11,4097,-856.0,,,,-856.0,0.0,-15,-149,18,18,0,-167,-110,-57,0,0,0,0,0,0,0,134,962,-53,1017,0,0,0,-2,-116,1119,
06/30/2020,119,-205,496,-172,16,-188,,,,,,0.0,-61,-137,6,6,0,-143,-95,-48,0,0,0,-10,0,-10,0,86,1786,-53,1845,0,0,0,-6,-14,1830,
