Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Net Income to Common - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/2000,2144.295898,,2144.295898,,9.713678,1.941896,1.475076,0.95,0.95,,,1.094065,0.776479,1.536169,16.972937,,
09/30/2000,2144.295898,,2144.295898,,11.957305,2.273007,1.50399,0.94,0.94,,,1.266616,0.781609,2.577536,19.062201,,
12/31/2000,2144.295898,,2144.295898,,12.985148,2.147315,1.645295,1.01,1.01,,,1.993892,1.269397,3.405697,17.001977,,
03/31/2001,2144.295898,,2140.0,,11.241121,2.298131,1.869626,1.18,1.18,,,1.424299,0.742056,3.709842,18.633156,,
06/30/2001,2117.0,,2126.399902,,11.565557,2.112491,1.63845,1.17,1.17,,,1.465858,0.901524,3.164384,19.54889,,
09/30/2001,2101.399902,,2112.199951,,10.435565,1.72853,1.227157,0.78,0.78,,,1.129154,0.495218,2.190445,19.320454,,
12/31/2001,2126.647949,,2101.399902,,9.464928,1.133064,0.601545,0.29,0.29,,,1.267916,0.105333,2.113708,17.79698,,
03/31/2002,2099.899902,,2100.599609,,12.235115,1.683122,1.11329,0.74,0.74,,,1.045561,-0.283289,1.384692,19.139374,,
06/30/2002,2094.0,,2098.5,,13.812083,1.686761,1.053253,0.688,0.688,,,0.980754,-1.451839,1.199413,17.738113,,
09/30/2002,2083.699951,,2088.398438,,14.27542,1.97151,1.320862,0.77,0.77,,,1.63655,0.604508,1.260052,18.437909,,
12/31/2002,2083.5,,2083.698975,,13.979663,1.816265,1.11416,0.67,0.67,,,1.265515,-0.367742,0.427963,16.467108,,
03/31/2003,2039.599976,2043.900024,2043.699951,,14.711257,2.49691,1.804448,1.51,1.44,1.51,,1.829062,1.234781,1.076916,17.969195,,
06/30/2003,2034.400024,2037.400024,2036.699951,,12.455009,1.669549,1.039516,0.68,0.68,0.68,,1.405977,0.607486,0.497496,17.913434,,
09/30/2003,2033.0,2034.400024,2033.5,,12.950223,1.914235,1.122508,0.64,0.64,0.64,,1.355862,0.537683,0.624057,18.402705,,
12/31/2003,2033.219971,2034.0,2033.099976,,12.486775,1.699782,0.849024,0.48,0.48,0.48,1.76,1.096626,0.137419,0.45735,17.068149,,
03/31/2004,2033.199951,,2033.199951,,13.707826,2.232791,1.615115,1.099638,1.1,,,1.840282,1.267451,1.375891,,,
06/30/2004,2025.400024,2031.099976,2029.099976,,15.343943,2.270106,1.502283,0.98,0.98,0.98,,1.180681,0.47394,0.595932,18.521862,,
09/30/2004,2012.199951,2020.699951,2018.199951,,17.261421,2.698678,2.065282,1.31,1.31,1.31,,1.517474,0.779769,0.628179,19.60888,,
12/31/2004,2019.80603,2016.099976,2012.300049,,17.563634,2.143056,1.32835,1.03,1.03,1.03,,1.548056,0.538694,1.853792,18.534853,,
03/31/2005,2008.699951,2017.5,2011.5,,16.417271,2.946672,2.228832,1.52,1.52,1.51,,1.826796,1.159238,2.047233,19.27043,18.250499,
