Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,EBITDA Surprise %,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
03/31/2002,,,23.299999,,23.299999,23.299999,,,,,,,,
06/30/2002,,,47.259998,,45.700001,45.700001,,,,,,,,
09/30/2002,,,115.199997,,115.2,115.2,,,,,,,,
12/31/2002,,,39.588001,,18.9,18.9,,,,,,,,
03/31/2003,,,34.599998,,-24.9,-24.9,,,,,,,,
06/30/2003,,,52.443001,,43.0,43.0,,,,,,,,
09/30/2003,,,121.300003,,157.3,157.3,,,,,,,,
12/31/2003,,,4.948,,-61.9,-61.9,,,,,,,,
03/31/2004,,,41.299999,,51.2,51.2,,,,,,,,
06/30/2004,,,81.739998,,90.4,90.4,,,,,,,,
09/30/2004,,,118.699997,,111.0,111.0,,,,,,,,
12/31/2004,,,32.400002,,8.0,8.0,,,,,,,,
03/31/2005,,,50.400002,,54.699999,54.699999,,,,,,,,
06/30/2005,,,64.0,,66.4,66.4,,,,,,,,
09/30/2005,,,137.699997,,168.0,168.0,,,,,,,,
12/31/2005,,,36.400002,,82.1,82.1,,,,,,,,
03/31/2006,,90.0,53.0,5.08210088829072,56.800001,56.800001,,,,,,,,
06/30/2006,,121.0,51.200001,5.91876076264161,51.2,51.2,,,,,,,,
09/30/2006,,217.0,111.900002,4.11657897487438,104.0,104.0,,,,,,,,
12/31/2006,,65.0,39.125,1.14179500796601,36.3,36.3,,,,,,,,
03/31/2007,,93.5,50.5,15.4331151788079,53.000001,53.000001,,,,,,,,
06/30/2007,,100.5,58.240002,12.6648675135135,57.2,57.2,,,,,,,,
09/30/2007,,228.0,148.076004,1.81183568540977,167.6,167.6,,,,,,,,
12/31/2007,,,57.799999,16.359102244389,56.4,56.4,,,,,,,,
03/31/2008,,,99.199997,,99.2,99.2,,,,,,,,
06/30/2008,,,107.900002,23.6836911100197,14.9,14.9,,,,,,,,
09/30/2008,,236.0,119.355003,14.5880149812734,118.8,118.8,,,,,,,,
12/31/2008,,,67.650002,4.37526293647455,67.0,67.0,,,,,,,,
03/31/2009,,,36.240002,2.4806832045547,45.0,38.0,,,,,,,,
06/30/2009,,,25.0,-17.6634768740032,25.0,37.7,,,,,,,,
09/30/2009,,,97.480003,-12.4784557049293,124.0,86.45,,,,,,,,
12/31/2009,,,36.53,-11.3740141137401,41.0,17.0,,,,,,,,
03/31/2010,,,36.0,-3.98860398860399,36.0,28.65,,,,,,,,
06/30/2010,,,76.0,,-54.0,76.0,,,,,,,,
09/30/2010,,154.0,117.849998,26.8876611418048,17.0,123.7,,,,,,,,
12/31/2010,,,56.0,,33.0,56.0,,,,,,,,
03/31/2011,,,62.0,,64.0,62.65,,,,,,,,
06/30/2011,,,56.0,-18.8364055299539,94.0,94.0,,,,,,,,
09/30/2011,,,80.0,-17.973040439341,80.0,84.95,,,,,,,,
12/31/2011,,,19.0,-29.6465222348917,19.0,13.2,,,,,,,,
03/31/2012,,,68.0,-30.9275594760759,68.0,51.3,,,,,,,,
06/30/2012,,,57.0,-36.3219011612206,62.0,39.0,,,,,,,,
09/30/2012,,,108.0,-14.0110690358287,112.0,83.0,,,,,,,,
12/31/2012,,,44.0,-18.2408074981975,43.0,43.99,,,,,,,,
03/31/2013,,,57.0,-41.2413793103448,-430.0,-45.0,,,,,,,,
06/30/2013,,,53.0,-19.6387483181756,42.0,53.0,,,,,,,,
09/30/2013,,,110.0,-18.9221960743623,118.0,110.0,,,,,,,,
12/31/2013,,,61.0,-14.832162373146,58.0,61.0,,,,,,,,
03/31/2014,,,75.0,-5.06780870806567,75.0,75.0,,,,,,,,
06/30/2014,,,71.0,-25.9774685222001,53.0,71.0,,,,,,,,
09/30/2014,,,116.0,-23.7071470075537,79.0,116.0,,,,,,,,
12/31/2014,,,59.0,-4.0343347639485,35.0,-20.0,,,,-6.64451827242525,,,,
03/31/2015,,,61.0,50.1642935377875,53.0,61.0,,,,,,,,
06/30/2015,,,57.0,-9.48789202064311,53.0,53.0,,,,,,,,
09/30/2015,,,83.0,-8.37537840565086,91.0,91.0,,,,-10.5224871794872,,,,
12/31/2015,,,124.0,,130.0,78.0,,,,,,,,
03/31/2016,,,,,-290.0,-290.0,,,,,,,,
06/30/2016,,,,,52.0,52.0,,,,,,,,
09/30/2016,,,,,166.0,166.0,,,,,,,,
12/31/2016,,,,,30.0,30.65,,,,,,,,
03/31/2017,,,,,140.0,140.0,,,,,,,,
06/30/2017,,,,,66.0,65.0,,,,,,,,
09/30/2017,,,,,153.0,153.0,,,,,,,,
12/31/2017,,,4.0,,-4.0,-4.65,,,,,,,,
03/31/2018,,,,,65.0,65.0,,,,,,,,
06/30/2018,,,,,84.0,84.0,,,,,,,,
09/30/2018,,,,,187.0,187.0,,,,,,,,
12/31/2018,,,,,57.0,55.21,,,,,,,,
03/31/2019,,,,,117.0,117.0,,,,,,,,
06/30/2019,,,,,106.0,106.0,,,,,,,,
09/30/2019,,,,,189.0,189.0,,,,,,,,
12/31/2019,,,,,65.0,64.0,,,,,,,,
