Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/03/2015,1513.5,1513.5,-782.8,782.8,730.7,0.0,-436.6,341.5,95.1,0.0,294.1,0.0,0.0,0.0,0.0,0.0,294.1,-90.4,203.7,0.0,0.0,0.0,203.7,203.7,0.0,0.0,203.7,203.7,0.0,,,,,,,,,
07/03/2015,1564.9,1564.9,-800.1,800.1,764.8,0.0,-429.1,333.2,95.9,0.0,335.7,0.0,0.0,0.0,0.0,0.0,335.7,-108.3,227.4,0.0,0.0,0.0,227.4,227.4,0.0,0.0,227.4,226.6,-0.8,345.2,0.66,0.66,0.656431,345.2,0.66,0.66,0.656431,
10/02/2015,1524.6,1524.6,-777.4,777.4,747.2,0.0,-445.4,349.7,95.7,0.0,301.8,0.0,,0.0,,0.0,301.8,-105.2,196.6,0.0,0.0,0.0,196.6,196.6,0.0,0.0,196.6,204.4,7.8,345.2,0.57,0.57,0.592121,345.2,0.57,0.57,0.592121,
12/31/2015,1575.8,1575.8,-818.5,818.5,757.3,0.0,-419.2,328.2,91.0,0.0,338.1,0.0,,0.0,,0.0,338.1,-102.0,236.1,0.0,0.0,0.0,236.1,236.1,0.0,0.0,236.1,251.895,15.795,345.2,0.683951,0.683951,0.729707,345.2,0.683951,0.683951,0.729707,
04/01/2016,1474.7,1474.7,-779.5,779.5,695.2,0.0,-432.2,338.5,93.7,0.0,263.0,0.0,0.0,0.0,0.0,0.0,263.0,-81.0,182.0,0.0,0.0,0.0,182.0,182.0,0.0,0.0,182.0,182.0,0.0,345.2,0.53,0.53,0.53,345.2,0.53,0.53,0.53,
07/01/2016,1555.1,1555.1,-787.0,787.0,768.1,0.0,-446.0,349.3,96.7,0.0,322.1,-2.7,,2.7,,0.0,319.4,-80.5,238.9,0.0,0.0,0.0,238.9,238.9,0.0,0.0,238.9,219.1,-19.8,345.2,0.69,0.69,0.634705,345.2,0.69,0.69,0.632642,
09/30/2016,1567.4,1567.4,-794.5,794.5,772.9,0.0,-449.7,354.5,95.2,0.0,323.2,-23.4,,23.4,,0.0,299.8,-72.9,226.9,0.0,0.0,0.0,226.9,226.9,0.0,0.0,226.9,216.9,-10.0,346.0,0.66,0.66,0.626879,349.2,0.65,0.65,0.621363,
12/31/2016,781.0,781.0,-331.7,331.7,449.3,0.0,-295.9,230.5,65.4,0.0,153.4,-25.1,20.3,20.3,0.0,4.8,128.3,-35.9,92.4,-132.1,-132.1,0.0,224.5,224.5,0.0,0.0,224.5,125.32,32.92,346.4,0.648095,0.266744,0.361778,349.6,0.642162,0.264302,0.358467,
03/31/2017,1535.2,1535.2,-791.2,791.2,744.0,0.0,-448.4,352.2,96.2,0.0,295.6,-23.3,22.6,22.6,0.0,0.7,272.3,-72.6,199.7,0.0,0.0,0.0,199.7,199.7,0.0,0.0,199.7,199.7,0.0,347.0,0.58,0.58,0.58,351.5,0.57,0.57,0.57,
06/30/2017,1628.8,1628.8,-823.7,823.7,805.1,0.0,-456.0,356.9,99.1,0.0,349.1,-23.5,22.7,22.7,0.0,0.8,325.6,-85.5,240.1,0.0,0.0,0.0,240.1,240.1,0.0,0.0,240.1,240.1,0.0,347.2,0.69,0.69,0.69,352.2,0.68,0.68,0.68,
09/29/2017,1685.3,1685.3,-845.9,845.9,839.4,0.0,-482.7,380.7,102.0,0.0,356.7,-8.4,22.9,22.9,0.0,-14.5,348.3,-80.5,267.8,0.0,0.0,0.0,267.8,267.8,0.0,0.0,267.8,260.8,-7.0,347.7,0.77,0.77,0.750072,352.9,0.76,0.76,0.740164,
12/31/2017,1577.9,1577.9,-764.3,764.3,813.6,0.0,-508.6,409.0,99.6,0.0,305.0,-18.4,24.7,24.7,0.0,-6.3,286.6,11.1,297.7,-39.2,-39.2,0.0,336.9,336.9,0.0,0.0,336.9,231.895,-65.805,348.1,0.97,0.86,0.666174,353.9,0.95,0.84,0.654058,
03/30/2018,1492.2,1492.2,-725.9,725.9,766.3,0.0,-488.4,388.5,99.9,0.0,277.9,-24.0,23.3,23.3,0.0,0.7,253.9,-39.9,214.0,-47.2,-47.2,0.0,261.2,261.2,0.0,0.0,261.2,209.8,-4.2,348.6,0.75,0.61,0.601836,354.4,0.74,0.61,0.598149,
06/29/2018,1601.8,1601.8,-771.0,771.0,830.8,0.0,-506.4,404.5,101.9,0.0,324.4,-25.0,23.9,23.9,0.0,1.1,299.4,-49.2,250.2,-44.8,-44.8,0.0,295.0,295.0,-0.2,0.0,294.8,251.1,1.1,349.2,0.84,0.72,0.719072,355.0,0.83,0.7,0.703099,
09/28/2018,1601.2,1601.2,-775.3,775.3,825.9,0.0,-544.3,440.6,103.7,0.0,281.6,-23.9,23.1,23.1,0.0,0.8,257.7,-43.7,214.0,-31.3,-31.3,0.0,245.3,245.3,-17.4,0.0,227.9,228.6,32.0,349.9,0.65,0.56,0.65333,355.3,0.64,0.55,0.640065,
12/31/2018,1757.5,1757.5,-859.2,859.2,898.3,0.0,-603.8,495.0,108.8,0.0,294.5,-27.1,26.7,26.7,0.0,0.4,267.4,-27.3,240.1,-1872.2,-1872.2,0.0,2112.3,2112.3,-17.3,0.0,2095.0,263.3,40.5,334.6,6.26,0.67,0.78691,339.3,6.17,0.66,0.779363,
03/29/2019,1592.9,1592.9,-780.2,780.2,812.7,0.0,-595.4,486.4,109.0,0.0,217.3,-24.9,25.3,25.3,0.0,-0.4,192.4,-28.4,164.0,-0.4,-0.4,0.0,164.4,164.4,-17.3,0.0,147.1,182.7,36.0,335.1,0.44,0.44,0.54521,339.5,0.43,0.43,0.536038,
06/28/2019,1864.7,1864.7,-960.7,960.7,904.0,0.0,-654.5,537.1,117.4,0.0,249.5,-45.2,44.4,44.4,0.0,0.8,204.3,-29.0,175.3,0.7,0.7,0.0,174.6,174.6,-17.2,0.0,157.4,240.1,82.0,335.6,0.47,0.47,0.715435,339.7,0.46,0.47,0.711389,
09/27/2019,1860.0,1860.0,-932.3,932.3,927.7,0.0,-685.6,566.5,119.1,0.0,242.1,-7.0,47.0,47.0,0.0,-40.0,235.1,-27.8,207.3,0.2,0.2,0.0,207.1,207.1,-17.3,0.0,189.8,223.5,33.5,336.1,0.56,0.57,0.664981,339.9,0.56,0.56,0.658558,
12/31/2019,2002.4,2002.4,-966.5,966.5,1035.9,0.0,-740.7,629.5,111.2,0.0,295.2,-52.5,47.5,47.5,0.0,5.0,242.7,-63.9,178.8,-14.0,-14.0,0.0,192.8,192.8,-17.2,0.0,175.6,282.0,120.4,336.4,0.52,0.48,0.838288,340.1,0.52,0.48,0.834014,
03/27/2020,1713.5,1713.5,-837.7,837.7,875.8,0.0,-756.2,557.2,113.7,85.3,119.6,-48.2,43.6,43.6,0.0,4.6,71.4,-29.1,42.3,0.4,0.4,0.0,41.9,41.9,-17.3,0.0,24.6,83.8,58.8,336.8,0.07,0.07,0.248812,340.0,0.07,0.07,0.242941,
06/26/2020,1571.2,1571.2,-756.9,756.9,814.3,0.0,-623.2,516.6,106.6,0.0,191.1,-37.9,43.2,43.2,0.0,-5.3,153.2,-22.9,130.3,0.3,0.3,0.0,130.0,130.0,-17.2,0.0,112.8,152.4,39.3,337.3,0.33,0.34,0.451823,339.7,0.33,0.33,0.44569,
09/30/2020,1762.2,,,,904.995432,,,,,,283.625,,,,,,260.818,,209.5,,,,,209.5,,,209.5,250.5,,,0.541,0.541,0.771,,0.541,0.541,0.771,
12/31/2020,1945.4,,,,1011.452368,,,,,,374.5,,,,,,346.273,,308.5,,,,,308.5,,,308.5,321.0,,,0.751,0.751,0.973,,0.751,0.751,0.973,
