Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1993,231.800003,-145.399994,86.400009,-78.699997,7.7,-0.7,0.0,3.4,10.4,-5.5,4.9,0.0,0.0,4.9,-0.3,4.6,,,4.6,,0.14,0.14,32.099998,0.14,0.14,0.14,32.099998,
03/31/1994,205.0,-131.399994,73.600006,-72.0,1.6,-0.8,,4.6,5.4,-2.3,3.1,0.0,0.0,3.1,-1.9,1.2,,,1.2,,0.04,0.04,33.200001,0.04,0.04,0.04,33.200001,
06/30/1994,207.600006,-131.0,76.600006,-74.300003,2.3,-2.0,-0.3,4.6,4.6,-2.0,2.6,0.0,0.0,2.6,-2.0,0.6,,,0.6,,0.02,0.02,33.200001,0.02,0.02,0.02,33.200001,
09/30/1994,192.399994,-126.199997,66.199997,-64.599998,1.6,-0.8,0.0,3.9,4.7,-2.7,2.0,0.0,0.0,2.0,-2.0,0.0,,,0.0,0.0,0.0,0.0,32.799999,0.0,0.0,0.0,32.799999,
12/31/1994,216.5,-146.600006,69.899994,-63.0,6.9,-0.8,0.0,2.7,8.8,-4.5,4.3,0.0,0.0,4.3,-2.1,2.2,,,2.2,0.06,0.06,0.06,34.299999,0.06,0.06,0.06,34.299999,
03/31/1995,253.300003,-185.100006,68.199997,-82.199997,-14.0,-1.1,0.0,-61.799999,-76.899999,3.6,-73.300003,0.0,0.0,-73.300003,-2.1,-75.400003,,,-75.399999,,-2.17,-2.17,34.700001,-2.17,-2.17,-2.17,34.700001,
06/30/1995,285.0,-198.300003,86.699997,-51.700001,35.0,-1.0,0.0,-28.299999,5.700001,0.0,5.7,0.0,0.0,5.7,-2.5,3.2,,,3.200001,0.09,0.09,0.09,32.722,0.09,0.09,0.09,32.722,
09/30/1995,246.199997,-169.600006,76.599991,-47.700001,28.9,,0.0,-6.2,22.7,-11.9,10.8,-32.0,0.0,-21.200001,-3.4,-24.600001,8.2,,15.6,0.56,0.22,-0.72,34.0,0.56,0.22,-0.72,34.0,
12/31/1995,271.299988,-183.199997,88.099991,-52.299999,35.799999,,0.0,-6.7,29.099999,-9.3,19.799999,-13.0,0.0,6.8,-3.4,3.4,8.8,,25.199999,0.76,0.44,0.09,37.599998,0.76,0.44,0.09,37.599998,
03/31/1996,248.300003,-169.699997,78.600006,-49.299999,29.299999,,0.0,-6.5,22.799999,-7.3,15.5,-12.3,0.0,3.2,-12.2,-9.0,8.4,,11.699999,0.66,0.09,-0.25,36.076,0.66,0.09,-0.25,36.076,
06/30/1996,248.100006,-174.699997,73.400009,-47.700001,25.700001,,0.0,-5.4,20.300001,-2.9,17.4,-11.7,0.0,5.7,-3.6,2.1,8.0,,21.800001,0.7,0.38,0.06,36.5,0.7,0.38,0.06,36.5,
09/30/1996,315.100006,-242.899994,72.200012,-112.5,-40.299999,,0.0,-2.7,-42.999999,21.1,-21.9,101.300003,0.0,79.400002,-3.6,75.800002,31.299999,,5.8,-0.52,-0.67,2.07,36.993,-0.52,-0.67,2.07,36.993,
