Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/2005,,,,,,,,,,,,,,0.0,,,,,,
06/30/2005,,,,,,,,,,,,,,0.0,,,,,,
09/30/2005,,,,,,,,,,,,,,0.0,,,,,,
12/31/2005,155.5,155.5,155.5,,1.780135,,0.098412,-0.13027,-0.13027,-0.13027,-0.13027,-0.13027,-0.13027,0.0,,,7.408174,5.139068,5.139068,
03/31/2006,155.502,127.194,125.958,,3.611807,0.349259,0.125669,0.24,0.24,0.34,0.24,0.24,0.34,0.0,-0.055693,-0.163507,5.575137,9.290781,2.122031,
06/30/2006,156.082,157.0,156.0,,4.230769,0.832288,0.602564,0.39,0.39,0.43,0.39,0.39,0.42,0.0,1.60266,1.439712,7.081861,9.773965,2.641362,
09/30/2006,156.142,157.0,156.0,,3.858974,0.826923,0.602564,0.43,0.43,0.43,0.43,0.43,0.43,0.0,-1.442308,-1.628205,5.394128,10.267334,3.092518,
12/31/2006,156.0,158.0,157.0,,4.140127,0.77707,0.541401,0.29,0.29,0.45,0.29,0.29,0.45,0.0,1.273885,1.082803,6.275641,10.698718,3.524673,
03/31/2007,156.761,158.0,157.0,,4.471338,0.955414,0.713376,0.43,0.43,0.47,0.43,0.43,0.47,0.0,0.535032,0.343949,6.525692,11.322797,4.029976,
06/30/2007,264.0,260.0,259.0,,4.158301,1.324324,1.046332,0.62,0.62,0.65,0.62,0.62,0.65,0.25,1.216216,1.003861,6.556818,32.69697,-12.162879,
