Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,41.526001,39.087002,,,,,,,,,,,,,,,,,,,,,
06/30/1990,3.319,38.056999,,,,,,,,,,,,,,,,,,,,,
09/30/1990,44.050999,38.372002,,,,,,,,,,,,,,,,,,,,,
12/31/1990,20.778999,42.120998,,,,,,,,,,,,,,,,,,,,,
03/31/1991,33.851002,41.533001,,,,,,,,,,,,,,,,,,,,,
06/30/1991,28.302,43.673,,,,,,,,,,,,,,,,,,,,,
09/30/1991,45.893002,42.398998,,,,,,,,,,,,,,,,,,,,,
12/31/1991,68.639,48.082001,,,,,,,,,,,,,,,,,,,,,
03/31/1992,34.630001,49.258999,,,,,,,,,,,,,,,,,,,,,
06/30/1992,4.714,48.259998,,,,,,,,,,,,,,,,,,,,,
09/30/1992,42.508999,49.060001,,,,,,,,,,,,,,,,,,,,,
12/31/1992,74.043999,56.659,,,,,,,,,,,,,,,,,,,74.043999,,
03/31/1993,52.441002,25.826,,,,,,,,,,,,,,,,,,,,,
06/30/1993,-5.146,52.241001,,,,,,,,,,,,,,,,,,,,,
09/30/1993,42.259998,52.473999,,,,,,,,,,,,,,,,,,,,,
12/31/1993,70.611,64.630997,16.929001,-10.949,0.0,,,,,,,,,,,,,,,,70.611,,
03/31/1994,72.345001,54.264,,,,,,,,,,,,,,,,,,,,,
07/01/1994,11.564,58.369999,,,,,,,,,,,,,,,,,,,,,
09/30/1994,43.515999,58.799,,,,,,,,,,,,,,,,,,,,,
12/31/1994,-10.331,67.800994,,,,,,,,,,,,,,,,,,,-10.331,,
03/31/1995,40.403,57.005001,,16.284,-32.886002,,,,,,,,,,,,,,,,,,
06/30/1995,-13.517,64.528999,,-58.763,-19.283001,,,,,,,,,,,,,,,,,,
09/30/1995,114.049004,65.431999,,45.814999,2.802,,,,,,,,,,,,,,,,,,
12/31/1995,179.828003,86.888,,16.033001,76.906998,,,,,,,,,,,,,,,,179.828003,,
03/31/1996,153.557007,70.963997,,82.593002,,,,,,,,,,,,,,,,,,,
06/30/1996,153.177994,73.212997,,79.964996,,,,,,,,,,,,,,,,,,,
09/30/1996,517.814026,74.926003,,442.888,,,,,,,,,,,,,,,,,,,
12/31/1996,252.451004,74.897003,,177.554001,,,,,,,,,,,,,,,,,,,
03/31/1997,78.0,113.0,,-35.0,,,,,,,,,,,,,,,,,,,
06/30/1997,211.0,109.0,,102.0,,,,,,,,,,,,,,,,,,,
09/30/1997,84.0,86.0,,-2.0,,,,,,,,,,,,,,,,,,,
12/31/1997,275.0,88.0,,187.0,,,,,,,,,,,,,,,,,,,
03/31/1998,154.0,119.0,,35.0,,,,,,,,,,,,,,,,,,,
06/30/1998,25.0,108.0,,-83.0,,,,,,,,,,,,,,,,,,,
09/30/1998,140.0,115.0,,25.0,,,,,,,,,,,,,,,,,,,
12/31/1998,118.0,102.0,,16.0,,,,,,,,,,,,,,,,,,,
03/31/1999,215.0,133.0,,82.0,,,,,,,,,,,,,,,,,,,
06/30/1999,70.0,124.0,,-54.0,,,,,,,,,,,,,,,,,,,
09/30/1999,92.0,122.0,,-30.0,,,,,,,,,,,,,,,,,,,
12/31/1999,104.0,116.0,,-12.0,,,,,,,,,,,,,,,,,,,
03/31/2000,181.0,145.0,,36.0,,,,,,,,,,,,,,,,,,,
06/30/2000,18.0,136.0,,-118.0,,,,,,,,,,,,,,,,,,,
09/30/2000,103.0,135.0,,-32.0,,,,,,,,,,,,,,,,,,,
12/31/2000,199.0,121.0,,78.0,,,,,,,,,,,,,,,,,199.0,,
03/31/2001,177.0,154.0,,23.0,,,,,,,,,,,,,,,,,,,
06/30/2001,181.479004,141.0,,40.479,,,,,,,,,,,,,,,,,,,
09/30/2001,232.0,139.0,,93.0,,,,,,,,,,,,,,,,,,,
12/31/2001,148.520996,104.0,,44.521,,,,,,,,,,,,,,,,,148.520996,,
03/31/2002,68.0,146.0,,-78.0,,,,,,,,,,,,,,,,,,,
