Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2016,,1162,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2016,,3942,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2016,,579,1366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2016,,4,1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2017,-76.0,888,778,-51.0,-95.0,44.0,-1691.0,-1327.0,-847.0,483.0,0.0,0.0,-353.0,-754.0,0.0,0.0,0.0,-754.0,-754.0,0.0,194.0,232.0,-38.0,0.0,0.0,0.0,0.0,207.0,-257.0,-506.0,98.0,,,,0.0,0.0,0.0,151.0,56.0,-630.0,
06/30/2017,,1835,1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2017,,232,1389,,,,,,,,,,,,,,,,,,,,,,,,,,-1947.0,-1947.0,0.0,,,,0.0,0.0,0.0,0.0,,-1947.0,
12/31/2017,,-1206,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2018,-2137.0,1104,1484,-817.0,-33.0,-784.0,-3908.0,-3143.0,-1170.0,405.0,0.0,,290.0,-776.0,0.0,0.0,0.0,-776.0,-776.0,0.0,1381.0,1409.0,-28.0,0.0,0.0,0.0,0.0,-315.0,-1543.0,-880.0,364.0,,,,-892.0,108.0,-1000.0,-135.0,208.0,-3182.0,
06/30/2018,2090.0,1769,1496,-479.0,-149.0,-330.0,-696.0,-1311.0,955.0,-340.0,0.0,,-680.0,-714.0,96.0,96.0,0.0,-810.0,-810.0,0.0,901.0,919.0,-18.0,0.0,0.0,0.0,0.0,-867.0,-2059.0,-875.0,-152.0,,,,-966.0,34.0,-1000.0,-66.0,-379.0,-1028.0,
09/30/2018,-323.0,501,1470,-2347.0,134.0,-2481.0,53.0,689.0,-921.0,285.0,0.0,0.0,-1049.0,-964.0,8.0,8.0,0.0,-972.0,-972.0,0.0,592.0,628.0,-36.0,-20.0,0.0,-20.0,0.0,-657.0,-882.0,-870.0,-1852.0,,,,-955.0,45.0,-1000.0,2795.0,-75.0,-2329.0,
12/31/2018,5101.0,482,1468,3958.0,,3958.0,-807.0,2154.0,-360.0,-149.0,-2452.0,,-1023.0,-1383.0,0.0,0.0,0.0,-1383.0,-1383.0,0.0,616.0,648.0,-32.0,0.0,0.0,0.0,0.0,-256.0,2566.0,-866.0,8086.0,,,,-1411.0,10.0,-1421.0,-3243.0,-98.0,6546.0,
03/31/2019,26.0,521,1520,554.0,,554.0,-2569.0,-1643.0,-194.0,-732.0,0.0,,-1000.0,-1014.0,125.0,125.0,0.0,-1139.0,-1139.0,0.0,208.0,233.0,-25.0,0.0,0.0,0.0,0.0,-194.0,-1032.0,-851.0,1435.0,798.0,1000.0,-363.0,-1516.0,63.0,-1579.0,-100.0,50.0,-1956.0,
06/30/2019,-77.0,-571,644,209.0,-193.0,402.0,-359.0,-892.0,496.0,37.0,0.0,,-657.0,-660.0,1.0,1.0,0.0,-661.0,-661.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,-13.0,-9629.0,-314.0,-1805.0,,,,-98.0,4.0,-102.0,-7412.0,-2.0,-10365.0,
09/30/2019,882.0,372,499,-33.0,-98.0,65.0,44.0,117.0,37.0,-110.0,0.0,0.0,-150.0,-179.0,112.0,112.0,0.0,-291.0,-291.0,0.0,-16.0,,,-9.0,0.0,-9.0,0.0,54.0,-236.0,-224.0,-2524.0,,,,-350.0,9.0,-359.0,2862.0,-50.0,446.0,
12/31/2019,578.0,176,533,965.0,,965.0,-1096.0,191.0,48.0,-244.0,-1091.0,,-506.0,-619.0,0.0,0.0,0.0,-619.0,-619.0,0.0,287.0,287.0,0.0,-171.0,0.0,-171.0,0.0,-3.0,-653.0,-222.0,-1.0,,,,-280.0,9.0,-289.0,-150.0,11.0,-570.0,
03/31/2020,718.0,-616,772,594.0,,594.0,-32.0,-134.0,-134.0,236.0,0.0,0.0,-124.0,-54.0,427.0,427.0,0.0,-481.0,-481.0,0.0,0.0,0.0,0.0,-73.0,0.0,-73.0,0.0,3.0,-344.0,-222.0,93.0,69.0,25.0,-1.0,-198.0,34.0,-232.0,-17.0,-45.0,205.0,
