Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,-36.424,,,172.837006,,,,,,,,,,,,,,,,,
06/30/1990,,148.296997,,,372.838013,,,,,,,,,,,,,,,,,
09/30/1990,,106.113998,,,198.994995,,,,,,,,,,,,,,,,,
12/31/1990,,-123.987,,,-28.832001,,,,,,,,,,,,,,,-28.832001,,
03/31/1991,,-156.992004,,,29.091,,,,,,,,,,,,,,,,,
06/30/1991,,52.659,,,307.362,,,,,,,,,,,,,,,,,
09/30/1991,,25.025,,,421.095001,,,,,,,,,,,,,,,,,
12/31/1991,,-252.692001,,,-419.550995,,,,,,,,,,,,,,,-419.550995,,
03/31/1992,,-648.0,,,339.0,,,,,,,,,,,,,,,,,
06/30/1992,,-91.0,,,249.0,,,,,,,,,,,,,,,,,
09/30/1992,,6.0,,,100.0,,,,,,,,,,,,,,,,,
12/31/1992,,-224.0,,,-112.700012,,,,,,,,,,,,,,,-112.700012,,
03/31/1993,,-157.0,,,254.0,,,,,,,,,,,,,,,,,
06/30/1993,,22.0,,,432.0,,,,,,,,,,,,,,,,,
09/30/1993,,149.0,,,188.0,,,,,,,,,,,,,,,,,
12/31/1993,,-64.0,,,-16.0,,,,,,,,,,,,,,,-16.0,,
03/31/1994,,-97.0,,,317.0,,,,,,,,,,,,,,,,,
06/30/1994,,55.0,,,671.0,,,,,,,,,,,,,,,,,
09/30/1994,,82.0,,,191.0,,,,,,,,,,,,,,,,,
12/31/1994,,11.0,,,155.0,,,,,,,,,,,,,,,155.0,,
03/31/1995,,3.0,,,454.0,,,-82.0,,,,,,,,,,,,,,
06/30/1995,,151.0,,,696.0,,,-248.0,,,,,,,,,,,,,,
09/30/1995,,243.0,,,222.0,,,-412.0,,,,,,,,,,,,,,
12/31/1995,,-48.0,,,252.0,-369.0,,-369.0,,,,,,,,,,,,-117.0,,
03/31/1996,,-23.0,,,374.0,,,-67.0,,,,,,,,,,,,,,
06/30/1996,,196.0,,,666.0,,,-305.0,,,,,,,,,,,,,,
09/30/1996,,340.0,,,30.0,,,-729.0,,,,,,,,,,,,,,
12/31/1996,,20.0,,,1383.0,-437.0,,-437.0,,,,,,,,,,,,946.0,,
03/31/1997,,105.0,176.0,,680.0,-328.0,14.0,-308.0,0.0,0.0,-34.0,-126.0,0.0,0.0,0.0,-72.0,0.0,0.0,-54.0,226.0,,
06/30/1997,,243.0,174.0,,799.0,-1195.0,13.0,-1183.0,0.0,0.0,-25.0,18.0,0.0,60.0,0.0,-46.0,0.0,0.0,4.0,-378.0,,
09/30/1997,,579.0,182.0,,918.0,-213.0,14.0,-679.0,0.0,0.0,452.0,-253.0,-8.0,-60.0,0.0,-93.0,0.0,-54.0,-38.0,452.0,,
12/31/1997,,22.0,192.0,,170.0,-565.0,42.0,-642.0,0.0,0.0,35.0,161.0,-2.0,0.0,597.0,-237.0,0.0,-196.0,-1.0,-234.0,,
03/31/1998,,61.0,191.0,,826.0,-848.0,4.0,-893.0,0.0,0.0,41.0,-57.0,0.0,119.0,704.0,-851.0,0.0,0.0,-29.0,-79.0,,
06/30/1998,,283.0,192.0,,961.0,-310.0,347.0,-687.0,0.0,0.0,30.0,-279.0,0.0,-109.0,119.0,-154.0,0.0,0.0,-135.0,372.0,,
09/30/1998,,425.0,199.0,,1067.0,-756.0,62.0,-810.0,0.0,0.0,-8.0,-452.0,-8.0,-10.0,7.0,-206.0,0.0,-247.0,12.0,-141.0,,
12/31/1998,,52.0,211.0,,340.0,-404.0,39.0,-442.0,0.0,0.0,-1.0,7.0,-2.0,184.0,716.0,,0.0,-215.0,-676.0,-57.0,,
03/31/1999,,78.0,211.0,,712.0,-507.0,113.0,-658.0,0.0,0.0,38.0,-339.0,0.0,-134.0,286.0,-384.0,0.0,-42.0,-65.0,-134.0,,
06/30/1999,,669.0,213.0,,880.0,277.0,28.0,-648.0,0.0,0.0,897.0,-269.0,0.0,-50.0,0.0,-284.0,42.0,0.0,23.0,888.0,,
09/30/1999,,359.0,214.0,,569.0,-729.0,6.0,-452.0,0.0,0.0,-283.0,-69.0,-11.0,0.0,0.0,-33.0,0.0,-42.0,17.0,-229.0,,
12/31/1999,,129.0,229.0,,260.0,-665.0,7.0,-631.0,0.0,0.0,-41.0,-200.0,0.0,61.0,63.0,0.0,0.0,-219.0,-105.0,-605.0,,
03/31/2000,,-99.0,232.0,,882.0,-677.0,6.0,-556.0,0.0,0.0,-127.0,-115.0,0.0,-61.0,200.0,-186.0,0.0,-81.0,13.0,90.0,,
06/30/2000,,336.0,247.0,,1220.0,-738.0,0.0,-587.0,0.0,0.0,-151.0,-221.0,-41.0,0.0,0.0,-93.0,0.0,-98.0,11.0,261.0,,
09/30/2000,,-116.0,253.0,,422.0,-841.0,62.0,-863.0,0.0,0.0,-40.0,376.0,-38.0,0.0,775.0,-441.0,98.0,0.0,-18.0,-43.0,,
12/31/2000,,-71.0,326.0,,-52.0,-265.0,256.0,-532.0,0.0,0.0,11.0,1378.0,-39.0,0.0,1768.0,-212.0,0.0,0.0,-139.0,1061.0,,
03/31/2001,,-313.0,252.0,,212.0,-527.0,1.0,-625.0,0.0,0.0,97.0,-114.0,-38.0,0.0,0.0,-105.0,0.0,0.0,29.0,-429.0,,
06/30/2001,,-365.0,268.0,,179.0,-666.0,3.0,-699.0,0.0,0.0,30.0,35.0,-39.0,0.0,211.0,-154.0,0.0,0.0,17.0,-452.0,,
09/30/2001,,-1159.0,260.0,,183.0,-575.0,163.0,-534.0,0.0,0.0,-204.0,1704.0,-8.0,0.0,1789.0,-62.0,0.0,0.0,-15.0,1312.0,,
12/31/2001,,-308.0,1152.0,,-734.0,-201.0,11.0,-93.0,0.0,0.0,-119.0,513.0,-3.0,133.0,518.0,-144.0,0.0,0.0,9.0,-422.0,,
03/31/2002,,-510.0,239.0,,-85.0,307.0,40.0,-29.0,0.0,0.0,296.0,164.0,-2.0,0.0,540.0,-654.0,0.0,0.0,280.0,386.0,,
06/30/2002,,-341.0,249.0,,90.0,-128.0,4.0,-32.0,0.0,0.0,-100.0,-214.0,-3.0,-133.0,371.0,-465.0,0.0,0.0,16.0,-252.0,,
09/30/2002,,-889.0,243.0,,-697.0,194.0,319.0,-52.0,0.0,0.0,-73.0,-308.0,-2.0,0.0,325.0,-344.0,0.0,0.0,-287.0,-811.0,,
12/31/2002,,-1472.0,239.0,,-447.0,-302.0,1.0,-44.0,0.0,0.0,-259.0,624.0,0.0,0.0,710.0,-95.0,0.0,0.0,9.0,-125.0,,
03/31/2003,,-1343.0,234.0,-9.0,-197.0,-26.0,6.0,-36.0,0.0,0.0,4.0,-26.0,0.0,0.0,92.0,-118.0,0.0,0.0,0.0,-249.0,,
06/30/2003,,-623.0,275.0,-83.0,764.0,-22.0,61.0,-20.0,0.0,0.0,-63.0,-107.0,0.0,0.0,31.0,-166.0,0.0,0.0,28.0,635.0,,
09/30/2003,,-367.0,265.0,,236.0,210.0,53.0,-30.0,0.0,0.0,187.0,-99.0,0.0,0.0,15.0,-123.0,0.0,0.0,9.0,347.0,,
12/31/2003,,-475.0,164.0,,16.0,109.0,3.0,-64.0,0.0,0.0,170.0,-104.0,0.0,0.0,114.0,-409.0,0.0,0.0,191.0,21.0,,
03/31/2004,,-459.0,230.0,,341.0,5.0,7.0,-60.0,0.0,0.0,58.0,-127.0,0.0,0.0,148.0,-275.0,0.0,0.0,0.0,219.0,,
06/30/2004,,-247.0,218.0,,19.0,-283.0,6.0,-90.0,0.0,0.0,-199.0,-218.0,0.0,0.0,22.0,-240.0,0.0,0.0,0.0,-482.0,,
09/30/2004,,-274.0,213.0,,-127.0,-123.0,4.0,-70.0,0.0,0.0,-57.0,366.0,0.0,0.0,343.0,-137.0,0.0,0.0,160.0,116.0,,
12/31/2004,,-741.0,213.0,,-282.0,79.0,4.0,-47.0,0.0,0.0,122.0,-67.0,0.0,0.0,0.0,-85.0,0.0,0.0,18.0,-270.0,,
03/31/2005,,,,,226.0,20.0,22.0,-13.0,0.0,0.0,11.0,-87.0,0.0,0.0,0.0,-83.0,0.0,0.0,-4.0,159.0,,
06/30/2005,,-1430.0,201.0,,528.0,-142.0,13.0,-84.0,0.0,0.0,-71.0,-91.0,0.0,0.0,0.0,-95.0,0.0,0.0,4.0,295.0,,
09/30/2005,,-1772.0,206.0,,-78.0,-112.0,118.0,-155.0,0.0,0.0,-75.0,225.0,0.0,0.0,310.0,-59.0,0.0,0.0,-26.0,35.0,,
