Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1993,,-7.9,42.700001,31.1,-45.5,20.4,,,,,,,,,,,,,,,,,
06/30/1993,,12.5,43.5,30.1,-32.299999,53.799999,,,,,,,,,,,,,,,,,
09/30/1993,,15.3,43.700001,23.799999,156.899994,239.699997,,,,,,,,,,,,,,,,,
12/31/1993,,14.6,44.299999,26.5,40.400002,125.800003,,,,,,,,,,,,,,,,,
03/31/1994,,27.5,45.5,-46.400002,-8.8,17.799999,,,,,,,,,,,,,,,,,
06/30/1994,,33.099998,50.0,30.0,-22.299999,90.800003,,,,,,,,,,,,,,,,,
09/30/1994,,34.400002,51.900002,7.0,-70.800003,22.5,,,,,,,,,,,,,,,,,
12/31/1994,,3.099998,59.400001,-105.799995,29.800004,-13.500004,,,,,,,,,,,,,,,,,
03/31/1995,,35.299999,49.900002,-10.3,-50.599998,24.299999,,,-92.5,,,,,,,,,,,,,,
06/30/1995,,38.700001,50.900002,13.6,-37.799999,65.400002,,,-145.399994,,,,,,,,,,,,,,
09/30/1995,,46.700001,55.0,-45.299999,16.6,73.0,,,-108.800003,,,,,,,,,,,,,,
12/31/1995,,11.2,65.800003,14.8,67.699997,159.5,-137.5,,-137.5,,,,,,,,,,,,22.0,,
03/31/1996,,52.200001,65.800003,8.2,-74.400002,51.799999,,,-35.0,,,,,,,,,,,,,,
06/30/1996,,61.200001,67.300003,-3.3,-19.799999,105.400002,,,-82.599998,,,,,,,,,,,,,,
09/30/1996,,58.900002,96.199997,92.699997,44.0,291.799988,,,-83.800003,,,,,,,,,,,,,,
12/31/1996,,26.700001,128.899994,-22.299999,192.399994,325.700012,,,-278.899994,,,,,,,,,,,,,,
03/31/1997,,77.0,138.0,99.0,-35.0,279.0,-206.0,0.0,-140.0,-75.0,0.0,9.0,-38.0,-13.0,0.0,240.0,-262.0,0.0,0.0,-3.0,35.0,,
06/30/1997,,119.0,136.0,100.0,-65.0,290.0,-285.0,0.0,-166.0,0.0,0.0,-119.0,-74.0,-14.0,0.0,67.0,-111.0,0.0,0.0,-16.0,-69.0,,
09/30/1997,,141.0,143.0,18.0,76.0,378.0,-207.0,0.0,-153.0,75.0,0.0,-129.0,-143.0,-13.0,0.0,34.0,-161.0,0.0,0.0,-3.0,28.0,,
12/31/1997,,111.0,144.0,162.0,-29.0,388.0,-399.0,16.0,-224.0,0.0,0.0,-191.0,-10.0,-14.0,0.0,65.0,-93.0,83.0,0.0,-51.0,-21.0,,
03/31/1998,,167.0,145.0,-6.0,-164.0,142.0,-305.0,3.0,-171.0,0.0,0.0,-137.0,197.0,-13.0,0.0,211.0,-72.0,81.0,0.0,-10.0,34.0,,
06/30/1998,,180.0,242.0,-36.0,155.0,541.0,-634.0,5.0,-285.0,0.0,0.0,-354.0,83.0,-14.0,19.0,2167.0,-2054.0,6.0,0.0,-41.0,-10.0,,
09/30/1998,,213.0,281.0,27.0,-8.0,513.0,-343.0,8.0,-244.0,0.0,0.0,-107.0,-178.0,-33.0,28.0,266.0,-386.0,36.0,-66.0,-23.0,-8.0,,
12/31/1998,,165.0,317.0,183.0,-5.0,660.0,-374.0,6.0,-330.0,0.0,0.0,-50.0,-259.0,-35.0,21.0,27.0,-191.0,38.0,-116.0,-3.0,27.0,,
03/31/1999,,292.0,274.0,-150.0,-75.0,341.0,-389.0,3.0,-262.0,0.0,0.0,-130.0,10.0,-35.0,-32.0,266.0,-195.0,118.0,-93.0,-19.0,-38.0,,
06/30/1999,,181.0,287.0,16.0,203.0,687.0,-308.0,4.0,-284.0,0.0,0.0,-28.0,-346.0,-41.0,-23.0,38.0,-423.0,166.0,0.0,-63.0,33.0,,
