Date,Revenue,Revenue From Electric,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2018,600.2,527.6,,72.6,-135.5,135.5,135.5,,464.7,-341.2,140.0,89.7,43.9,67.6,123.5,-52.7,43.8,43.8,43.8,8.9,70.8,-9.2,0.2,9.6,-0.6,1.3,62.9,0.0,0.0,0.0,62.9,-2.4,60.5,,-0.1,60.4,60.4,0.0,137.27,0.44,0.44,0.44,137.27,0.44,0.44,0.44,
06/30/2018,893.4,805.8,,87.6,-229.7,229.7,229.7,,663.7,-536.8,283.8,128.0,56.6,68.4,126.9,-68.9,58.4,58.4,58.4,10.5,58.0,45.0,9.0,-53.2,-0.8,1.4,104.4,0.0,0.0,0.0,104.4,-2.6,101.8,,-0.1,101.7,101.7,0.0,180.9,0.56,0.56,0.56,181.0,0.56,0.56,0.56,
09/30/2018,1582.5,1480.4,,102.1,-383.7,383.7,383.7,,1198.8,-665.7,330.4,193.9,83.0,58.4,533.1,-113.4,89.1,89.1,89.1,24.3,419.7,-64.1,-28.8,93.9,-1.0,2.0,357.6,0.0,0.0,0.0,357.6,-2.6,355.0,,-0.2,354.8,354.8,0.0,268.6,1.32,1.32,1.32,268.8,1.32,1.32,1.32,
12/31/2018,1199.8,1084.2,,115.6,-329.8,,,,870.0,-719.9,361.6,207.2,85.6,65.5,150.1,-99.0,88.3,88.3,88.3,10.7,51.1,-30.7,-45.6,77.5,-1.2,0.7,21.1,0.0,0.0,0.0,21.1,-2.6,18.5,,0.4,18.9,18.9,0.0,268.83,0.070305,0.070305,0.070305,269.33,0.070174,0.070174,0.070174,
03/31/2019,1216.9,1105.1,0.0,111.8,-330.0,330.0,330.0,0.0,886.9,-677.3,306.9,213.6,93.3,63.5,209.6,-99.1,91.1,91.1,91.1,8.0,110.5,-9.3,11.3,-1.0,-1.0,2.2,103.4,0.0,0.0,0.0,103.4,-3.9,99.5,0.0,0.0,99.5,111.35,11.85,252.8,0.39,0.39,0.440467,253.0,0.39,0.39,0.436838,
06/30/2019,1221.7,1108.6,0.0,113.1,-291.6,291.6,291.6,0.0,930.1,-658.4,288.6,215.4,91.6,62.8,271.7,-104.8,95.4,95.4,95.4,9.4,166.9,-24.4,8.5,17.0,-1.1,2.1,144.6,0.0,0.0,0.0,144.6,-4.9,139.7,,0.0,139.7,140.332,0.632,243.2,0.57,0.57,0.577023,243.4,0.57,0.57,0.572597,
09/30/2019,1577.6,1479.7,0.0,97.9,-357.3,357.3,357.3,0.0,1220.3,-681.6,311.6,216.1,91.5,62.4,538.7,-105.9,90.8,90.8,90.8,15.1,432.8,-65.5,-32.0,98.5,-1.0,3.6,370.9,0.0,0.0,0.0,370.9,-4.1,366.8,,0.0,366.8,369.96,3.16,234.6,1.56,1.56,1.576982,235.0,1.56,1.56,1.573447,
12/31/2019,1131.6,992.5,0.0,139.1,-286.1,,,0.0,845.5,-679.7,311.4,216.6,89.1,62.6,165.8,-103.2,96.7,96.7,96.7,6.5,62.6,2.2,-12.3,6.2,3.9,1.9,66.7,0.0,0.0,0.0,66.7,-2.8,63.9,0.0,0.0,63.9,73.459,9.559,227.4,0.281003,0.281003,0.323039,228.2,0.280018,0.280018,0.321906,
03/31/2020,1116.7,1001.9,0.0,114.8,-258.2,258.2,258.2,0.0,858.5,-661.0,288.2,218.5,92.3,62.0,197.5,-117.4,96.2,96.2,96.2,21.2,80.1,-10.1,,,,2.2,72.2,0.0,0.0,0.0,72.2,-2.8,69.4,,0.0,69.4,90.73,21.33,227.1,0.31,0.31,0.399516,227.5,0.31,0.31,0.399516,
06/30/2020,1184.7,1061.1,0.0,123.6,-258.1,258.1,258.1,0.0,926.6,-654.9,272.7,221.6,90.9,69.7,271.7,-103.7,99.5,99.5,99.5,4.2,168.0,-33.7,-27.9,64.2,-2.6,2.0,136.3,0.0,0.0,0.0,136.3,-2.9,133.4,,0.0,133.4,146.884,13.484,227.2,0.59,0.59,0.646496,227.6,0.59,0.59,0.646496,
09/30/2020,1559.0,,,,,,,,,,,,,,,,,,,,,,,,,,186.0,,,,,,186.0,,,186.0,381.0,,,1.69,1.69,1.606,,1.69,1.69,1.606,
12/31/2020,1170.5,,,,,,,,,,,,,,,,,,,,,,,,,,37.35,,,,,,37.35,,,37.35,54.9,,,0.25,0.25,0.306,,0.25,0.25,0.306,
