Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2006,1561.0,,-538.0,,1023.0,,-657.0,,,,366.0,-14.0,19.0,19.0,,-5.0,352.0,-138.0,214.0,,,,214.0,,214.0,,0.0,214.0,214.0,,149.073897,1.43553,1.43553,0.718881,150.704225,1.42,1.42,0.718881,
06/30/2006,1579.0,,-516.0,,1063.0,,-657.0,,,,406.0,-65.0,68.0,68.0,,-3.0,341.0,-125.0,216.0,,,,216.0,,216.0,,0.0,216.0,216.0,,149.1,1.45,1.45,1.81,150.0,1.44,1.44,1.79,
09/30/2006,1606.0,,-583.0,,1023.0,,-657.0,390.0,,267.0,366.0,-111.0,116.0,116.0,,-5.0,255.0,-95.0,160.0,,,,160.0,,160.0,,0.0,160.0,160.0,,149.2,1.07,1.07,1.07,150.5,1.06,1.06,1.06,
12/31/2006,1617.0,,-555.0,,1062.0,0.0,-656.0,388.0,,268.0,406.0,-120.0,,121.0,0.0,-1.0,286.0,-92.0,194.0,0.0,,,194.0,0.0,194.0,0.0,0.0,194.0,194.0,,149.6,1.3,1.3,1.1885,151.4,1.28,1.28,1.1656,
03/31/2007,1589.0,,-544.0,,1045.0,,-674.0,,,,371.0,-109.0,109.0,109.0,0.0,0.0,262.0,-102.0,160.0,0.0,,,160.0,0.0,160.0,0.0,0.0,160.0,160.0,,150.2,1.07,1.07,1.24,152.4,1.05,1.05,1.22,
06/30/2007,1605.0,,-546.0,,1059.0,,-659.0,,,,400.0,-111.0,111.0,111.0,0.0,0.0,289.0,-113.0,176.0,0.0,,,176.0,0.0,176.0,0.0,0.0,176.0,176.0,,151.8,1.16,1.16,1.16,153.6,1.15,1.15,1.15,
09/30/2007,1594.0,,-566.0,,1028.0,,-665.0,,,,363.0,-106.0,108.0,108.0,0.0,-2.0,257.0,-100.0,157.0,0.0,,,157.0,0.0,157.0,0.0,0.0,157.0,157.0,,152.8,1.02,1.02,1.15,154.5,1.01,1.01,1.14,
12/31/2007,1577.0,,-540.0,,1037.0,,-667.0,,,,370.0,-103.0,104.0,104.0,0.0,-1.0,267.0,-77.0,190.0,0.0,,,190.0,0.0,190.0,0.0,0.0,190.0,190.0,,153.0,1.24,1.24,1.47,154.9,1.23,1.23,1.46,
03/31/2008,1456.0,,-422.0,,1034.0,0.0,-598.0,348.0,,250.0,436.0,-103.0,,104.0,0.0,-1.0,333.0,-119.0,214.0,2.0,,,212.0,0.0,212.0,0.0,0.0,212.0,212.0,,153.8,1.38,1.39,1.39,154.3,1.37,1.38,1.38,
06/30/2008,1549.0,,-513.0,,1036.0,,-608.0,,,,428.0,-99.0,100.0,100.0,0.0,-1.0,329.0,-123.0,206.0,0.0,,,206.0,0.0,206.0,0.0,0.0,206.0,206.0,,146.8,1.4,1.4,1.4,148.8,1.38,1.38,1.38,
09/30/2008,1525.0,,-558.0,,967.0,,-614.0,,,,353.0,-100.0,101.0,101.0,0.0,-1.0,253.0,-93.0,160.0,0.0,,,160.0,0.0,160.0,0.0,0.0,160.0,160.0,,142.6,1.12,1.12,1.41,144.0,1.11,1.11,1.4,
12/31/2008,1479.0,,-454.0,,1025.0,,-607.0,,,,418.0,-99.0,100.0,100.0,0.0,-1.0,319.0,-128.0,191.0,0.0,,,191.0,0.0,191.0,0.0,0.0,191.0,191.0,,142.2,1.34,1.34,1.36,143.0,1.34,1.34,1.36,
03/31/2009,1346.0,1346.0,-363.0,363.0,983.0,0.0,-573.0,329.0,244.0,0.0,410.0,-95.0,,96.0,,-1.0,315.0,-115.0,200.0,26.0,26.0,0.0,174.0,0.0,174.0,0.0,0.0,174.0,200.0,0.0,143.2,1.22,1.4,1.4,143.5,1.21,1.39,1.39,
06/30/2009,1325.0,1325.0,-358.0,358.0,967.0,0.0,-547.0,303.0,244.0,0.0,420.0,-91.0,,90.0,,1.0,329.0,-125.0,204.0,0.0,0.0,0.0,204.0,0.0,204.0,0.0,0.0,204.0,204.0,0.0,144.0,1.42,1.42,1.42,144.2,1.41,1.41,1.41,
09/30/2009,,,,,,,,,,,,,,,,,297.286,,185.2,,,,,,185.2,,,185.2,185.286,,,,,,,,,,
12/31/2009,,,,,,,,,,,,,,,,,285.714,,177.2,,,,,,177.2,,,177.2,177.857,,,,,,,,,,
