Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
12/31/2010,,-929,2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2013,1196.0,383,1524,-1181.0,62.0,1532.0,-2775.0,470.0,13.0,-110.0,567.0,0.0,0.0,-22980.0,-2099.0,0.0,,0.0,-2099.0,-2066.0,-33.0,0.0,0.0,0.0,-17642.0,0.0,-17642.0,0.0,-3239.0,24769.0,0.0,6329.0,,18561.0,18561.0,0.0,-121.0,,2985.0,
12/31/2013,-761.0,-1038,1531,-300.0,40.0,10.0,-350.0,-954.0,-493.0,-319.0,-142.0,0.0,0.0,1299.0,-2084.0,0.0,,0.0,-2084.0,-1969.0,-115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3383.0,-232.0,0.0,-207.0,,15.0,15.0,0.0,-40.0,0.0,306.0,
03/31/2014,522.0,-151,1297,-75.0,35.0,46.0,-156.0,-549.0,,,,-549.0,0.0,-1756.0,-1640.0,0.0,,0.0,-1640.0,-1488.0,-152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.0,-160.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1394.0,
06/30/2014,679.0,23,1281,113.0,26.0,-23.0,110.0,-738.0,-369.0,-97.0,-272.0,0.0,0.0,-1277.0,-1287.0,0.0,0.0,0.0,-1287.0,-1246.0,-41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-201.0,0.0,-210.0,,9.0,9.0,0.0,0.0,0.0,-799.0,
09/30/2014,1028.0,-765,1294,241.0,39.0,51.0,151.0,258.0,-459.0,-58.0,775.0,0.0,0.0,-948.0,-1181.0,0.0,0.0,0.0,-1181.0,-1143.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,-116.0,0.0,-153.0,,37.0,37.0,0.0,0.0,0.0,-36.0,
12/31/2014,-233.0,-2379,1320,1563.0,24.0,-662.0,2201.0,-737.0,-528.0,-889.0,680.0,0.0,0.0,-687.0,-1610.0,0.0,0.0,0.0,-1610.0,-1568.0,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,240.0,0.0,273.0,,4.0,4.0,0.0,-37.0,0.0,-680.0,
03/31/2015,976.0,-224,1454,265.0,-3.0,25.0,243.0,-519.0,712.0,-529.0,-702.0,0.0,0.0,-1802.0,-1774.0,315.0,0.0,315.0,-2089.0,-2047.0,-42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.0,1381.0,0.0,1446.0,,-15.0,0.0,-15.0,-50.0,0.0,555.0,
06/30/2015,128.0,-20,1588,241.0,18.0,-13.0,236.0,-1681.0,-1683.0,869.0,-867.0,0.0,0.0,-2411.0,-2371.0,1.0,0.0,1.0,-2372.0,-2346.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.0,333.0,0.0,320.0,,4.0,4.0,0.0,9.0,0.0,-1950.0,
09/30/2015,1669.0,-585,1743,523.0,22.0,41.0,460.0,-12.0,326.0,-696.0,358.0,0.0,0.0,-1669.0,-1751.0,3.0,0.0,3.0,-1754.0,-1735.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,-88.0,0.0,-92.0,,4.0,4.0,0.0,0.0,0.0,-88.0,
12/31/2015,806.0,-836,1865,499.0,18.0,92.0,389.0,-722.0,-125.0,-290.0,-307.0,0.0,0.0,-405.0,-1599.0,32.0,0.0,32.0,-1631.0,-1601.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1194.0,-198.0,0.0,-200.0,,2.0,2.0,0.0,0.0,0.0,203.0,
03/31/2016,-3026.0,-554,1892,548.0,17.0,3.0,528.0,-4912.0,2065.0,722.0,226.0,-7925.0,0.0,3070.0,-4893.0,26.0,0.0,26.0,-4919.0,-4896.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7963.0,422.0,0.0,428.0,,0.0,0.0,0.0,-6.0,0.0,466.0,
06/30/2016,542.0,-302,1967,214.0,15.0,46.0,153.0,-1337.0,-106.0,-98.0,-1016.0,-117.0,0.0,-2195.0,-866.0,27.0,0.0,27.0,-893.0,-878.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1329.0,2792.0,0.0,2961.0,,0.0,0.0,0.0,-169.0,0.0,1139.0,
09/30/2016,1708.0,-142,1981,145.0,14.0,111.0,20.0,-276.0,-20.0,-794.0,821.0,-283.0,0.0,-1163.0,-806.0,39.0,0.0,39.0,-845.0,-828.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-357.0,-319.0,0.0,-350.0,,0.0,0.0,0.0,31.0,0.0,226.0,
12/31/2016,650.0,-479,2092,537.0,28.0,119.0,390.0,-1500.0,-416.0,-1362.0,98.0,180.0,0.0,-1836.0,-1199.0,60.0,0.0,60.0,-1259.0,-1245.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-637.0,887.0,0.0,953.0,,0.0,0.0,0.0,-66.0,0.0,-299.0,
