Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1988,176.393005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.582001,,,36.582001,36.582001,,8104.319824,0.004514,0.004514,0.004514,8104.319824,0.004514,0.004514,0.004514,
12/31/1988,209.882004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.485001,,,47.485001,47.485001,,8044.517395,0.005903,0.005903,0.005903,8044.517395,0.005903,0.005903,0.005903,
03/31/1989,197.024002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.118999,,,41.118999,41.118999,,8111.145081,0.005069,0.005069,0.005069,8111.145081,0.005069,0.005069,0.005069,
06/30/1989,220.231003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.352001,,,45.352001,45.352001,,8163.359802,0.005556,0.005556,0.005556,8163.359802,0.005556,0.005556,0.005556,
09/30/1989,235.160995,,-50.758999,,184.401997,,-115.013,,,,,,69.389,3.537,,,,,0.0,,-3.537,72.926,-23.337999,49.588001,0.0,,,49.588001,0.0,49.588001,0.0,,49.588001,49.588001,,8233.920044,0.006042,0.006042,0.006042,8233.920044,0.006042,0.006042,0.006042,
12/31/1989,300.431,,-65.818001,,234.612999,,-127.632004,,,,,,106.981003,2.541,,,,,0.0,,-2.541,109.522003,-35.046001,74.475998,0.0,,,74.476001,0.0,74.475998,0.0,,74.475998,74.475998,,8547.407776,0.008681,0.008681,0.008681,8547.407776,0.008681,0.008681,0.008681,
03/31/1990,310.881989,,-66.096001,,244.785988,,-138.406006,,,,,,106.379997,4.166,,,,,0.0,,-4.166,110.545997,-35.376999,75.168999,0.0,,,75.168998,0.0,75.168999,0.0,,75.168999,75.168999,,8729.279846,0.008611,0.008611,0.008611,8729.279846,0.008611,0.008611,0.008611,
06/30/1990,336.971985,,-69.995003,,266.976982,,-156.488998,,,,,,110.487999,7.082,,,,,0.0,,-7.082,117.569999,-37.616211,79.953003,0.0,,,79.953788,0.0,79.953003,0.0,,79.953003,79.953003,,6114.311856,0.009028,0.009028,0.009028,6114.311856,0.009028,0.009028,0.009028,
09/30/1990,369.399994,,-76.0,,293.399994,,-170.399994,,,,,,123.0,4.0,,,,,0.0,,-4.0,127.0,-39.400002,87.599998,0.0,,,87.599998,0.0,87.599998,0.0,,87.599998,87.599998,,8877.60022,0.009861,0.009861,0.009861,8877.60022,0.009861,0.009861,0.009861,
12/31/1990,460.5,,-93.599998,,366.900002,,-207.600006,,,,,,159.300003,4.2,,,,,0.0,,-4.2,163.500003,-50.599998,112.900002,0.0,,,112.900004,0.0,112.900002,0.0,,112.900002,112.900002,,8906.39978,0.012639,0.012639,0.012639,8906.39978,0.012639,0.012639,0.012639,
03/31/1991,486.899994,,-95.5,,391.399994,,-217.899994,,,,,,173.5,6.0,,,,,0.0,,-6.0,179.5,-55.700001,123.800003,0.0,,,123.799999,0.0,123.800003,0.0,,123.800003,123.800003,,9093.60022,0.013611,0.013611,0.013611,9093.60022,0.013611,0.013611,0.013611,
06/30/1991,526.632019,,-97.488998,,429.143021,,-235.100998,,,,,,194.042007,6.602,,,,,0.0,,-6.602,200.644007,-62.201,138.442993,0.0,,,138.443007,0.0,138.442993,0.0,,138.442993,138.442993,,6963.216048,0.015208,0.015208,0.015208,6963.216048,0.015208,0.015208,0.015208,
09/30/1991,580.5,,-104.5,,476.0,,-273.100006,,,,,,202.899994,8.8,,,,,0.0,,-8.8,211.699994,-67.699997,144.0,0.0,,,143.999997,0.0,144.0,0.0,,144.0,144.0,,9230.400146,0.015625,0.015625,0.015625,9230.400146,0.015625,0.015625,0.015625,
12/31/1991,681.900024,,-115.099998,,566.800026,,-320.700012,,,,,,246.100006,11.6,,,,,0.0,,-11.6,257.700006,-82.5,175.199997,0.0,,,175.200006,0.0,175.199997,0.0,,175.199997,175.199997,,9388.800293,0.01875,0.01875,0.01875,9388.800293,0.01875,0.01875,0.01875,
03/31/1992,680.900024,,-110.099998,,570.800026,,-319.799988,,,,,,251.0,11.9,,,,,0.0,,-11.9,262.9,-84.099998,178.800003,0.0,,,178.800001,0.0,178.800003,0.0,,178.800003,178.800003,,9508.800293,0.01875,0.01875,0.01875,9508.800293,0.01875,0.01875,0.01875,
06/30/1992,815.424988,,-136.723999,,678.700989,,-382.721985,,,,,,295.979004,12.986,,,,,0.0,,-12.986,308.965004,-98.904999,210.059998,0.0,,,210.060005,0.0,210.059998,0.0,,210.059998,210.059998,,7227.83984,0.021875,0.021875,0.021875,7227.83984,0.021875,0.021875,0.021875,
09/30/1992,818.0,,-135.0,,683.0,,-394.0,,,,,,289.0,18.0,,,,,0.0,,-18.0,307.0,-98.0,209.0,0.0,,,209.0,0.0,209.0,0.0,,209.0,209.0,,9568.0,0.021875,0.021875,0.021875,9568.0,0.021875,0.021875,0.021875,
12/31/1992,938.0,,-157.0,,781.0,,-455.0,,,,,,326.0,21.0,,,,,0.0,,-21.0,347.0,-111.0,236.0,0.0,,,236.0,0.0,236.0,0.0,,236.0,236.0,,9696.0,0.024375,0.024375,0.024375,9696.0,0.024375,0.024375,0.024375,
03/31/1993,958.0,,-161.0,,797.0,,-459.0,,,,,,338.0,19.0,,,,,0.0,,-19.0,357.0,-114.0,243.0,0.0,,,243.0,0.0,243.0,0.0,,243.0,243.0,,9728.0,0.025,0.025,0.025,9728.0,0.025,0.025,0.025,
06/30/1993,1039.0,,-180.0,,859.0,,-486.0,,,,,,373.0,17.0,,,,,0.0,,-17.0,390.0,-125.0,265.0,0.0,,,265.0,0.0,265.0,0.0,,265.0,265.0,,9760.0,0.026875,0.026875,0.026875,9760.0,0.026875,0.026875,0.026875,
09/30/1993,983.0,,-159.0,,824.0,,-481.0,,,,,,343.0,19.0,,,,,0.0,,-19.0,362.0,-123.0,239.0,0.0,,,239.0,0.0,239.0,0.0,,239.0,239.0,,9696.0,0.024375,0.024375,0.024375,9696.0,0.024375,0.024375,0.024375,
12/31/1993,1129.0,,-185.0,,944.0,,-529.0,,,,,,415.0,23.0,,,,,0.0,,-23.0,438.0,-149.0,289.0,0.0,,,289.0,0.0,289.0,0.0,,289.0,289.0,,9728.0,0.029687,0.029687,0.029687,9728.0,0.029687,0.029687,0.029687,
03/31/1994,1244.0,,-208.0,,1036.0,,-556.0,,,,,,480.0,-98.0,,,,,0.0,,98.0,382.0,-126.0,256.0,0.0,,,256.0,0.0,256.0,0.0,,256.0,256.0,,9728.0,0.02625,0.02625,0.02625,9728.0,0.02625,0.02625,0.02625,
06/30/1994,1293.0,,-211.0,,1082.0,,-594.0,,,,,,488.0,52.0,,,,,0.0,,-52.0,540.0,-178.0,362.0,0.0,,,362.0,0.0,362.0,0.0,,362.0,362.0,,9872.0,0.036875,0.036875,0.036875,9872.0,0.036875,0.036875,0.036875,
09/30/1994,1247.0,,-186.0,,1061.0,,-624.0,,,,,,437.0,34.0,,,,,0.0,,-34.0,471.0,-155.0,316.0,0.0,,,316.0,0.0,316.0,0.0,,316.0,316.0,,9952.0,0.031875,0.031875,0.031875,9952.0,0.031875,0.031875,0.031875,
12/31/1994,1482.0,,-222.0,,1260.0,,-740.0,,,,,,520.0,37.0,,,,,0.0,,-37.0,557.0,-184.0,373.0,0.0,,,373.0,0.0,373.0,0.0,,373.0,373.0,,10000.0,0.0375,0.0375,0.0375,10000.0,0.0375,0.037499,0.0375,
03/31/1995,1587.0,,-235.0,,1352.0,,-803.0,,,,,,549.0,43.0,,,,,0.0,,-43.0,592.0,-196.0,396.0,0.0,,,396.0,0.0,396.0,0.0,,396.0,396.0,,10016.0,0.039375,0.039375,0.039375,10016.0,0.039375,0.039375,0.039375,
06/30/1995,1621.0,,-234.0,,1387.0,,-855.0,,,,,,532.0,15.0,,,,,0.0,,-15.0,547.0,-179.0,368.0,0.0,,,368.0,0.0,368.0,0.0,,368.0,368.0,,10160.0,0.03625,0.03625,0.03625,10160.0,0.03625,0.03625,0.03625,
09/30/1995,2016.0,,-322.0,,1694.0,,-986.0,,,,,,708.0,62.0,,0.0,,,0.0,,-62.0,770.0,-271.0,499.0,0.0,,,499.0,0.0,499.0,0.0,,499.0,499.0,,10240.0,0.04875,0.04875,0.04875,10240.0,0.04875,0.04875,0.04875,
12/31/1995,2195.0,,-330.0,,1865.0,,-1079.0,,,,,,786.0,99.0,,0.0,,,0.0,,-99.0,885.0,-310.0,575.0,0.0,,,575.0,0.0,575.0,0.0,,575.0,575.0,,10208.0,0.05625,0.05625,0.05625,10208.0,0.05625,0.05625,0.05625,
03/31/1996,2205.0,,-295.0,,1910.0,,-1136.0,,,,,,774.0,90.0,,0.0,,,0.0,,-90.0,864.0,-302.0,562.0,0.0,,,562.0,0.0,562.0,0.0,,562.0,562.0,,10224.0,0.055,0.055,0.055,10224.0,0.055,0.055,0.055,
06/30/1996,2255.0,,-241.0,,2014.0,,-1204.0,,,,,,810.0,50.0,,0.0,,,0.0,,-50.0,860.0,-301.0,559.0,0.0,,,559.0,0.0,559.0,0.0,,559.0,559.0,,10320.0,0.054375,0.054375,0.054375,10320.0,0.054375,0.054375,0.054375,
