Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
12/31/2012,71.8,58.8,11.2,-6.3,,-6.3,8.4,8.4,,-5.5,-5.5,0.0,0.0,0.0,-5.5,-5.5,0,0,0,0,0.0,0.0,0.0,0,0.0,-75.8,-2.3,-0.7,-0.7,,0.0,0.0,0.0,0.0,-72.8,-7.6,-17.1,
03/31/2013,0.4,39.6,11.7,-50.7,,-50.7,,,,-4.1,-5.3,0.0,,,-5.3,-5.3,0,0,0,0,0.0,0.0,0.0,0,1.2,18.2,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,-2.8,-18.2,-3.7,
06/30/2013,58.8,60.1,11.2,-10.9,,-10.9,,,,-2.8,-3.4,0.0,,,-3.4,-3.4,0,0,0,0,0.0,0.0,0.0,0,0.6,-54.1,0.0,-20.6,-20.6,0.0,0.0,0.0,0.0,0.0,-33.5,6.5,8.4,
09/30/2013,98.4,-78.1,11.3,160.6,,160.6,,,,19.3,-3.3,0.0,,0.0,-3.3,-3.3,0,0,0,0,0.0,0.0,0.0,0,22.6,-88.0,0.0,-119.1,-119.1,0.0,0.0,0.0,0.0,0.0,31.1,16.6,46.3,
12/31/2013,66.3,10.1,11.9,48.9,48.9,0.0,,,,-31.1,33.5,41.7,41.7,0.0,-8.2,-8.2,0,0,0,0,0.0,0.0,0.0,0,-64.6,-168.5,-5.2,1457.6,157.6,1300.0,0.0,1.3,1.3,0.0,-1622.2,-7.8,-141.1,
03/31/2014,-0.9,35.8,12.2,-48.0,,-48.0,,,,-14.3,-9.2,0.0,,0.0,-9.2,-9.2,0,0,0,0,-5.3,0.0,-5.3,0,0.2,-3.4,-7.2,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,11.8,-3.4,-22.0,
06/30/2014,64.7,43.2,12.2,10.0,,10.0,,,,6.1,-16.8,0.0,,0.0,-16.8,-16.8,0,0,0,0,-17.7,0.0,-17.7,0,40.6,-82.4,-7.7,-47.2,-47.2,0.0,0.0,-30.3,0.0,-30.3,2.8,-0.6,-12.2,
09/30/2014,108.2,60.8,12.1,36.5,,36.5,,,,-12.7,-13.8,0.0,,0.0,-13.8,-13.8,0,0,0,0,0.0,0.0,0.0,0,1.1,-34.8,-7.7,-7.9,14.6,0.0,-22.5,-20.0,0.0,-20.0,0.8,-2.5,58.2,
12/31/2014,83.9,35.4,12.3,36.2,,36.2,,,,-13.9,-11.2,0.5,0.5,0.0,-11.7,-11.7,0,0,0,0,-1.0,1.2,-2.2,0,-1.7,-29.4,-7.4,-14.9,18.6,956.3,-989.8,18.6,18.6,0.0,-25.7,-1.5,39.1,
03/31/2015,4.4,45.4,12.1,-52.9,,-52.9,,,,-14.4,-9.4,0.0,0.0,0.0,-9.4,-9.4,0,0,0,0,-9.0,0.0,-9.0,0,4.0,-46.7,-9.5,-12.4,-0.2,,-12.2,-30.0,0.0,-30.0,5.2,-4.2,-60.9,
06/30/2015,28.8,63.9,12.7,-47.8,,-47.8,,,,-52.1,-9.2,0.0,,,-9.2,-9.2,0,0,0,0,-43.0,0.0,-43.0,0,0.1,-5.9,-9.6,0.2,24.6,,-24.4,0.0,0.0,0.0,3.5,0.6,-28.6,
