Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Source: Bloomberg
12/31/1989,56.522995,,,,,,,,,,,,,4.537,,4.537,,,0.215,0.215,0.0,
03/31/1990,57.032001,-43.798,13.234001,-7.764,5.47,,,0.021,5.491,-1.683,3.808,0.232,0.0,4.04,0.0,4.04,3.808,,0.18,0.19,21.341999,
06/30/1990,60.008999,-43.794998,16.214001,-9.295,6.919,,,0.05,6.969,-2.038,4.931,0.239,0.0,5.17,0.0,5.17,4.931,,0.23,0.24,21.322001,
09/30/1990,59.889,-43.908001,15.980999,-9.008,6.973,,,0.077,7.05,-2.103,4.947,0.38,0.0,5.327,0.0,5.327,4.947,,0.23,0.25,21.308001,
12/31/1990,66.031998,-48.568001,17.463997,-13.244,4.22,,,2.663,6.883,-2.132,4.751,0.435,0.0,5.186,0.0,5.186,4.751,,0.225,0.245,21.319,
03/31/1991,57.511002,-41.945999,15.565002,-9.297,6.268,,-0.259,0.478,6.487,-2.239,4.248,0.224,0.0,4.472,0.0,4.472,4.248,,0.2,0.21,21.334,
06/30/1991,66.346001,-48.904999,17.441002,-9.392,8.049,,-0.391,0.379,8.037,-2.747,5.29,0.268,0.0,5.558,0.0,5.558,5.29,,0.245,0.26,21.344,
09/30/1991,71.625,-53.84,17.785,-9.843,7.942,,0.167,0.219,8.328,-2.868,5.46,0.199,0.0,5.659,0.0,5.659,5.46,,0.255,0.265,21.356001,
12/31/1991,131.126999,-104.246002,26.880997,-18.396,8.485,,-0.995,-0.205,7.285,-0.972,6.313,0.0,0.0,6.313,-0.958,5.355,5.355,,0.215,0.215,23.837,
03/29/1992,140.815994,-108.025002,32.790993,-21.212,11.579,,-0.7,-1.519,9.36,-2.014,7.346,0.0,0.0,7.346,-1.438,5.908,5.908001,,0.225,0.225,26.298,
06/28/1992,149.738007,-114.639999,35.098007,-23.004999,12.093,,1.519,-2.476,11.136,-2.784,8.352,0.0,0.0,8.352,-1.198,7.154,7.154001,,0.27,0.27,26.427,
09/27/1992,156.319,-120.422997,35.896004,-22.290001,13.606,,1.5,-1.974,13.132,-3.281,9.851,0.0,0.0,9.851,0.0,9.851,9.851,,0.31,0.31,34.286999,
