Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
01/31/2015,568,547,997,-1938,58,-1107,-889,962,682,-134,-467,881,0.0,-710,-688,98,98,0,-786,-786,0,,,,-1,0,-1,0,-21,335,-10,119,70,286,-237,81,81,0,145,0,193,
04/30/2015,1188,305,973,458,90,157,211,-548,-200,-85,-110,-153,0.0,-673,-569,77,77,0,-646,-646,0,,,,-138,0,-138,0,34,-308,0,21,29,222,-230,7,7,0,-336,0,207,
07/31/2015,2063,224,989,739,113,74,552,111,109,-245,584,-337,0.0,-3451,-1082,92,92,0,-1174,-1174,0,0.0,0.0,0.0,-2425,53,-2478,0,56,1443,0,-271,-176,128,-223,4,4,0,1710,0,55,
10/31/2015,-158,1385,988,-2001,204,-1646,-559,-530,-582,40,861,-849,0.0,-579,-625,113,113,0,-738,-738,0,0.0,0.0,0.0,60,87,-27,0,-14,7805,-32,-102,38,14776,-14916,8,8,0,7931,0,7068,
01/31/2016,-75,267,989,-308,163,245,-716,-1023,612,-182,-788,-665,0.0,-692,-756,76,76,0,-832,-832,0,,,,65,65,0,0,-1,-570,-96,193,2,300,-109,-1191,6,-1197,524,0,-1337,
04/30/2016,1107,320,960,81,136,-276,221,-254,-246,-4,376,-380,0.0,-429,-596,124,124,0,-720,-720,0,0.0,0.0,0.0,237,250,-13,0,-70,-136,-94,-13,-38,270,-245,1,16,-15,-30,0,542,
07/31/2016,1714,2272,954,-2880,124,-981,-2023,1368,622,189,-271,828,,1751,-743,117,117,0,-860,-860,0,0.0,0.0,0.0,2464,2473,-9,0,30,-1492,-91,-17,-15,212,-214,-1384,66,-1450,0,0,1973,
10/31/2016,2212,302,872,-232,115,-333,-14,1270,3,31,749,487,,-211,-735,133,133,0,-868,-868,0,0.0,0.0,0.0,554,554,0,0,-30,-34,-92,7,-20,292,-265,51,51,0,0,0,1967,
01/31/2017,-1190,267,840,-2178,145,-125,-2198,-119,466,-132,-231,-222,,-1157,-839,84,84,0,-923,-923,0,0.0,0.0,0.0,-312,0,-312,0,-6,-782,-109,10,24,248,-262,-641,0,-641,-42,0,-3129,
04/30/2017,636,-612,792,931,83,631,217,-475,-165,-78,360,-592,0.0,-2653,-700,58,58,0,-758,-758,0,0.0,0.0,0.0,-1935,49,-1984,0,-18,260,-107,-1543,4,293,-1840,-539,131,-670,2449,0,-1757,
