Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,823,-667,156,-96,60,0,0,-20,40,-15,25,0,0,25,0,25,,25,,0.2125,0.2125,117.526001,,,,,
06/30/1990,861,-664,197,-83,114,0,0,1,115,-41,74,0,0,74,0,74,,74,,0.8025,0.8025,88.194,,,,,
09/30/1990,847,-643,204,-76,128,-46,0,29,111,-39,72,0,0,72,-6,66,,66,,0.82,0.82,83.132004,,,,,
12/31/1990,841,-634,207,-82,125,-116,0,111,120,-44,76,0,0,76,-11,65,,65,,0.85,0.85,81.262001,,,,,
03/31/1991,755,-625,130,-85,45,-45,0,29,29,-11,18,0,0,18,0,18,,18,,0.18,0.18,82.117996,,,,,
06/30/1991,811,-594,217,-85,132,-46,0,27,113,-40,73,0,0,73,0,73,,73,,0.8425,0.8425,82.559998,,,,,
09/30/1991,839,-610,229,-82,147,-45,0,25,127,-49,78,0,0,78,0,78,,78,,0.905,0.905,83.278,,,,,
12/31/1991,847,-624,223,-89,134,-45,0,-693,-604,228,-376,0,0,-376,-21,-397,,-397,,-4.6125,-4.6125,82.244003,,,,,
03/31/1992,798,-627,171,-90,81,-43,0,23,61,-23,38,0,0,38,-5,33,,33,,0.4125,0.4125,81.349998,,,,,
06/30/1992,843,-609,234,-90,144,-43,0,23,124,-47,77,0,0,77,-6,71,,71,,0.8925,0.8925,80.494003,,,,,
09/30/1992,847,-632,215,-68,147,-43,0,20,124,-49,75,0,0,75,-5,70,,70,,0.88,0.88,81.488998,,,,,
12/31/1992,857,-595,262,-100,162,-43,0,32,151,-59,92,0,0,92,-5,87,,87,,1.1,1.1,79.82,,,,,
03/31/1993,816,-634,182,-97,85,-44,0,32,73,-27,46,-74,0,-28,-5,-33,,41,,0.52,-0.39,80.982002,,,,,
06/30/1993,873,-620,253,-95,158,-46,0,25,137,-52,85,0,0,85,-6,79,,79,,1.01,1.01,80.730003,,,,,
09/30/1993,854,-604,250,-94,156,-48,0,-50,58,-61,-3,0,0,-3,-5,-8,,-8,,-0.07,-0.07,80.405998,,,,,
12/31/1993,910,-620,290,-98,192,-47,0,27,172,-66,106,0,0,106,-5,101,,101,1.27,1.27,1.27,80.5,1.27,1.27,1.27,80.5,
03/31/1994,847,-704,143,-175,-32,-47,0,26,-53,21,-32,0,0,-32,-5,-37,,-37,,-0.45,-0.45,79.628998,,,,,
06/30/1994,951,-672,279,-90,189,-48,0,25,166,-65,101,0,0,101,-6,95,,95,,1.24,1.24,79.632004,,,1.12,89.546997,
09/30/1994,949,-671,278,-84,194,-48,0,28,174,-68,106,0,0,106,-5,101,,101,,1.29,1.29,79.460999,,,1.17,,
12/31/1994,986,-646,340,-85,255,-49,0,39,245,-96,149,0,0,149,-5,144,,144,1.81,1.81,1.81,79.674004,1.81,1.81,1.81,79.674004,
03/31/1995,889,-678,211,-97,114,-48,0,25,91,-36,55,0,0,55,-10,45,,45,,0.66,0.66,79.095001,,,,,
06/30/1995,923,-634,289,-109,180,-50,0,35,165,-42,123,0,0,123,-6,117,,117,,1.52,1.52,78.709999,,,,,
09/30/1995,923,-623,300,-92,208,-49,0,29,188,-72,116,0,0,116,-5,111,,111,,1.44,1.44,78.664001,,,,,
12/31/1995,951,-640,311,-72,239,-47,0,-244,-52,22,-30,0,0,-30,0,-30,,-30,-0.38,-0.38,-0.38,78.733002,-0.38,-0.38,-0.38,78.733002,
03/31/1996,889,-721,168,-99,69,-47,0,28,50,-19,31,0,0,31,-3,28,,28,0.36,0.36,0.36,78.001999,,,,,
06/30/1996,949,-673,276,-87,189,-46,0,-105,38,-12,26,0,0,26,-3,23,135.0,158,1.37,0.3,0.3,77.485001,,,,,
09/30/1996,933,-632,301,-66,235,-44,0,25,216,-78,138,0,0,138,-4,134,,134,1.74,1.74,1.74,76.824997,,,,,
12/31/1996,943,-624,319,-211,108,-45,0,164,227,-80,147,0,0,147,-10,137,,137,1.99,1.86,1.86,77.627998,,,,,
03/31/1997,906,-680,226,-110,116,-45,0,27,98,-37,61,0,0,61,-3,58,,58,0.74,0.74,0.74,80.025002,,,,,
