Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
01/03/2016,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/03/2016,270.0,896,363.0,-286.0,13.0,27.0,-326.0,-703.0,-222.0,-273.0,59.0,-267.0,0.0,-293.0,-303.0,0.0,0.0,0.0,-303.0,-303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-627.0,-667.0,0.0,0.0,,0.0,0.0,0.0,0.0,40.0,44.0,-606.0,
07/03/2016,1834.0,950,357.0,-81.0,13.0,-24.0,-70.0,608.0,-4.0,17.0,31.0,564.0,0.0,-159.0,-211.0,0.0,0.0,0.0,-211.0,-211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,-1562.0,-847.0,7602.0,632.0,6982.0,-12.0,-8320.0,0.0,-8320.0,3.0,-43.0,70.0,
10/02/2016,-1088.0,842,73.0,-67.0,12.0,-31.0,-48.0,-1936.0,-1217.0,-225.0,390.0,-884.0,0.0,1536.0,-322.0,0.0,0.0,0.0,-322.0,-322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1858.0,-835.0,-789.0,-59.0,,,,0.0,0.0,0.0,13.0,-18.0,-405.0,
12/31/2016,1632.0,944,544.0,-392.0,8.0,-44.0,-356.0,536.0,-612.0,351.0,399.0,398.0,0.0,368.0,-411.0,0.0,0.0,0.0,-411.0,-411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,-1596.0,-1461.0,-10.0,1.0,0.0,-11.0,0.0,0.0,0.0,-125.0,-120.0,284.0,
04/01/2017,-615.0,883,262.0,5.0,11.0,68.0,-74.0,-1765.0,-1040.0,-475.0,62.0,-312.0,0.0,134.0,-368.0,0.0,0.0,0.0,-368.0,-368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,-505.0,-736.0,231.0,256.0,2.0,-27.0,0.0,0.0,0.0,0.0,13.0,-973.0,
07/01/2017,437.0,1156,255.0,13.0,13.0,155.0,-155.0,-987.0,-558.0,57.0,22.0,-508.0,0.0,289.0,-322.0,0.0,0.0,0.0,-322.0,-322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,-2506.0,-698.0,-1823.0,180.0,2.0,-2005.0,0.0,0.0,0.0,15.0,16.0,-1764.0,
09/30/2017,193.0,913,272.0,-59.0,12.0,209.0,-280.0,-933.0,-463.0,-149.0,39.0,-360.0,0.0,299.0,-266.0,0.0,0.0,0.0,-266.0,-266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.0,-475.0,-727.0,239.0,-650.0,1492.0,-603.0,0.0,0.0,0.0,13.0,14.0,31.0,
12/30/2017,486.0,7989,242.0,-8066.0,10.0,-6927.0,-1149.0,321.0,-568.0,331.0,318.0,240.0,0.0,455.0,-238.0,0.0,0.0,0.0,-238.0,-238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0,-735.0,-727.0,2.0,8.0,0.0,-6.0,0.0,0.0,0.0,-10.0,14.0,220.0,
03/31/2018,408.0,1003,227.0,-142.0,7.0,-46.0,-103.0,-680.0,-712.0,-312.0,-85.0,429.0,0.0,4.0,-223.0,0.0,0.0,0.0,-223.0,-223.0,0.0,0.0,0.0,0.0,-215.0,0.0,-215.0,0.0,442.0,-371.0,-897.0,512.0,518.0,0.0,-6.0,0.0,0.0,0.0,14.0,-10.0,31.0,
06/30/2018,-192.0,754,235.0,332.0,20.0,125.0,187.0,-1513.0,-1289.0,-116.0,212.0,-320.0,0.0,575.0,-215.0,0.0,0.0,0.0,-215.0,-215.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,772.0,1262.0,-762.0,2041.0,-943.0,2990.0,-6.0,0.0,0.0,0.0,-17.0,-70.0,1575.0,
09/29/2018,662.0,619,250.0,248.0,17.0,25.0,206.0,-455.0,-153.0,-217.0,3.0,-88.0,0.0,-94.0,-156.0,0.0,0.0,0.0,-156.0,-156.0,0.0,0.0,0.0,0.0,-15.0,18.0,-33.0,0.0,77.0,-2528.0,-762.0,-1734.0,22.0,0.0,-1756.0,0.0,0.0,0.0,-32.0,-48.0,-2008.0,
12/29/2018,1696.0,-12568,271.0,13408.0,-11.0,-2071.0,15490.0,585.0,-126.0,394.0,-153.0,470.0,0.0,-197.0,-232.0,0.0,0.0,0.0,-232.0,-232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,-1726.0,-762.0,-971.0,-964.0,0.0,-7.0,0.0,0.0,0.0,7.0,-4.0,-231.0,
03/30/2019,304.0,405,239.0,165.0,9.0,-67.0,223.0,-505.0,116.0,-488.0,64.0,-197.0,0.0,177.0,-249.0,0.0,0.0,0.0,-249.0,-249.0,0.0,0.0,0.0,0.0,440.0,640.0,-200.0,0.0,-14.0,-504.0,-488.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-15.0,-11.0,-34.0,
06/29/2019,1021.0,449,255.0,489.0,6.0,27.0,456.0,-172.0,-41.0,4.0,-1.0,-134.0,0.0,-195.0,-199.0,0.0,0.0,0.0,-199.0,-199.0,0.0,0.0,0.0,0.0,0.0,-640.0,640.0,0.0,4.0,-473.0,-488.0,15.0,0.0,18.0,-3.0,0.0,0.0,0.0,0.0,3.0,356.0,
09/28/2019,665.0,899,243.0,-314.0,11.0,-100.0,-225.0,-163.0,63.0,-153.0,50.0,-123.0,0.0,1129.0,-133.0,0.0,0.0,0.0,-133.0,-133.0,0.0,0.0,0.0,0.0,1236.0,1875.0,-639.0,0.0,26.0,-904.0,-488.0,-319.0,0.0,2949.0,-3268.0,0.0,0.0,0.0,-97.0,-32.0,858.0,
12/28/2019,1562.0,182,257.0,516.0,20.0,-153.0,649.0,607.0,2.0,360.0,-171.0,416.0,0.0,400.0,-187.0,0.0,0.0,0.0,-187.0,-187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,-2032.0,-489.0,-1523.0,377.0,0.0,-1900.0,0.0,0.0,0.0,-20.0,34.0,-36.0,
03/28/2020,212.0,378,243.0,349.0,33.0,-46.0,362.0,-758.0,-423.0,-226.0,-2.0,-107.0,0.0,-122.0,-131.0,0.0,0.0,0.0,-131.0,-131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3105.0,-488.0,3593.0,0.0,4000.0,-407.0,0.0,0.0,0.0,0.0,-71.0,3124.0,
06/27/2020,2004.0,-1651,247.0,2464.0,40.0,-443.0,2867.0,944.0,363.0,29.0,-52.0,604.0,0.0,-115.0,-127.0,0.0,0.0,0.0,-127.0,-127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-4542.0,-489.0,-3917.0,0.0,3500.0,-7417.0,0.0,0.0,0.0,-136.0,62.0,-2591.0,
