Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2018,,509,1238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2018,790.0,557,311.0,-66.0,,-3.0,-63.0,-12.0,-65.0,-8.0,61.0,0.0,-289.0,-351.0,0.0,,,-351.0,-351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,-516.0,-237.0,-277.0,,,,14.0,15.0,-1.0,-16.0,-51.0,-66.0,
09/30/2018,,398,1327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2018,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2019,1131.0,517,1223.0,-553.0,16.0,-14.0,-555.0,-119.0,-56.0,-32.0,-31.0,5.0,2402.0,-843.0,0.0,0.0,0.0,-843.0,-843.0,0.0,0.0,0.0,0.0,-152.0,0.0,-152.0,0.0,3455.0,-2206.0,0.0,-1027.0,-533.0,22.0,-516.0,28.0,28.0,0.0,-1212.0,8.0,1335.0,
06/30/2019,1012.0,522,1195.0,-304.0,,-180.0,-124.0,-408.0,-132.0,-41.0,-235.0,0.0,380.0,-865.0,0.0,,,-865.0,-865.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1234.0,-4434.0,-474.0,-250.0,,,,-498.0,27.0,-525.0,-3212.0,-57.0,-3099.0,
09/30/2019,1869.0,735,1095.0,-32.0,,68.0,-100.0,74.0,158.0,12.0,-96.0,0.0,-709.0,-959.0,0.0,0.0,0.0,-959.0,-959.0,0.0,0.0,0.0,0.0,-21.0,0.0,-21.0,0.0,271.0,-1652.0,-471.0,-467.0,,,,-679.0,5.0,-684.0,-35.0,-77.0,-569.0,
12/31/2019,2176.0,511,1162.0,52.0,,-66.0,118.0,449.0,110.0,-20.0,359.0,0.0,-944.0,-1015.0,0.0,,,-1015.0,-1015.0,0.0,0.0,0.0,0.0,-64.0,0.0,-64.0,0.0,136.0,-700.0,-469.0,484.0,,,,-712.0,12.0,-724.0,-3.0,49.0,581.0,
03/31/2020,1347.0,573,1142.0,-188.0,43.0,-107.0,-124.0,-178.0,-109.0,-62.0,-7.0,0.0,-613.0,-803.0,0.0,0.0,0.0,-803.0,-803.0,0.0,0.0,0.0,0.0,-41.0,0.0,-41.0,0.0,231.0,759.0,-511.0,3112.0,3149.0,16.0,-53.0,-1815.0,13.0,-1828.0,-27.0,-179.0,1314.0,
06/30/2020,1764.0,458,1124.0,160.0,32.0,-154.0,282.0,22.0,-9.0,-20.0,51.0,,-634.0,-783.0,0.0,,,-783.0,-783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,-204.0,-506.0,411.0,-1204.0,1640.0,-25.0,12.0,12.0,0.0,-121.0,1.0,927.0,
