Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2014,345.8,325.5,20.3,-195.5,165.7,29.8,150.3,9.8,-1.0,1.0,159.1,-10.2,12.0,12.1,-0.1,-1.6,-0.2,148.9,-55.9,93.0,0.2,0.2,0.0,92.8,,92.8,,0.0,92.8,81.625,-11.375,,,,,,,,,
06/30/2014,343.5,328.5,15.0,-233.7,204.9,28.8,109.8,11.1,-17.0,17.0,103.9,-9.9,12.4,12.6,-0.2,-2.7,0.2,94.0,-34.6,59.4,0.3,0.3,0.0,59.1,,59.1,0.0,0.0,59.1,59.205,-0.195,,,,,,,,,
09/30/2014,318.0,303.9,14.1,-224.0,194.7,29.3,94.0,12.0,-11.5,11.5,94.5,-10.8,14.2,14.4,-0.2,-3.9,0.5,83.7,-30.0,53.7,0.1,0.1,0.0,53.6,,53.6,0.0,0.0,53.6,51.35,-2.35,317.6,0.17,0.17,0.161681,317.6,0.17,0.17,0.161681,
12/31/2014,340.7,325.8,14.9,-217.2,186.3,30.9,123.5,13.7,-3.1,3.1,134.1,-22.3,22.7,22.9,-0.2,-2.8,2.4,111.8,-49.2,62.6,0.0,0.0,0.0,62.6,0.0,62.6,0.0,0.0,62.6,53.695,-8.905,317.6,0.2,0.2,0.169065,317.6,0.2,0.2,0.169065,
03/31/2015,340.0,327.3,12.7,-178.9,146.4,32.5,161.1,15.4,-13.8,13.8,162.7,-13.7,18.3,18.3,0.0,-3.5,-1.1,149.0,-51.9,97.1,0.0,0.0,0.0,97.1,-7.1,90.0,0.0,0.0,90.0,86.555,-3.445,317.6,0.28,0.28,0.272528,317.6,0.28,0.28,0.269153,
06/30/2015,316.1,305.4,10.7,-209.9,176.0,33.9,106.2,13.7,-12.6,12.6,107.3,-18.6,20.5,23.9,-3.4,-5.0,3.1,88.7,-28.6,60.1,0.3,0.3,0.0,59.8,-9.0,50.8,0.0,0.0,50.8,46.875,-4.225,317.6,0.16,0.16,0.147591,317.6,0.16,0.16,0.146697,
09/30/2015,320.9,315.7,5.2,-221.5,186.5,35.0,99.4,15.4,21.1,-21.1,135.9,-22.7,29.4,29.4,0.0,-6.5,-0.2,113.2,-38.3,74.9,0.1,0.1,0.0,74.8,-11.8,63.0,0.0,0.0,63.0,38.14,-24.96,317.6,0.2,0.2,0.120088,318.4,0.2,0.2,0.120088,
12/31/2015,357.9,351.1,6.8,-234.6,196.1,38.5,123.3,16.0,-17.1,17.1,122.2,-12.6,25.1,25.3,-0.2,-13.3,0.8,109.6,-34.2,75.4,0.0,0.0,0.0,75.4,-12.0,63.4,0.0,0.0,63.4,70.445,7.045,339.3,0.19,0.19,0.207619,339.9,0.19,0.19,0.207619,
03/31/2016,364.5,358.4,6.1,-209.5,169.1,40.4,155.0,15.9,-19.2,19.2,151.7,-22.4,28.5,29.4,-0.9,-6.1,0.0,129.3,-42.7,86.6,-0.2,-0.2,0.0,86.8,-14.6,72.2,0.0,0.0,72.2,88.835,16.835,400.3,0.18,0.18,0.221921,400.7,0.18,0.18,0.221921,
06/30/2016,313.9,308.3,5.6,-221.1,179.9,41.2,92.8,16.3,-17.6,17.6,91.5,-20.8,30.6,30.6,0.0,-9.8,0.0,70.7,-22.1,48.6,0.0,0.0,0.0,48.6,-9.7,38.9,0.0,0.0,38.9,36.69,-2.21,400.6,0.1,0.1,0.091588,401.5,0.1,0.1,0.091588,
09/30/2016,327.1,319.2,7.9,-366.5,322.9,43.6,-39.4,16.0,-29.6,29.6,-53.0,-18.2,31.9,31.9,0.0,-13.8,0.1,-71.2,21.6,-49.6,0.0,0.0,0.0,-49.6,-2.9,-52.5,0.0,0.0,-52.5,-46.13,6.37,,,,,,,,,
12/31/2016,376.5,365.7,10.8,-238.9,191.3,47.6,137.6,16.1,-26.3,26.3,127.4,-24.7,28.4,29.3,-0.9,-5.2,1.5,102.7,-34.6,68.1,0.0,0.0,0.0,68.1,-9.9,58.2,0.0,0.0,58.2,61.905,3.705,,,,,,,,,
03/31/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,0.185,0.185,,0.185,0.185,0.185,
06/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135,0.135,0.135,,0.135,0.135,0.135,
