Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
12/31/1995,,-1017,389,2075,-468,979,,,-493,,,,,,,,,,,,,,
03/31/1996,,-103,305,-112,-1960,-1870,,,-268,,,,,,,,,,,,,,
06/30/1996,,72,297,40,842,1251,,,-294,,,,,,,,,,,,,,
09/30/1996,,255,335,-118,147,619,,,-377,,,,,,,,,,,,,,
12/31/1996,,859,387,-119,114,1241,,,-344,,,,,,,,,,,,,,
03/31/1997,,66,294,-37,-1161,-838,,,-337,,,,,,,,,,,,,,
06/30/1997,,213,361,37,-147,464,,,-407,,,,,,,,,,,,,,
09/30/1997,,-597,408,1067,201,1079,,,-547,,,,,,,,,,,,,,
12/31/1997,,825,343,195,-978,385,-10.0,27.0,-261,0.0,0.0,224.0,-500.0,-48.0,-485.0,3.0,-20.0,72.0,0.0,-22.0,-125.0,,
03/31/1998,,29,305,223,-626,-69,-392.0,15.0,-345,0.0,0.0,-62.0,207.0,-49.0,-160.0,332.0,-42.0,156.0,0.0,-30.0,-254.0,,
06/30/1998,,-150,387,983,78,1298,-1946.0,2.0,-509,0.0,0.0,-1439.0,706.0,-53.0,521.0,2.0,-23.0,296.0,0.0,-37.0,58.0,,
09/30/1998,,388,346,-537,-292,-95,-831.0,13.0,-620,0.0,0.0,-224.0,449.0,-51.0,273.0,38.0,-8.0,258.0,0.0,-61.0,-477.0,,
12/31/1998,,2708,344,-1845,-2308,-1101,-367.0,57.0,-343,,,-81.0,1723.0,-54.0,1041.0,495.0,-8.0,239.0,0.0,10.0,255.0,,
03/31/1999,,442,487,-973,-322,-366,-663.0,1.0,-463,,,-201.0,854.0,-52.0,-586.0,1330.0,0.0,193.0,0.0,-31.0,-175.0,,
06/30/1999,,750,174,-872,1244,1296,258.0,,-316,,,574.0,-1550.0,0.0,-1152.0,,-487.0,85.0,0.0,4.0,4.0,,
09/30/1999,,838,457,3294,-3593,996,-650.0,,-783,0.0,0.0,215.0,-25.0,-62.0,-255.0,350.0,-5.0,,0.0,-53.0,321.0,,
12/31/1999,,1249,455,-211,-1483,10,107.0,0.0,-508,0.0,0.0,615.0,294.0,-62.0,185.0,0.0,-375.0,557.0,0.0,-11.0,411.0,,
03/31/2000,,755,692,768,-2553,-338,238.0,0.0,-740,0.0,0.0,978.0,-70.0,-126.0,-482.0,16.0,-374.0,901.0,0.0,-5.0,-170.0,,
06/30/2000,,-301,0,-193,89,-405,-1087.0,0.0,-18,-523.0,853.0,-1399.0,275.0,-2.0,188.0,404.0,0.0,0.0,-293.0,-22.0,-1217.0,,
09/30/2000,,-484,835,-706,489,134,-1114.0,6.0,-941,0.0,0.0,-179.0,1737.0,-65.0,1465.0,11.0,-1.0,279.0,0.0,48.0,757.0,,
12/31/2000,,-464,644,-1924,425,-1319,2127.0,0.0,-329,0.0,0.0,2456.0,1539.0,0.0,1573.0,0.0,0.0,0.0,0.0,-34.0,2347.0,,
03/31/2001,,-3696,433,1497,-55,-1821,-190.0,0.0,-204,0.0,0.0,14.0,-271.0,-68.0,-297.0,0.0,0.0,84.0,0.0,10.0,-2282.0,,
