Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,12.9,9.9,-40.200001,-23.5,-40.900002,,,,,,,,,,,,,,,,,
06/30/1990,,-85.099998,10.1,34.0,-23.799999,-64.800003,,,,,,,,,,,,,,,,,
09/30/1990,,-8.8,10.3,-25.0,-10.9,-34.400002,,,,,,,,,,,,,,,,,
12/31/1990,,-8.5,9.9,8.2,4.5,14.1,,,,,,,,,,,,,,,,,
03/31/1991,,-39.599998,11.3,16.5,-6.1,-17.9,,,,,,,,,,,,,,,,,
06/30/1991,,-28.5,11.8,15.7,-4.3,-5.3,,,,,,,,,,,,,,,,,
09/30/1991,,-26.9,11.4,20.5,-23.1,-18.1,,,,,,,,,,,,,,,,,
12/31/1991,,-241.5,10.7,264.399994,53.0,86.599998,,,,,,,,,,,,,,,,,
03/31/1992,,-30.5,11.3,22.299999,-92.099998,-89.0,,,,,,,,,,,,,,,,,
06/30/1992,,2.5,14.4,-5.9,-13.6,-2.6,,,,,,,,,,,,,,,,,
09/30/1992,,-25.200001,16.4,35.099998,-21.299999,5.0,,,,,,,,,,,,,,,,,
12/31/1992,,-376.700012,4.6,413.299988,-45.299999,-4.1,,,,,,,,,,,,,,,,,
03/31/1993,,-329.5,14.0,323.5,-21.5,-13.5,,,,,,,,,,,,,,,,,
06/30/1993,,8.7,14.1,1.1,-20.6,3.3,,,,,,,,,,,,,,,,,
09/30/1993,,-223.0,8.4,187.0,30.4,2.8,,,,,,,,,,,,,,,,,
12/31/1993,,-98.0,16.700001,103.400002,-35.799999,-13.7,,,,,,,,,,,,,,,,,
03/31/1994,,-27.200001,12.2,13.0,12.6,10.6,,,,,,,,,,,,,,,,,
06/30/1994,,69.900002,12.4,-62.400002,-9.8,10.1,,,,,,,,,,,,,,,,,
09/30/1994,,25.4,12.3,-6.8,-37.5,-6.6,,,,,,,,,,,,,,,,,
12/31/1994,,9.6,11.9,-2.6,25.5,44.400002,,,,,,,,,,,,,,,,,
03/31/1995,,2.4,12.5,8.0,-21.9,1.0,,,-33.099998,,,,,,,,,,,,,,
06/30/1995,,35.900002,13.5,-38.0,10.1,21.5,,,-52.700001,,,,,,,,,,,,,,
09/30/1995,,-0.1,13.8,-19.9,-41.299999,-47.5,,,-24.4,,,,,,,,,,,,,,
12/31/1995,,-8.4,13.0,1.2,33.700001,39.5,,,-33.099998,,,,,,,,,,,,,,
03/31/1996,,6.9,14.6,-5.3,11.7,27.9,,,-11.6,,,,,,,,,,,,,,
06/30/1996,,-4.0,14.7,0.4,-29.299999,-18.200001,,,-15.4,,,,,,,,,,,,,,
09/30/1996,,16.4,14.8,-0.5,-43.200001,-12.5,,,-14.9,,,,,,,,,,,,,,
12/31/1996,,13.2,14.6,-19.5,37.099998,45.400002,-17.9,,-17.9,,,,,,,,,,,,27.500002,,
03/31/1997,,9.4,15.4,10.6,-36.299999,-0.9,-7.4,0.1,-7.5,0.0,0.0,0.0,-8.7,-4.5,0.0,1.1,-4.7,0.0,0.0,-0.6,-17.0,,
06/30/1997,,21.5,15.4,-5.1,3.7,35.5,-5.1,2.4,-7.6,0.0,0.0,0.1,-7.1,-4.4,0.0,0.9,-2.7,0.0,0.0,-0.9,23.299999,,
09/30/1997,,26.700001,15.4,-7.2,-37.900002,-3.0,-8.6,1.2,-10.4,0.0,0.0,0.6,116.300003,-4.5,0.0,149.199997,-27.4,0.0,0.0,-1.0,104.699997,,
12/31/1997,,19.200001,15.1,-23.700001,48.599998,59.200001,-2.9,4.0,-16.4,0.0,0.0,9.5,-146.300003,-4.5,0.0,0.0,-143.0,0.1,0.0,1.1,-90.0,,
03/31/1998,,257.799988,16.1,-236.300003,-62.0,-24.4,-2.4,1.8,-4.2,0.0,0.0,0.0,-36.5,-4.5,0.0,0.0,-31.4,0.0,0.0,-0.6,-63.299999,,
06/30/1998,,31.1,16.1,-30.799999,-1.9,14.5,-8.6,0.0,-7.0,0.0,0.0,-1.6,-6.9,-4.4,0.0,0.0,-2.8,0.0,0.0,0.3,-1.0,,
09/30/1998,,30.700001,15.8,-10.9,-37.599998,-2.0,-8.0,0.0,-7.8,0.0,0.0,-0.2,-4.5,-4.5,0.0,0.0,-0.2,0.0,0.0,0.2,-14.5,,
12/31/1998,,27.5,15.3,45.5,18.799999,107.099998,-7.7,0.0,-13.7,0.0,0.0,6.0,53.299999,-4.3,0.0,74.400002,-16.799999,0.0,0.0,0.0,152.699997,,
03/31/1999,,22.4,16.9,0.6,-34.099998,5.8,-6.0,0.6,-6.1,0.0,0.0,-0.5,-118.099998,-4.5,0.0,0.0,-113.199997,0.0,0.0,-0.4,-118.300003,,
06/30/1999,,41.299999,16.4,5.9,-18.6,45.0,-31.5,3.1,-18.0,0.0,0.0,-16.6,-7.8,-4.3,0.0,0.0,-2.7,0.0,0.0,-0.8,5.7,,
