Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2016,-229,141,82.0,63,63.0,0,-515,115,30,-313,-347,0,-87,-53,16.0,16.0,0.0,-69.0,-69.0,0.0,0,0,0,0,0,0,0,-34,261,0.0,-39,82.0,1.0,-122.0,0,0.0,0.0,300,-110,-165,41,14.0,
06/30/2016,3707,-911,577.0,2282,175.0,2107,1759,627,904,-72,300,0,-2,36,123.0,123.0,0.0,-87.0,-87.0,0.0,0,0,0,0,0,0,0,-38,-2066,-148.0,-1132,,,,-500,0.0,-500.0,-286,112,1751,172,115.0,
09/30/2016,-3673,0,,-1580,-278.0,-1302,-2093,-399,-923,114,-885,0,-257,-292,,,,,,,0,0,0,-1,0,-1,0,36,2034,,983,,,,500,,,551,-124,-2020,-220,,
12/31/2016,457,254,111.0,-322,2.0,-324,414,-65,356,15,108,0,-126,-95,,,,,,,0,0,0,-15,0,-15,0,-16,-331,0.0,223,32.0,191.0,0.0,0,0.0,0.0,-554,-17,-17,324,26.0,
03/31/2017,-346,68,132.0,-117,-115.0,-2,-429,-18,24,-16,-419,0,-67,-68,8.0,8.0,0.0,-76.0,-76.0,0.0,0,0,0,0,0,0,0,1,457,0.0,227,227.0,,0.0,0,0.0,0.0,230,2,46,48,8.0,
06/30/2017,-43,0,158.0,66,86.0,-20,-267,-83,152,94,-430,0,-63,-63,4.0,4.0,0.0,-67.0,-67.0,0.0,0,0,0,0,0,0,0,0,1087,0.0,-45,,,-45.0,0,0.0,0.0,1132,15,996,81,6.0,
09/30/2017,-196,-134,426.0,-223,0.0,-223,-265,-149,19,6,-141,0,-3749,-210,64.0,64.0,0.0,-274.0,-274.0,0.0,0,0,0,-3365,0,-3365,0,-174,6668,-76.0,1067,,,,0,0.0,0.0,5677,31,2754,-7,17.0,
12/31/2017,-214,31,387.0,-404,-304.0,-100,-228,-940,223,219,270,0,-244,-152,96.0,96.0,0.0,-248.0,-248.0,0.0,0,0,0,10,20,-10,0,-102,2707,-79.0,3337,,,,-477,0.0,-477.0,-74,4,2253,108,78.0,
03/31/2018,294,70,388.0,-322,-233.0,-89,158,125,-134,101,66,0,-134,-69,108.0,108.0,0.0,-177.0,-177.0,0.0,0,0,0,0,0,0,0,-65,-1553,-76.0,-829,-181.0,,-648.0,-513,0.0,-513.0,-135,-6,-1399,82,72.0,
06/30/2018,139,-19,392.0,-86,-67.0,-19,-148,-160,-148,217,-57,0,-28,-161,73.0,73.0,0.0,-234.0,-234.0,0.0,0,0,0,0,0,0,0,133,-819,-74.0,-119,181.0,,-300.0,-512,0.0,-512.0,-114,-44,-752,136,85.0,
09/30/2018,240,13,353.0,13,-12.0,25,-139,-1,-53,140,-225,0,-42,-93,149.0,149.0,0.0,-242.0,-242.0,0.0,0,0,0,-20,0,-20,0,71,-275,-74.0,-44,,,,0,0.0,0.0,-157,-37,-114,87,61.0,
12/31/2018,1089,131,353.0,202,63.0,139,403,-168,-4,336,239,0,-374,-214,128.0,128.0,0.0,-342.0,-342.0,0.0,0,0,0,-121,453,-574,0,-39,-1716,-91.0,-68,-57.0,,-11.0,-1461,0.0,-1461.0,-96,-41,-1042,119,83.0,
03/31/2019,-184,32,350.0,-172,,-172,-394,-204,-220,-93,123,0,-256,-235,59.0,59.0,0.0,-294.0,-294.0,0.0,0,0,0,0,0,0,0,-21,-232,-93.0,-48,,,,0,0.0,0.0,-91,22,-650,76,56.0,
06/30/2019,593,-9,359.0,115,-19.0,134,128,-23,-83,139,95,0,-307,-238,62.0,62.0,0.0,-300.0,-300.0,0.0,0,0,0,-69,0,-69,0,0,-195,-92.0,-18,36.0,,-54.0,0,0.0,0.0,-85,-26,65,107,81.0,
09/30/2019,360,57,356.0,53,-9.0,62,-106,-148,-21,-97,160,0,-96,-199,80.0,80.0,0.0,-279.0,-279.0,0.0,0,0,0,0,0,0,0,103,-569,-93.0,-161,,,,-250,0.0,-250.0,-65,-25,-330,103,59.0,
12/31/2019,1357,48,353.0,143,97.0,46,813,-208,124,300,597,0,-386,-304,63.0,63.0,0.0,-367.0,-367.0,0.0,0,0,0,-30,77,-107,0,-52,-538,-117.0,-360,,,,0,0.0,0.0,-61,8,441,152,89.0,
03/31/2020,478,-10210,355.0,10150,,10150,183,179,-140,-182,326,0,-318,-325,40.0,40.0,0.0,-365.0,-365.0,0.0,0,0,0,0,0,0,0,7,-327,-118.0,-115,,,,0,0.0,0.0,-94,-72,-239,118,49.0,
06/30/2020,230,-201,339.0,-113,,-113,205,419,-135,-308,229,0,-119,-168,69.0,69.0,0.0,-237.0,-237.0,0.0,0,0,0,0,0,0,0,49,1022,-118.0,1203,,,,0,0.0,0.0,-63,-11,1122,93,92.0,
