Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
06/30/2008,245.800003,249.0,24.5,13.1,1.5,11.6,-40.799999,-1.7,-82.400002,,43.300002,,-26.0,-25.999999,0.8,,,-26.799999,,,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,
09/30/2008,130.6,98.5,13.6,-4.6,0.3,-4.9,23.1,5.0,9.7,,8.4,,-23.4,-23.4,0.5,,,-23.9,,,0,0.0,0.0,,,,,0.0,-107.2,0.0,-107.2,,,,0.0,0.0,0.0,0.0,,0.0,
12/31/2008,112.6,46.4,14.0,13.8,4.2,9.6,38.4,-4.2,-7.2,,49.8,,-30.0,-30.0,0.4,,,-30.4,,,0,0.0,0.0,,,,,0.0,-82.6,0.0,0.0,,,,0.0,0.0,0.0,-82.6,,0.0,
03/31/2009,96.9,103.5,13.9,4.2,,4.2,-24.7,,,,-24.7,0.0,-21.8,-21.8,0.6,0.6,0.0,-22.4,-22.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.2,0.0,-499.3,,97.7,-597.0,782.3,782.3,0.0,-0.8,1.4,358.7,
06/30/2009,225.2,134.5,14.6,-1.2,,-1.2,77.3,,,,77.3,0.0,-7.2,-7.2,12.2,0.3,11.9,-19.4,-19.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8,0.0,-5.8,,0.0,-5.8,0.0,0.0,0.0,0.0,6.0,218.2,
09/30/2009,94.6,97.6,15.4,-13.0,,-13.0,-5.4,,,,-5.4,0.0,-16.8,-16.8,0.7,0.7,0.0,-17.5,-17.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.1,-61.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,4.8,20.5,
12/31/2009,159.9,64.0,15.0,-16.6,,-16.6,97.5,,,,97.5,0.0,-35.5,-35.5,1.0,1.0,0.0,-36.5,-36.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-165.2,-40.9,-120.0,120.0,1535.3,-1775.3,0.0,0.0,0.0,-4.3,4.5,-36.3,
03/31/2010,144.3,125.6,15.6,23.1,,23.1,-20.0,,,,-20.0,0.0,-56.9,-56.9,0.5,0.5,0.0,-57.4,-57.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-178.0,-41.0,-137.0,-120.0,30.0,-47.0,0.0,0.0,0.0,0.0,-8.4,-99.0,
06/30/2010,55.3,121.4,15.9,3.4,,3.4,-85.4,,,,-85.4,0.0,-39.5,-34.0,1.5,1.5,0.0,-35.5,-35.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,-45.2,-46.2,0.2,0.2,0.0,0.0,0.8,0.8,0.0,0.0,-4.5,-33.9,
09/30/2010,149.3,106.1,15.9,-34.3,,-34.3,61.6,,,,61.6,0.0,-49.2,-49.2,0.2,0.2,0.0,-49.4,-49.4,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.6,-46.2,3.0,3.0,0.0,0.0,0.6,0.8,-0.2,0.0,16.2,73.7,
