Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Source: Bloomberg
03/31/1990,4386.0,-3807.0,579.0,-225.0,354.0,-118.0,0.0,9.0,245.0,-69.0,176.0,0.0,0.0,176,-7.0,169,169.0,0.66,0.66,255.593994,
06/30/1990,4328.0,-3656.0,672.0,-272.0,400.0,-19.0,0.0,-36.0,345.0,-133.0,212.0,0.0,0.0,212,-4.0,208,208.0,0.81,0.81,255.212006,
09/30/1990,4784.0,-4175.0,609.0,-227.0,382.0,-121.0,0.0,22.0,283.0,-120.0,163.0,0.0,0.0,163,-3.0,160,160.0,0.63,0.63,255.197998,
12/31/1990,5828.0,-5337.0,491.0,-71.0,420.0,-211.0,0.0,134.0,343.0,-76.0,267.0,0.0,0.0,267,-4.0,263,263.0,1.04,1.04,254.947998,
03/31/1991,4125.0,-3840.0,285.0,-174.0,111.0,-134.0,0.0,-339.0,-362.0,125.0,-237.0,0.0,0.0,-237,-2.0,-239,-239.0,-0.78,-0.783029,305.225006,
06/30/1991,4249.0,-3835.0,414.0,-265.0,149.0,-131.0,0.0,26.0,44.0,-19.0,25.0,0.0,0.0,25,-3.0,22,22.0,0.07,0.071842,306.229004,
09/30/1991,4346.0,-3953.0,393.0,-252.0,141.0,-109.0,0.0,35.0,67.0,-39.0,28.0,0.0,0.0,28,-2.0,26,26.0,0.08,0.084558,307.480988,
12/31/1991,4443.0,-4249.0,194.0,-428.0,-234.0,-135.0,0.0,-71.0,-440.0,46.0,-394.0,0.0,0.0,-394,-2.0,-396,-396.0,-1.29,-1.29,306.752991,
03/31/1992,3674.399902,-3387.0,287.399902,-150.399994,137.0,-78.0,0.0,-10.0,49.0,-2.0,4.0,-1666.0,0.0,-1662,-2.0,-1664,45.0,0.06,-4.92516,337.856995,
06/30/1992,4482.0,-3747.0,735.0,-399.0,336.0,-116.0,0.0,86.0,306.0,-123.0,183.0,0.0,0.0,183,-2.0,181,181.0,0.51,0.508867,355.691986,
09/30/1992,4201.799805,-3946.0,255.799805,-143.800003,112.0,-114.0,0.0,19.0,17.0,-7.0,10.0,0.0,0.0,10,-3.0,7,7.0,0.02,0.020315,344.571991,
12/31/1992,4160.629883,-4228.0,-67.370117,-309.630005,-377.0,-119.0,14.0,-36.0,-518.0,161.0,-357.0,0.0,0.0,-357,-2.0,-359,-359.0,-0.87,-0.873,372.901001,
03/31/1993,3824.330078,-3507.0,317.330078,-154.330002,163.0,-118.0,,43.0,88.0,-38.0,50.0,0.0,0.0,50,-4.0,46,46.0,0.13,1.2,355.593994,
06/30/1993,4173.899902,-3783.0,390.899902,-235.899994,155.0,-297.0,,-322.0,-464.0,153.0,-311.0,0.0,0.0,-311,-8.0,-319,-319.0,-0.9,-5.44,355.691986,
09/30/1993,4533.0,,,,,,,,,,,,,66,,66,,0.49,0.49,355.589996,
12/31/1993,4604.0,,,,,,,,,,,,,37,,37,,1.51,1.51,,
03/31/1994,4273.0,,,,,,,,,,,,,75,,75,,-0.15,-0.15,,
06/30/1994,4819.0,,,,,,,,,,,,,107,,107,,-1.37,-1.37,,
09/30/1994,5123.0,,,,,,,,,,,,,191,,191,,1.39,1.39,,
12/31/1994,5184.0,,,,,,,,,,,,,128,,128,,1.32,1.32,,
03/31/1995,5038.0,,,,,,,,,,,,,154,,154,,1.45,1.45,,
06/30/1995,5278.0,,,,,,,,,,,,,190,,190,,1.48,1.48,,
09/30/1996,6023.0,,,,,,,,,,,,,233,,233,,,0.0,,
