Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,77.699997,70.199997,,-32.400002,115.5,,,,,,,,,,,,,,,,,
06/30/1990,,103.0,88.0,,-12.7,178.300003,,,,,,,,,,,,,,,,,
09/30/1990,,100.800003,58.5,,-24.4,134.899994,,,,,,,,,,,,,,,,,
12/31/1990,,15.1,10.0,122.300003,40.599998,188.0,,,,,,,,,,,,,,,188.0,,
03/31/1991,,27.5,79.199997,,-121.300003,-14.6,,,,,,,,,,,,,,,,,
06/30/1991,,61.400002,88.699997,,-33.5,116.599998,,,,,,,,,,,,,,,,,
09/30/1991,,41.5,79.599998,,-41.599998,79.5,,,,,,,,,,,,,,,,,
12/31/1991,,23.700001,17.6,-14.2,126.900002,154.0,,,,,,,,,,,,,,,154.0,,
03/31/1992,,-634.400024,102.0,639.599976,-128.0,-20.799999,,,,,,,,,,,,,,,,,
06/30/1992,,25.0,74.5,0.0,-56.599998,42.900002,,,,,,,,,,,,,,,,,
09/30/1992,,12.7,87.900002,0.0,9.4,110.0,,,,,,,,,,,,,,,,,
12/31/1992,,-152.100006,19.6,131.600006,170.0,169.100006,,,,,,,,,,,,,,,169.100006,,
03/31/1993,,-32.700001,69.300003,,-114.400002,-77.800003,,,,,,,,,,,,,,,,,
06/30/1993,,-22.799999,84.400002,0.0,11.7,73.300003,,,,,,,,,,,,,,,,,
09/30/1993,,-28.0,90.400002,0.0,91.400002,153.800003,,,,,,,,,,,,,,,,,
12/31/1993,,-238.600006,42.900002,289.600006,15.5,109.400002,,,,,,,,,,,,,,,109.400002,,
03/31/1994,,-21.1,71.400002,0.0,-75.699997,-25.4,,,,,,,,,,,,,,,,,
06/30/1994,,11.9,71.599998,0.0,3.0,86.5,,,,,,,,,,,,,,,,,
09/30/1994,,62.0,73.900002,0.0,-11.9,124.0,,,,,,,,,,,,,,,,,
12/31/1994,,68.900002,77.900002,-39.0,200.100006,307.899994,,,,,,,,,,,,,,,307.899994,,
03/31/1995,,82.0,76.0,0.0,-404.0,-246.0,,,-85.0,,,,,,,,,,,,,,
06/30/1995,,111.0,77.0,24.0,-147.0,65.0,,,-90.0,,,,,,,,,,,,,,
09/30/1995,,112.0,76.0,16.0,104.0,308.0,,,-110.0,,,,,,,,,,,,,,
12/31/1995,,84.0,82.0,11.0,185.0,362.0,-123.0,,-123.0,,,,,,,,,,,,239.0,,
03/31/1996,,2.0,80.0,52.0,-215.0,-81.0,,,-96.0,,,,,,,,,,,,,,
06/30/1996,,60.0,80.0,0.0,-52.0,88.0,,,-87.0,,,,,,,,,,,,,,
09/30/1996,,26.0,81.0,0.0,130.0,237.0,,,-86.0,,,,,,,,,,,,,,
12/31/1996,,1.0,124.0,26.0,125.0,276.0,-163.0,,-163.0,,,,,,,,,,,,113.0,,
03/31/1997,,43.0,93.0,-38.0,-159.0,-61.0,111.0,177.0,-63.0,0.0,0.0,-3.0,-43.0,-22.0,-45.0,0.0,0.0,24.0,0.0,0.0,7.0,,
06/30/1997,,55.0,92.0,7.0,-202.0,-48.0,45.0,114.0,-67.0,0.0,0.0,-2.0,-20.0,-26.0,-6.0,0.0,0.0,12.0,0.0,0.0,-23.0,,
09/30/1997,,55.0,92.0,-9.0,29.0,167.0,-5.0,52.0,-57.0,0.0,0.0,0.0,-116.0,-25.0,-122.0,0.0,0.0,31.0,0.0,0.0,46.0,,
12/31/1997,,-17.0,91.0,126.0,105.0,305.0,-59.0,24.0,-85.0,0.0,0.0,2.0,-244.0,-26.0,35.0,0.0,-245.0,0.0,0.0,-8.0,2.0,,
03/31/1998,,35.0,70.0,23.0,-176.0,-48.0,-19.0,39.0,-57.0,0.0,0.0,-1.0,44.0,-26.0,117.0,100.0,-23.0,0.0,-124.0,0.0,-23.0,,
06/30/1998,,-126.0,66.0,203.0,24.0,167.0,160.0,234.0,-72.0,0.0,0.0,-2.0,-174.0,-25.0,-121.0,0.0,-37.0,11.0,-2.0,0.0,153.0,,
09/30/1998,,202.0,57.0,-151.0,-66.0,42.0,684.0,793.0,-88.0,0.0,0.0,-21.0,-883.0,-25.0,101.0,150.0,-709.0,0.0,-400.0,0.0,-157.0,,
12/31/1998,,-45.0,59.0,152.0,12.0,178.0,-57.0,81.0,-124.0,0.0,0.0,-14.0,-70.0,-24.0,-50.0,165.0,-160.0,0.0,0.0,-1.0,51.0,,
03/31/1999,,-10.0,57.0,0.0,-159.0,-112.0,87.0,193.0,-106.0,0.0,0.0,0.0,122.0,-23.0,41.0,150.0,-46.0,0.0,0.0,0.0,97.0,,
06/30/1999,,35.0,60.0,-8.0,-38.0,49.0,-110.0,11.0,-114.0,0.0,0.0,-7.0,-91.0,-22.0,150.0,100.0,-224.0,5.0,-100.0,0.0,-152.0,,
09/30/1999,,36.0,62.0,7.0,131.0,236.0,-155.0,0.0,-156.0,0.0,0.0,1.0,-58.0,-23.0,6.0,0.0,-63.0,22.0,0.0,0.0,23.0,,
12/31/1999,,63.0,63.0,34.0,73.0,233.0,-167.0,0.0,-150.0,0.0,0.0,-17.0,-73.0,-22.0,116.0,0.0,-182.0,15.0,0.0,0.0,-7.0,,
03/31/2000,,71.0,61.0,5.0,-182.0,-45.0,-20.0,0.0,0.0,-86.0,0.0,66.0,64.0,-23.0,-3.0,100.0,-22.0,0.0,0.0,12.0,-1.0,,
